model,gating_status,failed_checks,log_loss_target,log_loss_shortfall,brier_target,brier_shortfall,totals_brier_2_5_target,totals_brier_2_5_shortfall,total_goals_mae_target,total_goals_mae_shortfall
dixon_coles,research_only,"beats_best_baseline_log_loss,beats_best_baseline_brier,total_goals_mae_ok,totals_brier_ok,slice_stability_ok",1.068679,0.012798,0.647612,0.007273,0.24,0.010465,1.261203,0.002167
bivariate_poisson,research_only,"beats_best_baseline_log_loss,beats_best_baseline_brier,total_goals_mae_ok,totals_brier_ok,slice_stability_ok",1.068679,0.013619,0.647612,0.007822,0.24,0.009908,1.261203,0.000845
