season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2013,46,Katy Freels,us USA,MF,Sky Blue FC,22.0,1990.0,22,21,,1.0,6.0,0.0,0.0,0.0,0.0
2013,47,Jaime French,us USA,FW,FC Kansas City,23.0,1989.0,1,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,48,Sonja Fuss,de GER,DF,Chicago Red Stars,34.0,1978.0,16,16,1440.0,2.0,1.0,2.0,2.0,0.0,0.0
2013,49,Dinora Garza,mx MEX,"FW,MF",Chicago Red Stars,25.0,1988.0,2,2,93.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,50,Robyn Gayle,ca CAN,DF,Washington Spirit,27.0,1985.0,14,14,,0.0,1.0,0.0,0.0,2.0,0.0
2013,51,Missy Geha,us USA,MF,FC Kansas City,25.0,1987.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,52,CoCo Goodson,us USA,DF,Sky Blue FC,22.0,1990.0,22,22,,1.0,1.0,0.0,0.0,1.0,0.0
2013,53,Inka Grings,de GER,FW,Chicago Red Stars,34.0,1978.0,16,14,1295.0,3.0,1.0,0.0,2.0,2.0,0.0
2013,54,Ashley Grove,us USA,MF,Western New York Flash,22.0,1990.0,2,0,,0.0,,0.0,0.0,0.0,0.0
2013,55,Elizabeth Guess,us USA,"FW,MF",Boston Breakers,28.0,1985.0,1,0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,56,Elizabeth Guess,us USA,"FW,MF",Portland Thorns FC,28.0,1985.0,4,1,67.0,0.0,0.0,0.0,0.0,2.0,0.0
2013,57,Ashlyn Harris,us USA,GK,Washington Spirit,27.0,1985.0,18,18,1620.0,,,0.0,0.0,,
2013,58,Tobin Heath,us USA,MF,Portland Thorns FC,24.0,1988.0,7,7,630.0,0.0,3.0,0.0,0.0,4.0,0.0
2013,59,Taryn Hemmings,us USA,DF,Chicago Red Stars,26.0,1986.0,14,14,1245.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,60,Melissa Henderson,us USA,"FW,MF",FC Kansas City,23.0,1989.0,17,13,1030.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,61,Bianca Henninger,us USA,GK,FC Kansas City,22.0,1990.0,2,2,180.0,,,0.0,0.0,,
2013,62,Laura Heyboer,us USA,"FW,MF",Western New York Flash,23.0,1989.0,6,3,,1.0,,0.0,0.0,0.0,0.0
