team,attack_rating,defense_rating,n_matches,last_match_date
San Diego Wave FC,0.2709750694208931,-0.28839059607893935,43,2026-07-26
North Carolina Courage,0.23440711134571202,-0.07676831604611836,41,2026-07-25
Angel City FC,0.17865002425776266,-0.12398118530632013,41,2026-07-27
Kansas City Current,0.17513575241096854,-0.1925407573712356,42,2026-07-25
Utah Royals,0.059927630794584415,0.017795852836191742,42,2026-07-25
Denver Summit FC,0.054909703526077824,0.08788209720893561,15,2026-07-26
Boston Legacy FC,0.033638977303714214,-0.10844261104181727,17,2026-07-25
Gotham FC,0.023259881167710883,-0.12994915503876328,42,2026-07-25
Portland Thorns FC,-0.004584579036180321,-0.018772367080526122,43,2026-07-25
Orlando Pride,-0.01196602416931901,-0.2412343542661874,43,2026-07-25
Bay FC,-0.02282931390744123,0.06124405275534512,41,2026-07-25
Washington Spirit,-0.06273022595919087,-0.23264377402221614,42,2026-07-26
Racing Louisville FC,-0.13190953103875594,0.22834206305506638,41,2026-07-27
Seattle Reign FC,-0.16863794059757678,0.23018829889805534,41,2026-07-26
Houston Dash,-0.2784112875739165,0.23707838928961078,42,2026-07-25
Chicago Stars FC,-0.35452529863998455,0.6080067348615873,42,2026-07-25
