season,season_id,team_id,provider_id,official_name,short_name,acronym_name,media_name,country_code,team_type,games_played,total_points,total_wins,total_losses,total_draws,goals,goals_against,passes_accuracy,penalty_kick_taken,penalty_conceded,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,corners,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_successful_final_third_pass,total_sub_goals,total_saves,average_possession,average_possession_time,crosses_complete_percentage,tackles_won_perc,aerial_duels_won_perc,duels_won_perc,defender_goals,midfielder_goals,forward_goals,red_card_2nd_yellow,straight_red_cards,total_red_cards,source_category_general,assists,total_attacking_assist,penalty_kick_goals,penalty_kick_percentage,total_scoring_attempts,on_target_scoring_attempts,accurate_shooting_percentage,corner_taken,source_category_attacking,accurate_pass,accurate_forward_pass,total_pass,accurate_pass_percentage,accurate_long_balls,long_ball_percentage,long_passes_successful,medium_passes_successful,source_category_passing,total_shots,possession_percentage,total_fouls_won,unsuccessful_dribbles,putthrough_blocked_distribution,unsuccessful_lay_offs,total_passes,crossing_accuracy,throw_ins_to_opposition_player,total_unsuccessful_passes_excl_crosses_corners,shots_on_conceded_inside_box,throw_ins_to_own_player,shots_on_target_inc_goals,hit_woodwork,passing_opp_half,successful_short_passes,tackles_lost,duels_won,total_clearances,aerial_duels_won,handballs_conceded,passing_accuracy,goals_conceded_inside_box,successful_open_play_passes,ground_duels_won,ground_duels,corners_won,unsuccessful_launches,successful_lay_offs,total_fouls_conceded,unsuccessful_corners_into_box,gk_successful_distribution,successful_passes_opposition_half,unsuccessful_short_passes,interceptions,tackle_success,total_shots_conceded,duels,unsuccessful_passes_own_half,offsides,aerial_duels,successful_crosses_open_play,open_play_passes,unsuccessful_passes_opposition_half,foul_attempted_tackle,successful_long_passes,successful_crosses_corners,key_passes_attempt_assists,goals_conceded,shooting_accuracy,corners_taken_incl_short_corners,unsuccessful_crosses_open_play,duels_lost,total_successful_passes_excl_crosses_corners,putthrough_blocked_distribution_won,attempts_from_set_pieces,unsuccessful_long_passes,recoveries,successful_launches,aerial_duels_lost,blocked_shots,successful_corners_into_box,tackles_won,successful_passes_own_half,total_losses_of_possession,successful_dribbles,shots_off_target_inc_woodwork,ground_duels_lost,unsuccessful_crosses_corners,headed_goals,clean_sheets,blocks,shots_on_conceded_outside_box,goal_assists,goals_from_inside_box,goal_conversion,left_foot_goals,right_foot_goals,catches,gk_unsuccessful_distribution,clearances_off_the_line
2015,nwsl::Football_Season::6199a51e9a764735b006e19fb7b2fb64,nwsl::Football_Team::60d7d72f0a134943921fee199cca61a2,opta:Team:b8b7m094941l37s57ky5qydje,Boston Breakers,Breakers,BOS,Boston Breakers,US,,20,15,4,13,3,20,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,True,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,nwsl::Football_Season::6199a51e9a764735b006e19fb7b2fb64,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,Chicago Stars,CHI,Chicago Stars,US,club,1,33,8,3,9,0,0,0,0,0,5,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,0,0,0,0,17,5,29,6,True,0,0,409,0,21,39,21,0,True,17,45,7,13,22,3,395,22.22,8,97,8,19,5,3,68.73,277,6,38,11,7,2,75.44,3,280,31,66,6,10,13,5,2,12,182,64,23,64.71,11,83,16,2,17,3,371,95,1,21,4,15,3,29.41,6,11,45,298,10,1,33,73,3,10,4,1,11,120,171,7,12,35,14,,,,,,,,,,,,
2015,nwsl::Football_Season::6199a51e9a764735b006e19fb7b2fb64,nwsl::Football_Team::73ef53968527477284cdd9823cb9d5b4,opta:Team:84o73tduvg052h5xf8fp1kfpe,FC Kansas City,Kansas,KC,FC Kansas City,US,,2,32,9,6,5,4,0,0,0,0,17,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,3,3,0,0,18,12,67,2,True,0,0,976,0,50,43,50,0,True,18,53,6,11,41,4,945,19.35,9,206,3,32,12,,73.84,689,9,83,47,17,2,78.2,,714,66,122,2,18,18,17,2,30,339,141,45,76.92,29,159,88,4,37,6,895,143,8,50,6,14,,66.67,2,22,76,739,19,1,65,146,9,20,3,,30,406,308,21,6,56,25,1,2,4,5,3,4,22.22,1,2,1,17,
2015,nwsl::Football_Season::6199a51e9a764735b006e19fb7b2fb64,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,Gotham FC,GFC,Gotham FC,US,club,20,22,5,8,7,22,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,nwsl::Football_Season::6199a51e9a764735b006e19fb7b2fb64,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Houston Dash,Dash,HOU,Houston Dash,US,club,20,24,6,8,6,21,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,nwsl::Football_Season::6199a51e9a764735b006e19fb7b2fb64,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,opta:Team:446mp88j1vpk9iwui9fiifrp8,Portland Thorns,Thorns,POR,Portland Thorns,US,club,20,23,6,9,5,27,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,nwsl::Football_Season::6199a51e9a764735b006e19fb7b2fb64,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Seattle Reign,Reign,SEA,Seattle Reign,US,club,2,43,13,3,4,3,0,0,0,0,14,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,1,1,0,0,22,14,64,14,True,0,0,847,0,51,43,51,0,True,22,47,15,8,44,2,813,26.53,9,193,5,47,14,3,67.58,569,6,74,52,22,,76.26,1,594,52,121,14,21,20,14,10,12,334,126,29,79.31,14,158,39,4,37,9,771,190,5,51,13,20,1,63.64,14,26,84,620,19,2,67,142,9,15,6,2,23,299,319,8,8,69,36,,1,4,,1,3,13.64,2,1,2,4,1
2015,nwsl::Football_Season::6199a51e9a764735b006e19fb7b2fb64,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Washington Spirit,Spirit,WAS,Washington Spirit,US,club,1,30,8,6,6,0,0,0,0,0,8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,0,0,0,0,4,1,25,4,True,0,0,477,0,18,29,18,0,True,4,57,11,6,17,,477,23.53,7,107,9,20,1,,65.14,352,8,46,30,8,1,77.57,3,352,38,65,4,11,2,8,,11,146,62,18,65.22,20,82,31,1,17,,447,89,4,18,4,4,3,25.0,4,12,36,370,7,,45,60,3,9,,3,15,228,168,4,3,27,13,,,5,2,,,,,,,7,
2015,nwsl::Football_Season::6199a51e9a764735b006e19fb7b2fb64,nwsl::Football_Team::f293999870b84052be7faf214317b3e9,opta:Team:1e01hujrb8e4teqkouqsi6qqc,Western New York Flash,Flash,WNY,Western New York Flash,US,,20,23,6,9,5,24,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
