season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,unsuccessful_crosses_open_play,offsides,time_played,throw_ins_to_own_player,substitute_on,successful_lay_offs,successful_launches,right_foot_goals,open_play_passes,corners_won,backward_passes,successful_crosses_corners,successful_passes_opposition_half,unsuccessful_long_passes,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,goals_conceded_outside_box,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,unsuccessful_short_passes,total_passes,substitute_off,total_fouls_conceded,successful_dribbles,successful_short_passes,goals_conceded_inside_box,total_shots,total_unsuccessful_passes_excl_crosses_corners,rightside_passes,key_passes_attempt_assists,unsuccessful_passes_opposition_half,blocked_shots,throw_ins_to_opposition_player,recoveries,starts,putthrough_blocked_distribution,unsuccessful_passes_own_half,touches,corners_taken_incl_short_corners,appearances,foul_attempted_tackle,ground_duels,goals_from_outside_box,forward_passes,total_touches_in_opposition_box,index,duels_won,shots_on_target_inc_goals,successful_long_passes,successful_crosses_open_play,total_fouls_won,aerial_duels_won,unsuccessful_dribbles,duels,total_clearances,unsuccessful_crosses_corners,unsuccessful_corners_into_box,handballs_conceded,ground_duels_lost,leftside_passes,goals_from_inside_box,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,unsuccessful_lay_offs,duels_lost,tackles_lost,interceptions,ground_duels_won,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,gk_successful_distribution,unsuccessful_launches,set_pieces_goals,successful_corners_into_box,blocks,attempts_from_set_pieces,gk_unsuccessful_distribution,penalties_taken,clean_sheets,penalty_goals,penalties_conceded,own_goal_scored,clearances_off_the_line,through_balls,left_foot_goals,assists_intentional,goal_assists,headed_goals,last_man_tackle,saves_made,punches,catches,saves_made_from_outside_box,saves_made_parried,saves_made_from_inside_box,penalties_faced,saves_made_caught,crosses_not_claimed,goalkeeper_smother,drops,penalties_saved,saves_from_penalty,total_red_cards,red_cards_2nd_yellow,foul_won_penalty,other_goals,penalties_off_target,straight_red_cards
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::b75a67d243bf42b1bd2ab3b6114c4518,opta:Player:5tv4la0or9dxgp7x5vbxs94vd,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,Cheyna,Matthews,C. Matthews,Forward,Jamaica,41,4,,JAM,104,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US,17,780,3,0,16,0,9,0,5,10,12,9,1,0,0,,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,780,4,9,4,,2,259,14,62,6,124,6,11,7,1,29,187,53,9,84,261,8,10,18,165,5,16,90,41,8,88,5,2,37,8,22,11,456,,17,3,95,,86,63,10,58,9,6,6,12,19,16,143,3,9,,2,56,72,3,169,171,48,3,85,4,3,39,True,0,0,0,0,261,6,0,6,187,0,12,6,0,True,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::bf34255e27f44fa380961950723a9003,opta:Player:7mg3exv2es9mrfso3g6bgu2mt,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars FC,Alyssa,Mautz,A. Mautz,Midfielder,USA,4,3,,USA,92,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars FC,US,18,1037,0,2,12,0,6,2,28,19,11,5,4,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,1037,21,8,1,2,,318,3,69,,122,26,10,6,1,12,181,91,31,85,324,4,19,6,204,10,12,111,31,7,109,1,9,36,10,11,25,543,1,18,16,90,,135,18,10,55,6,9,,11,8,2,110,8,23,,1,43,89,,208,213,20,1,55,3,17,47,True,0,0,0,0,324,0,0.17,9,181,0,35,9,0,True,,8,,,1,,,,5,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::bd5d3e5aea024034834d0b60e825adb0,opta:Player:6xocmitwlzzh3hpby0eduyuh,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,Catherine,McCabe Zimmerman,C. Zimmerman,Forward,USA,29,4,,USA,151,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,NJY,NJ/NY Gotham FC,USA,5,258,0,0,0,0,0,0,4,3,8,1,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,258,,1,1,1,,66,,22,,23,2,2,,,2,42,24,5,18,67,4,3,2,46,4,,20,12,2,20,1,1,14,4,5,4,118,,5,2,27,,20,4,10,15,,1,,8,,,29,1,4,,,12,13,,47,47,2,,14,1,3,15,True,0,0,0,0,67,0,0,1,42,0,3,1,0,True,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::dd9e5f32ac9344d29a4f8380fbd12fc7,opta:Player:4t4o6zb5h3z1ymf9pk3srnkyd,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Tiffany Janea,McCarty,T. McCarty,Forward,USA,12,4,,USA,121,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,16,916,2,4,14,0,4,4,19,18,16,13,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,916,4,6,1,1,1,190,15,40,9,67,10,12,10,3,9,177,47,28,75,190,11,18,17,98,7,14,85,46,10,87,4,,34,10,23,27,414,,16,12,122,,62,38,10,68,4,7,9,16,11,8,142,3,29,,1,65,42,2,105,105,20,,74,9,7,57,True,0,0,0,0,190,9,0.39,7,177,0,17,7,0,True,,4,,,3,,,,,,,,,1,,3,4,,,,,,,,,,,,,,,,,,1,1,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::005b6354870946b8b98416b0b877f529,opta:Player:bl8gbx7butk8hpccjc99xykfd,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Caroline,McCue Van Slambrouck,C. Van Slambrouck,Defender,USA,14,2,,USA,196,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::27adde6bc4e540c5959718f7e27a1c5e,opta:Player:2qqged8hw4lzh6u8r81kc22fp,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Jess,McDonald,J. McDonald,Forward,USA,14,4,,USA,60,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,21,1899,10,9,51,0,30,9,11,12,12,15,0,0,0,,27,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,15,1899,61,,8,,4,445,16,111,7,211,12,19,21,7,38,418,77,17,168,461,4,12,5,264,20,51,180,96,20,191,12,88,54,21,25,25,918,,21,6,102,1,134,124,10,76,30,17,7,12,45,16,185,3,36,,2,71,120,9,267,281,83,1,109,6,10,31,True,0,0,0,0,461,7,0.43,17,418,0,29,17,0,True,,2,,,,,,,4,,,,,1,2,9,9,4,,,,,,,,,,,,,,,,,1,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::6fa09aefce9a41738b24f309ae5401ea,opta:Player:325guqr5uv6pm8glhzs9xf9w5,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Gabriëlla Maria,Melis,M. Melis,Forward,Netherlands,14,4,,NLD,106,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,16,1051,7,1,29,0,21,1,5,8,4,4,0,0,0,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,1051,1,1,7,,4,241,6,68,3,117,8,3,8,2,4,179,41,5,84,247,13,8,3,149,10,29,92,40,10,95,3,3,21,15,13,12,404,,16,6,53,2,55,55,10,13,21,6,3,4,1,3,58,2,15,,1,41,84,5,150,155,5,3,45,,4,12,True,0,0,0,0,247,3,0.09,6,179,0,14,6,0,True,,1,,,1,,,,,,,,,1,3,1,1,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::55da7f9c2c214f18a37b8b1c9df0c6a0,opta:Player:c13p22nw5pgfkk5kaq6p56tp1,nwsl::Football_Team::73ef53968527477284cdd9823cb9d5b4,FC Kansas City,Molly,Menchel,M. Menchel,Midfielder,USA,24,3,,USA,148,opta:Team:84o73tduvg052h5xf8fp1kfpe,Kansas,KC,FC Kansas City,USA,3,185,0,0,0,0,0,0,6,3,1,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,185,16,1,1,1,,72,,9,,11,7,2,,,2,41,35,8,20,73,1,3,,45,1,,27,22,1,15,,1,6,2,7,15,126,2,3,3,18,,38,,10,10,,1,,1,1,,21,2,3,2,,9,4,,45,46,3,,11,2,6,9,True,0,0,0,0,73,0,0,1,41,0,8,1,0,True,,5,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::a1a3bb5ef09b480389aa40b5edac2fa7,opta:Player:4t91su0ns46r00vjynp0on5qt,nwsl::Football_Team::60d7d72f0a134943921fee199cca61a2,Boston Breakers,Kristie,Mewis,K. Mewis,Midfielder,USA,19,3,,USA,86,opta:Team:b8b7m094941l37s57ky5qydje,Breakers,BOS,Boston Breakers,US,14,1122,1,1,21,0,7,1,6,13,23,2,0,0,0,,27,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1122,6,1,1,,1,320,2,53,13,170,24,4,14,4,17,158,80,8,71,332,4,13,5,218,23,21,95,69,13,102,4,1,43,13,10,16,497,23,14,9,66,,116,23,10,49,7,19,3,23,17,1,100,6,23,13,,34,94,1,226,237,34,,51,2,6,32,True,0,0,0,0,332,3,0.08,19,158,0,43,19,0,True,,5,,9,,6,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,1,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::516ec76681794e58bea2c6d2a6dae92a,opta:Player:4tcmt910n2lj88n5m0aqoddcl,nwsl::Football_Team::f293999870b84052be7faf214317b3e9,Western New York Flash,Sam,Mewis,S. Mewis,Midfielder,USA,5,3,,USA,29,opta:Team:1e01hujrb8e4teqkouqsi6qqc,Flash,WNY,Western New York Flash,USA,16,1500,7,3,43,0,19,3,17,19,14,1,1,0,0,,24,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1500,6,,1,8,3,634,10,97,5,231,61,11,24,6,20,318,165,23,196,648,,19,5,343,18,43,257,105,24,224,10,1,55,16,20,46,897,4,16,17,96,2,317,60,10,77,19,48,4,14,39,4,155,15,13,2,,58,129,5,381,391,59,,78,6,35,38,True,0,0,0,0,648,4,0.18,48,318,0,109,48,0,True,,18,,1,6,1,,2,3,1,,,,4,2,2,3,2,,,,,,,,,,,,,,,,,,,1,
