season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,unsuccessful_crosses_open_play,offsides,time_played,throw_ins_to_own_player,substitute_on,successful_launches,open_play_passes,corners_won,backward_passes,successful_crosses_corners,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,putthrough_blocked_distribution_won,goals_conceded_outside_box,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,unsuccessful_short_passes,total_passes,substitute_off,total_fouls_conceded,successful_dribbles,successful_short_passes,goals_conceded_inside_box,total_shots,total_unsuccessful_passes_excl_crosses_corners,rightside_passes,key_passes_attempt_assists,unsuccessful_passes_opposition_half,blocked_shots,throw_ins_to_opposition_player,recoveries,starts,putthrough_blocked_distribution,unsuccessful_passes_own_half,touches,appearances,foul_attempted_tackle,ground_duels,forward_passes,total_touches_in_opposition_box,index,duels_won,shots_on_target_inc_goals,successful_long_passes,successful_crosses_open_play,total_fouls_won,aerial_duels_won,unsuccessful_dribbles,duels,total_clearances,unsuccessful_crosses_corners,ground_duels_lost,leftside_passes,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,clean_sheets,duels_lost,tackles_lost,interceptions,ground_duels_won,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,penalties_conceded,successful_lay_offs,shots_off_target_inc_woodwork,successful_corners_into_box,corners_taken_incl_short_corners,catches,unsuccessful_corners_into_box,handballs_conceded,own_goal_scored,penalty_goals_conceded,blocks,saves_made,gk_successful_distribution,punches,goalkeeper_smother,saves_made_from_outside_box,saves_made_parried,saves_made_from_inside_box,penalties_faced,saves_made_caught,gk_unsuccessful_distribution,unsuccessful_lay_offs,winning_goal,drops,right_foot_goals,left_foot_goals,headed_goals,second_goal_assists,assists_intentional,goals_from_inside_box,penalties_taken,goal_assists,through_balls,times_tackled,attempts_from_set_pieces,foul_won_penalty,crosses_not_claimed,set_pieces_goals,goals_from_outside_box,last_man_tackle,penalties_saved,saves_from_penalty,total_red_cards,straight_red_cards,penalty_goals,clearances_off_the_line,other_goals,penalties_off_target,red_cards_2nd_yellow
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::caf2bc879ae84849a7fa41c5a222c619,opta:Player:dajvw6r727chttffgj6kbxbai,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Hana,Kerner,H. Kerner,Midfielder,USA,32,3,,USA,174,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::77cda28afad142fb946791d915dc225b,opta:Player:enc31o3tha551illb45cn7mj9,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Devon Angela,Kerr,D. Kerr,Goalkeeper,Canada,20,1,,CAN,175,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::eb192101ab34425984a49075a90f3b0c,opta:Player:66f0rjs4c2yih8phn6meyj74l,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,Sam,Kerr,S. Kerr,Forward,Australia,20,4,,AUS,42,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,NJ/NY Gotham FC,US,23,2042,19,5,89,0,57,5,12,12,23,44,1,0,0,,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,44,2042,5,,1,598,18,175,5,313,5,14,6,2,50,328,113,13,181,616,2,12,22,414,24,89,195,173,33,183,14,1,70,23,17,27,1005,23,3,114,122,169,10,132,57,7,5,23,75,19,239,28,15,57,146,403,421,125,7,107,1,7,57,True,0,0,0,0,616,5,0.22,7,328,0,21,7,0,True,,22,32,,,,,2,,2,4,,,,,,,,,,,12,,,16,3,,,4,17,,5,2,,,,,,2,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::057dd853becd400fb5a461051a9a466e,opta:Player:cfaikzuhq9vq2t0vy4f56rm22,nwsl::Football_Team::acffc559cf7d485a9c05fa23ab57054b,Utah Royals FC,Alexandra Amalia,Kimball Suarez,A. Kimball,Forward,Peru,47,4,,PER,176,opta:Team:bn7w86uw8j61dga3xr5s0yiju,Royals,UTA,Utah Royals FC,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::a86e9ba2f4c44ce789c593b2b5bf9bcb,opta:Player:d9dirjpaqkq3gga2zyeykcv6d,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Aubrey,Kingsbury,A. Kingsbury,Goalkeeper,USA,1,1,,USA,11,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,24,2149,0,0,0,0,0,0,1,0,10,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2149,,,45,695,,,1,46,105,216,,1,,237,753,1,14,1028,1,,,638,24,,230,251,1,99,,,290,24,2,131,1336,24,,11,512,,10,24,,160,,10,14,,25,26,,1,265,582,798,14,9,1,,,10,True,0,0,0,0,1028,0,0,160,237,0,376,160,0,True,,,,,,25,,,,,,86,284,15,2,29,23,57,1,6,66,,0,6,,,,,,,,,,,,,,,,,1,1,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::0fc6e8c0cd724c14b06c64c27c8331e6,opta:Player:94j0ci5rtwvr8nlrr32cfg9d6,nwsl::Football_Team::acffc559cf7d485a9c05fa23ab57054b,Utah Royals,Cece,Kizer,C. Kizer,Forward,USA,5,4,,USA,118,opta:Team:bn7w86uw8j61dga3xr5s0yiju,Royals,UTA,Utah Royals,US,16,364,0,0,3,0,0,0,5,4,3,3,1,0,0,,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,364,,14,,133,1,39,,64,,,6,1,12,89,26,8,47,137,2,4,3,90,2,3,47,35,9,32,,,25,2,13,19,223,16,4,36,23,29,10,21,,,,3,7,7,55,4,4,22,40,86,90,19,,34,3,6,14,True,0,0,0,0,137,0,0,0,89,0,0,0,0,True,,2,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::96cc9fe3c23b49cf9fa5125c50781437,opta:Player:bnnc9csv7qrc2xgx7yzgxlcr9,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,Meghan,Klingenberg,M. Klingenberg,Defender,USA,25,2,,USA,13,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US,24,2098,0,4,10,0,3,4,22,15,20,0,1,0,0,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,,2098,258,,10,962,13,202,38,405,18,81,16,4,23,489,376,27,183,1007,4,15,27,700,24,10,264,334,34,311,2,33,159,24,27,56,1763,24,10,150,431,10,10,87,3,43,20,20,13,25,186,40,103,76,40,716,743,36,8,99,5,31,74,True,0,0,0,0,1007,20,0.17,43,489,0,124,43,0,True,,,7,14,44,,24,1,,1,10,,,,,,,,,,,,,,,,,,4,,,4,3,,1,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::b34b92d539f6450e883ce6d31d545996,opta:Player:9bhn0azn3wb2wgdczcox6u66t,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Haley,Kopmeyer,H. Kopmeyer,Goalkeeper,USA,28,1,,USA,84,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,10,900,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,900,,,33,129,,,,31,40,116,,3,1,120,155,,2,304,,,,109,20,,118,41,1,60,,,98,10,1,58,415,10,,3,219,,10,4,,77,,,3,,7,11,,2,44,97,186,4,,3,,,1,True,0,0,0,0,304,0,0,77,120,0,193,77,0,True,,,,,,6,,,,2,,47,96,4,3,16,14,31,3,,55,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::3e154a3f17cf4dfaae292baf85f5f94c,opta:Player:6bhtfawnoxk9x57xigb8z03it,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,Alexandra Blaire,Krieger,A. Krieger,Defender,USA,11,2,,USA,63,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,NJY,NJ/NY Gotham FC,USA,12,1080,0,1,3,0,0,1,12,4,3,1,1,0,0,,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1080,48,,9,437,2,37,3,119,17,54,2,4,18,149,230,26,52,452,,4,3,303,19,3,106,61,5,89,1,13,81,12,10,31,678,12,1,47,197,7,10,45,,43,3,3,13,3,78,47,14,15,157,338,346,31,1,33,14,16,32,True,0,0,0,0,452,3,0.08,43,149,0,97,43,0,True,,,3,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::2e67f16c924649e9b5584a1a25552589,opta:Player:4ullol3wa4qdi9ydgrxgxbcgl,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Casey,Krueger,C. Krueger,Defender,USA,3,2,,USA,22,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,25,2235,2,3,19,0,10,3,29,20,25,1,2,0,0,,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,2235,208,,8,825,14,115,11,254,54,100,18,2,36,469,324,44,163,830,1,20,30,531,28,19,263,103,14,204,5,70,193,25,53,89,1535,25,11,180,406,44,10,131,10,36,11,25,32,23,248,48,30,81,206,563,567,68,9,117,15,32,99,True,0,0,0,0,830,11,0.12,36,469,0,136,36,0,True,1,,9,,,,,,,1,3,,,,,,,,,,,,,,1,,1,,3,2,,3,1,,,,,,,,,,,,,,,,
