season,season_id,match_id,provider_id,status,provider_status,phase,match_date_utc,match_date_local,local_time_utc_offset,home_team_id,home_official_name,away_team_id,away_official_name,home_score,away_score,round_name,match_week,stadium_name,city_name,win_reason,win_team_id,stadium_id,round_id,highlights_url,tickets_url,home_provider_id,home_short_name,home_acronym_name,home_media_name,home_country_code,away_provider_id,away_short_name,away_acronym_name,away_media_name,away_country_code
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Match::3c10860eaeb84fb0b2a951da55a24ac1,opta:Match:f4l1pv3lna0ti2ahbtj8ktm,FINISHED,Played,FULL_TIME,2018-03-24T19:30:00Z,2018-03-24T15:30:00,+00:00,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,1,0,,,First Horizon Stadium at WakeMed Soccer Park,"Cary, North Carolina",RegularTime,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,nwsl::Football_Stadium::140f36b2df204f59acf8ef9bc68d64c0,,,,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,US,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Match::62808dd548f54c7c9bb7b699e2445f9c,opta:Match:tbcau993z9oe05icign58q2,FINISHED,Played,FULL_TIME,2018-03-24T23:30:00Z,2018-03-24T19:30:00,+00:00,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,nwsl::Football_Team::acffc559cf7d485a9c05fa23ab57054b,Utah Royals,1,1,,,Inter&Co Stadium,"Orlando, Florida",Draw,,nwsl::Football_Stadium::4ccd0af81c4d409eaf99d63e185eb4f9,,,,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,opta:Team:bn7w86uw8j61dga3xr5s0yiju,Royals,UTA,Utah Royals,US
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Match::e9f1d346429b46eda059d10139a0bccb,opta:Match:132yvstniqpxlanbwn4ne73e,FINISHED,Played,FULL_TIME,2018-03-25T02:00:00Z,2018-03-24T19:00:00,+00:00,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,2,1,,,UW Medicine Pitch at Memorial Stadium,Seattle,RegularTime,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,nwsl::Football_Stadium::a0571d5bda6c4d5994f42b7f485fb2ed,,,,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Match::b64ad029425643f28318d98d8e756f29,opta:Match:mjqdismseaf7rp3yrx2wacq,FINISHED,Played,FULL_TIME,2018-03-25T21:00:00Z,2018-03-25T16:00:00,+00:00,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars,1,1,,,Shell Energy Stadium,"Houston, Texas",Draw,,nwsl::Football_Stadium::8712697de6ee44f1bb0cc9269dde0a6e,,,,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars,US
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Match::9edca3cc9c8f4b5cb8931a956e2bb827,opta:Match:1n8xdcud53eto5esskz8dv1m,FINISHED,Played,FULL_TIME,2018-03-31T00:00:00Z,2018-03-30T19:00:00,+00:00,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,nwsl::Football_Team::acffc559cf7d485a9c05fa23ab57054b,Utah Royals,0,0,,,Shell Energy Stadium,"Houston, Texas",Draw,,nwsl::Football_Stadium::8712697de6ee44f1bb0cc9269dde0a6e,,,,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,opta:Team:bn7w86uw8j61dga3xr5s0yiju,Royals,UTA,Utah Royals,US
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Match::3a7ffc034a434a2eae63ef2652ed6f4e,opta:Match:1avogjno1am2c5mkj5ntzvca,FINISHED,Played,FULL_TIME,2018-03-31T19:00:00Z,2018-03-31T15:00:00,+00:00,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,1,0,,,First Horizon Stadium at WakeMed Soccer Park,"Cary, North Carolina",RegularTime,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,nwsl::Football_Stadium::140f36b2df204f59acf8ef9bc68d64c0,,,,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,US,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Match::2abeb7f8c8f84e458fb8c1a32a3cd331,opta:Match:1gcipdz2sez6aded9jbnudey,FINISHED,Played,FULL_TIME,2018-03-31T19:30:00Z,2018-03-31T15:30:00,+00:00,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,2,0,,,Maureen Hendricks Field Maryland SoccerPlex,"Boyds, Maryland",RegularTime,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,nwsl::Football_Stadium::b78135f77c1146babf872b1649c06252,,,,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Match::249643ad437c43e2827e05b8208d147b,opta:Match:1v90czuixltalvogt7xggep6,FINISHED,Played,FULL_TIME,2018-04-01T00:15:00Z,2018-03-31T19:15:00,+00:00,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,2,3,,,SeatGeek Stadium,"Bridgeview, Illinois",RegularTime,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,nwsl::Football_Stadium::a70355edf48b469f8e25dcc722030c4b,,,,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars,US,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Match::217ca4bd2c4e4eada069aee83bbfda54,opta:Match:23ifh0wd24wlbn69fsioyc8a,FINISHED,Played,FULL_TIME,2018-04-14T19:30:00Z,2018-04-14T13:30:00,+00:00,nwsl::Football_Team::acffc559cf7d485a9c05fa23ab57054b,Utah Royals,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars,0,1,,,America First Field,"Sandy, Utah",RegularTime,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,nwsl::Football_Stadium::fcab78502a1f4432abf5af4910f6f139,,,,opta:Team:bn7w86uw8j61dga3xr5s0yiju,Royals,UTA,Utah Royals,US,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars,US
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Match::76f57962bf694c24a2ccff2bd0ebb6fb,opta:Match:28z567nskqlv1hlqmakay73e,FINISHED,Played,FULL_TIME,2018-04-14T23:00:00Z,2018-04-14T19:00:00,+00:00,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,2,4,,,Maureen Hendricks Field Maryland SoccerPlex,"Boyds, Maryland",RegularTime,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,nwsl::Football_Stadium::b78135f77c1146babf872b1649c06252,,,,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,US
