season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,unsuccessful_crosses_open_play,offsides,time_played,throw_ins_to_own_player,substitute_on,successful_launches,open_play_passes,corners_won,backward_passes,successful_crosses_corners,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,goals_conceded_outside_box,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,unsuccessful_short_passes,total_passes,substitute_off,total_fouls_conceded,successful_dribbles,successful_short_passes,goals_conceded_inside_box,total_shots,total_unsuccessful_passes_excl_crosses_corners,rightside_passes,key_passes_attempt_assists,unsuccessful_passes_opposition_half,throw_ins_to_opposition_player,recoveries,starts,putthrough_blocked_distribution,unsuccessful_passes_own_half,touches,appearances,foul_attempted_tackle,blocks,ground_duels,forward_passes,total_touches_in_opposition_box,index,duels_won,shots_on_target_inc_goals,successful_long_passes,successful_crosses_open_play,total_fouls_won,aerial_duels_won,unsuccessful_dribbles,duels,total_clearances,unsuccessful_crosses_corners,handballs_conceded,ground_duels_lost,leftside_passes,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,clean_sheets,duels_lost,tackles_lost,interceptions,ground_duels_won,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,successful_lay_offs,through_balls,foul_won_penalty,unsuccessful_lay_offs,goal_assists,penalties_conceded,blocked_shots,assists_intentional,successful_corners_into_box,corners_taken_incl_short_corners,unsuccessful_corners_into_box,right_foot_goals,gk_unsuccessful_distribution,goals_from_inside_box,saves_made,gk_successful_distribution,punches,catches,saves_made_from_outside_box,saves_made_parried,saves_made_from_inside_box,drops,saves_made_caught,goals_from_outside_box,left_foot_goals,headed_goals,penalties_taken,penalty_goals,attempts_from_set_pieces,clearances_off_the_line,crosses_not_claimed,penalties_saved,goalkeeper_smother,penalties_faced,saves_from_penalty,last_man_tackle,second_goal_assists,own_goal_scored,penalties_off_target,set_pieces_goals,total_red_cards,straight_red_cards,other_goals
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::e34aed71f6b14e9e8d2db9b44e9000c1,opta:Player:a3ulhgpg46jykiudll0uh673e,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,Schuyler,DeBree,S. DeBree,Defender,USA,15,2,,USA,159,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::f34cb0fac68445bf95cc5baec18f7044,opta:Player:1r8725akqzal1mni9wl8zmnai,nwsl::Football_Team::acffc559cf7d485a9c05fa23ab57054b,Utah Royals,Imani,Dorsey,I. Dorsey,Defender,USA,28,2,,USA,85,opta:Team:bn7w86uw8j61dga3xr5s0yiju,Royals,UTA,Utah Royals,US,13,1047,4,1,25,0,16,1,13,12,4,3,0,0,0,,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,1047,4,1,1,332,3,99,4,123,4,10,18,9,2,11,168,128,18,75,332,6,12,10,241,25,25,85,77,10,79,1,73,12,33,23,541,13,8,1,89,113,33,10,45,16,6,4,4,13,11,113,6,17,,57,43,247,247,24,,68,5,19,32,True,0,0,0,0,332,4,0.09,6,168,0,16,6,0,True,7,,,,1,,4,1,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::12d0fcd5fa024c44809ff34d8eb9586b,opta:Player:axus81lkscgaij42wbank7b9x,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,Nickolette Taylor,Driesse,N. Driesse,Midfielder,Puerto Rico,24,3,,PRI,147,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,NJY,NJ/NY Gotham FC,USA,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,,1,,3,,,,2,,,,,,1,3,,,1,3,,,,2,,,1,,,1,,1,,,,6,1,,,1,2,,10,,,,,,,,2,,,,1,1,2,2,1,,2,,,,True,0,0,0,0,3,0,0,0,3,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::890aab36584c4278b8a8d11be569aeb4,opta:Player:4b13osk9pzrosvzqt55y7o34l,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,Crystal,Dunn,C. Dunn,Midfielder,USA,19,3,,USA,44,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US,24,1976,8,7,54,0,28,7,45,19,28,9,0,0,0,,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,1976,12,1,1,651,28,104,9,339,5,30,32,26,4,29,412,133,54,161,654,7,19,48,433,10,54,191,150,43,189,2,159,23,52,37,1204,24,12,1,259,259,129,10,138,28,30,9,28,8,34,296,7,35,2,129,141,461,463,37,7,158,9,22,130,True,0,0,0,0,654,9,0.32,30,412,0,60,30,0,True,33,11,,5,7,,29,5,,1,,4,,6,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::1e524e201dce43908965d637c8a6140f,opta:Player:biot51y8bhwouactlbow0b5k9,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,Britt Ellen,Eckerstrom,B. Eckerstrom,Goalkeeper,USA,51,1,,USA,94,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,USA,10,900,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,900,,,26,100,,,,32,42,91,1,,2,1,94,125,1,3,251,,,,64,12,,94,29,,44,,97,10,1,50,340,10,,,2,196,,10,8,,93,,,7,,10,8,,,1,26,71,157,8,2,2,1,,1,True,0,0,0,0,251,0,0,93,94,0,184,93,0,True,,,,,,,,,,,,,29,,37,96,5,3,13,4,24,1,2,,,,,,,,,1,,3,1,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::4932d40caf094edd88eb680559cffd38,opta:Player:bheniu7u85ivkjhipazymzxzp,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,Kristen,Edmonds,K. Edmonds,Defender,USA,12,2,,USA,77,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US,15,1091,1,0,5,0,2,0,16,7,15,2,1,0,0,,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1091,89,2,1,397,5,89,2,138,10,32,7,3,1,6,195,150,20,81,399,5,7,9,278,19,5,113,52,5,104,18,75,13,26,30,667,15,,2,81,143,10,10,48,2,8,2,15,4,15,91,11,21,1,37,115,284,286,10,2,43,4,13,44,True,0,0,0,0,399,2,0,8,195,0,40,8,0,True,7,1,,1,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::f807542502fa4a38ae1466a1712b915a,opta:Player:ccr92qosqioixp2txau6urdd6,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Red Stars,Chandra,Eigenberger,C. Eigenberger,Defender,USA,29,2,,USA,160,opta:Team:dzxypx8djih58p668surbi4qm,Red Stars,CHI,Chicago Red Stars,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::8a79e963a9ed4ce7b8e03564a23de251,opta:Player:de0o8hm1h02ytwuapmp46si5l,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Red Stars,Brooke,Elby,B. Elby,Defender,USA,23,2,,USA,40,opta:Team:dzxypx8djih58p668surbi4qm,Red Stars,CHI,Chicago Red Stars,USA,22,1692,0,2,12,0,6,2,48,20,14,2,2,0,0,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,1692,190,4,4,670,10,128,12,202,42,54,32,6,4,14,352,286,70,144,674,6,20,22,464,16,12,198,104,8,152,28,146,18,68,74,1380,22,14,8,186,276,18,20,124,6,12,10,14,18,18,218,52,28,2,80,166,472,476,32,6,94,22,82,106,True,0,0,0,0,674,10,0.11,12,352,0,66,12,0,True,,,,2,2,,10,2,2,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::bee0506c8e134de9bc8af601b1d28778,opta:Player:dve5pao9dmobh167wb8g45g45,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars FC,Julie,Ertz,J. Ertz,Midfielder,USA,8,3,,USA,62,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars FC,US,15,1216,0,0,11,0,3,0,9,16,12,0,1,0,0,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,1216,4,1,12,477,1,44,1,155,37,79,7,8,2,26,188,193,17,87,513,2,16,4,295,16,11,166,108,6,116,,85,14,13,52,708,15,10,10,55,283,17,10,67,3,52,1,12,35,,116,64,2,1,23,78,324,347,61,4,49,8,24,32,True,0,0,0,0,513,1,0,52,188,0,131,52,0,True,3,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::2f9f97b503a046f9af76d8bc6ce609d7,opta:Player:14tubvohrhqnlj1zv5aojofe,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Mallory,Eubanks,M. Eubanks,Forward,USA,,4,,USA,103,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,USA,12,516,0,0,3,0,1,0,6,2,3,0,0,0,0,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,516,27,7,2,195,2,48,3,73,1,11,6,2,3,2,85,77,10,39,197,2,2,,138,9,3,50,48,6,46,7,41,5,10,13,317,12,1,,28,58,11,10,21,1,9,3,3,8,3,38,9,9,,15,43,145,147,10,,17,4,12,13,True,0,0,0,0,197,3,0,9,85,0,20,9,0,True,4,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
