season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,unsuccessful_crosses_open_play,offsides,time_played,throw_ins_to_own_player,successful_lay_offs,successful_launches,right_foot_goals,open_play_passes,corners_won,backward_passes,successful_crosses_corners,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,goals_conceded_outside_box,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,set_pieces_goals,unsuccessful_short_passes,total_passes,substitute_off,total_fouls_conceded,successful_dribbles,successful_short_passes,goals_conceded_inside_box,total_shots,total_unsuccessful_passes_excl_crosses_corners,successful_corners_into_box,rightside_passes,key_passes_attempt_assists,unsuccessful_passes_opposition_half,blocked_shots,throw_ins_to_opposition_player,recoveries,starts,putthrough_blocked_distribution,unsuccessful_passes_own_half,touches,corners_taken_incl_short_corners,appearances,foul_attempted_tackle,blocks,ground_duels,goals_from_outside_box,forward_passes,total_touches_in_opposition_box,index,duels_won,shots_on_target_inc_goals,attempts_from_set_pieces,successful_long_passes,successful_crosses_open_play,total_fouls_won,aerial_duels_won,unsuccessful_dribbles,duels,total_clearances,unsuccessful_crosses_corners,unsuccessful_corners_into_box,assists_intentional,ground_duels_lost,leftside_passes,clearances_off_the_line,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,clean_sheets,goal_assists,duels_lost,tackles_lost,interceptions,ground_duels_won,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,substitute_on,left_foot_goals,headed_goals,handballs_conceded,goals_from_inside_box,unsuccessful_lay_offs,own_goal_scored,gk_unsuccessful_distribution,last_man_tackle,penalties_conceded,through_balls,saves_made,gk_successful_distribution,drops,saves_made_from_outside_box,saves_made_from_inside_box,penalties_faced,saves_made_caught,punches,goalkeeper_smother,catches,total_red_cards,straight_red_cards,crosses_not_claimed,penalties_saved,saves_made_parried,saves_from_penalty,penalties_taken,penalty_goals,foul_won_penalty,other_goals,penalties_off_target
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::13966c8ec3cb453391ba34ddef7df31c,opta:Player:4truizy1yj9rmnr6njomf5s5x,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Kealia,Watt,K. Watt,Forward,USA,7,4,,USA,115,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,10,863,2,2,19,0,12,2,13,4,7,17,0,0,0,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,17,863,8,5,,1,202,19,59,8,118,,4,5,7,1,3,153,45,16,,44,203,5,4,15,151,19,19,48,,66,10,76,6,1,24,10,13,5,404,,10,2,,89,1,45,56,10,40,12,,4,8,7,2,13,94,3,33,,1,51,33,,154,155,5,,2,54,3,2,38,True,0,0,0,0,203,8,0.21,4,153,0,8,4,0,True,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::405bbcc7f91848b4a28e72f45ffb7d55,opta:Player:9aj5gfycwgc6r0b550zagl4a1,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,Dani,Weatherholt,D. Weatherholt,Midfielder,USA,17,3,,USA,39,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,US,20,1567,1,1,5,0,3,1,30,18,14,0,1,0,0,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,1567,7,12,2,1,745,5,118,,304,5,14,22,2,2,19,213,320,47,,123,761,9,18,5,606,22,5,137,,187,8,96,4,2,92,18,43,50,1026,,20,9,5,125,,292,16,10,79,3,,18,,14,15,9,159,20,9,,,61,164,,608,624,34,1,1,80,17,36,64,True,0,0,0,0,761,0,0.06,18,213,0,32,18,0,True,2,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::c52d8a667f9146da897c860a3edef8df,opta:Player:7174116iid7c6py32zq20bkk5,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Tiffany,Weimer,T. Weimer,Midfielder,USA,16,3,,USA,102,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,USA,17,804,0,1,4,0,2,1,15,5,4,1,1,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,804,,15,,,308,5,81,6,123,4,10,10,2,1,5,139,113,19,,70,310,11,5,6,212,7,4,80,3,91,11,77,2,1,43,11,20,26,434,10,17,2,,56,,91,10,10,32,2,,18,3,4,3,8,64,2,23,5,1,27,47,,228,230,8,,1,32,4,7,29,True,0,0,0,0,310,3,0.11,18,139,0,28,18,0,True,6,,,1,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::0bc0d986844b458592417f6157d1aeb4,opta:Player:n4egj8ymfled94mco0lwa95,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Christen,Westphal,C. Westphal,Defender,USA,20,2,,USA,80,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,13,1129,0,1,0,0,0,1,18,7,2,0,1,0,0,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,1129,26,1,11,,415,1,40,2,103,16,28,4,,4,14,124,257,31,,50,436,2,7,1,317,11,,78,,112,2,54,,4,66,13,13,34,666,,13,2,9,63,,206,2,10,43,,,41,2,2,9,4,86,62,10,,1,29,78,1,345,358,23,4,1,43,13,33,34,True,0,0,0,0,436,2,0.08,41,124,0,69,41,0,True,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::18131df4ae534c689959f1719bb561e6,opta:Player:bkflu3s5t6fuasx2blzwp4jit,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Rosemary Eleanor Florence,White,R. White,Midfielder,New Zealand,31,3,,NZL,46,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,22,1794,4,1,34,0,14,1,21,47,24,4,8,0,0,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,1794,2,26,,2,678,11,153,14,285,5,44,16,20,4,43,388,217,30,,173,705,6,47,9,452,23,34,217,6,151,23,202,11,1,84,21,39,49,1068,30,22,22,5,194,1,253,46,10,95,14,1,36,5,24,33,16,270,11,34,16,1,132,148,1,472,488,76,5,1,175,9,16,62,True,0,0,0,0,705,5,0.05,36,388,0,80,36,0,True,1,1,1,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::3aefd825eeab48d994fc572c7a023ea0,opta:Player:88k3tmpcg5ov13cd8b9rxyggl,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Lydia,Williams,L. Williams,Goalkeeper,Australia,,1,,AUS,36,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,USA,22,1980,0,0,0,0,0,0,0,0,4,0,0,0,0,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1980,,,52,,486,,,,32,84,160,,,2,,172,572,,,12,776,,,,454,32,,172,,178,,54,,,190,22,2,118,942,,22,,,4,,394,,20,12,,,150,,4,10,,14,16,,,,2,204,,402,604,10,6,,2,,,2,True,0,0,0,0,776,0,0,150,172,0,310,150,0,True,,,,,,,,54,,,,48,236,,16,32,4,2,6,,10,,,,,8,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::9d70a08351914dbdaa2db3fc1e672fd5,opta:Player:aus7myzpa97kv749pdm83bbah,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,Sam,Witteman,S. Witteman,Midfielder,USA,26,3,,USA,124,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,USA,12,421,0,0,1,0,1,0,11,10,14,0,2,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,421,23,,,,137,3,12,1,46,2,12,3,,1,4,98,35,13,,48,140,5,10,2,75,3,1,60,,25,5,51,,12,30,5,11,18,259,,12,8,,49,,72,2,10,37,1,,5,1,14,9,1,62,5,9,,,21,31,,77,80,13,1,,25,2,13,28,True,0,0,0,0,140,1,0,5,98,0,17,5,0,True,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::4a2441cafc054eb19ee8e3299e963a4a,opta:Player:dvrjartag9mqmkuu888yrj5cl,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,Sarah,Woldmoe,S. Woldmoe,Midfielder,USA,14,3,,USA,9,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,NJ/NY Gotham FC,US,23,2034,5,2,16,0,9,2,40,21,18,0,1,0,0,,47,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2034,2,26,4,5,1063,1,153,3,417,10,35,16,7,5,30,236,510,52,,135,1094,1,21,7,861,42,16,170,,324,10,122,4,1,135,22,28,52,1377,1,23,7,10,147,,344,23,10,94,9,,63,3,18,18,3,195,26,4,1,1,71,273,1,898,924,48,3,2,101,12,36,76,True,0,0,0,0,1094,3,0.09,63,236,0,98,63,0,True,1,,,2,5,2,,,,1,2,,,,,,,,,,,,,,,,,7,4,,,1
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::f148283f909c473abc4a1a55fdf75fde,opta:Player:62v83wd1rwo8j7hv8hrrj3t1x,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Kelsey,Wys,K. Wys,Goalkeeper,USA,18,1,,USA,175,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::939dbe85be7545d7a100135571ba94b4,opta:Player:1xbmnft5hiqiqzmghn87c6vp,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Beverly,Yanez,B. Yanez,Midfielder,USA,17,3,,USA,83,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,22,1342,4,1,19,0,12,1,24,29,22,10,0,0,0,,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1342,19,11,,1,399,4,115,,193,6,9,18,7,,32,236,111,34,,107,420,13,29,10,296,22,19,116,,102,10,102,7,12,56,17,30,22,717,,22,15,1,137,,116,54,10,87,12,,8,,22,21,10,190,14,8,,,71,87,,283,304,53,,1,103,10,13,66,True,0,0,0,0,420,0,0.07,8,236,0,17,8,0,True,5,2,1,1,4,2,,,,,1,,,,,,,,,,,,,,,,,,,1,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::00588fa86e6345e88d90e3aacae4741b,opta:Player:30pcgn07mnn0sk4jp0t7bx9ed,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Shelina Laura,Zadorsky,S. Zadorsky,Defender,Canada,4,2,,CAN,30,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,USA,21,1793,0,1,3,0,2,1,18,9,4,0,2,0,0,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,1793,2,,5,,746,3,61,5,222,33,70,11,1,4,23,205,419,26,,91,797,1,9,1,586,36,3,161,2,227,5,121,3,1,115,20,17,67,1075,23,21,3,18,45,,348,3,10,51,2,1,50,,4,21,1,89,101,27,20,1,15,161,2,608,636,44,2,1,38,8,46,30,True,0,0,0,0,797,0,0.05,50,205,0,120,50,0,True,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::d8991716e33c4d7382309a7866ae9d6c,opta:Player:domf5amhxgz82ormceatnowd1,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,McCall,Zerboni,M. Zerboni,Midfielder,USA,7,3,,USA,13,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US,25,2197,3,1,22,0,10,1,101,51,34,0,5,0,0,,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,,2197,5,22,7,2,989,10,128,2,449,27,70,46,12,1,17,403,299,133,,207,1023,2,51,20,696,21,22,277,,261,22,232,8,1,199,25,67,63,1554,2,25,37,3,314,,440,33,10,221,10,,50,2,34,35,19,366,26,18,,,128,194,,712,746,52,11,1,145,32,77,186,True,0,0,0,0,1023,2,0.04,50,403,0,120,50,0,True,,1,,3,3,3,,,,,2,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::f03cdf778f1d404dbf2a340b1d92cb8b,opta:Player:aci7u6b5k20zdgo6is4r8628l,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,Rosana,dos Santos Augusto,Rosana,Midfielder,Brazil,8,3,,BRA,147,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,USA,4,68,0,0,1,0,1,0,0,5,3,1,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,68,,,,,21,,2,,11,,,1,,,2,18,1,,,9,21,1,5,1,12,3,1,9,,4,,10,,,4,1,1,,38,,4,4,,11,,6,4,10,7,1,,,,3,5,1,18,,1,,,9,9,,12,12,7,,,11,,,2,True,0,0,0,0,21,0,0,0,18,0,0,0,0,True,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::575e968bbc174d36bb50599db040917c,opta:Player:8vqnbx26ispw5tr75tcajomvp,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Janine,van Wyk,J. van Wyk,Defender,South Africa,5,2,,RSA,55,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,USA,17,1472,0,0,1,0,1,0,29,18,12,0,4,0,0,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1472,1,,8,,640,,86,,121,31,52,9,,2,13,132,415,40,,65,653,3,18,1,505,22,1,117,,183,,66,,,91,17,14,52,888,,17,12,20,88,,292,,10,65,1,,31,,12,12,,113,78,1,,,35,92,,524,536,25,5,,48,11,44,53,True,0,0,0,0,653,0,0,31,132,0,83,31,0,True,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
