season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,unsuccessful_crosses_open_play,offsides,time_played,throw_ins_to_own_player,successful_lay_offs,successful_launches,right_foot_goals,open_play_passes,corners_won,backward_passes,successful_crosses_corners,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,goals_conceded_outside_box,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,set_pieces_goals,unsuccessful_short_passes,total_passes,substitute_off,total_fouls_conceded,successful_dribbles,successful_short_passes,goals_conceded_inside_box,total_shots,total_unsuccessful_passes_excl_crosses_corners,successful_corners_into_box,rightside_passes,key_passes_attempt_assists,unsuccessful_passes_opposition_half,blocked_shots,throw_ins_to_opposition_player,recoveries,starts,putthrough_blocked_distribution,unsuccessful_passes_own_half,touches,corners_taken_incl_short_corners,appearances,foul_attempted_tackle,blocks,ground_duels,goals_from_outside_box,forward_passes,total_touches_in_opposition_box,index,duels_won,shots_on_target_inc_goals,attempts_from_set_pieces,successful_long_passes,successful_crosses_open_play,total_fouls_won,aerial_duels_won,unsuccessful_dribbles,duels,total_clearances,unsuccessful_crosses_corners,unsuccessful_corners_into_box,assists_intentional,ground_duels_lost,leftside_passes,clearances_off_the_line,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,clean_sheets,goal_assists,duels_lost,tackles_lost,interceptions,ground_duels_won,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,substitute_on,left_foot_goals,headed_goals,handballs_conceded,goals_from_inside_box,unsuccessful_lay_offs,own_goal_scored,gk_unsuccessful_distribution,last_man_tackle,penalties_conceded,through_balls,saves_made,gk_successful_distribution,drops,saves_made_from_outside_box,saves_made_from_inside_box,penalties_faced,saves_made_caught,punches,goalkeeper_smother,catches,total_red_cards,straight_red_cards,crosses_not_claimed,penalties_saved,saves_made_parried,saves_from_penalty,penalties_taken,penalty_goals,foul_won_penalty,other_goals,penalties_off_target
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::4fe9e338566349eaa890e35ca4f14395,opta:Player:92faf40oeermdhlvh8k482vo5,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,Rebekah Ashley,Stott,R. Stott,Defender,New Zealand,13,2,,NZL,37,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,NJY,NJ/NY Gotham FC,USA,22,1714,0,1,10,0,3,1,49,4,21,1,1,0,0,,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1714,151,1,11,,756,4,86,2,280,34,63,21,7,1,8,318,264,65,,159,764,1,4,11,514,26,10,222,,39,10,155,3,25,93,18,50,83,1284,,22,2,15,139,,395,22,10,111,3,,28,2,21,15,6,162,65,16,,,43,244,,534,542,23,3,1,51,16,33,96,True,0,0,0,0,764,2,0.05,28,318,0,91,28,0,True,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::c42483b83a2041dab4baf49a0edbacf7,opta:Player:76jpcvgx7gno2hbb4b498mlzp,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Elizabeth,Stout,E. Stout,Goalkeeper,USA,,1,,USA,174,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::d7d29fcbb1374eb4bda584df8d928547,opta:Player:dkk9sopglpjgnopxcxkn65gid,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars,Mallory,Swanson,M. Swanson,Forward,USA,9,4,,USA,74,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars,US,16,1203,6,1,37,0,21,1,14,13,20,6,0,0,0,,31,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,1203,10,14,1,4,461,15,126,11,262,1,9,10,16,4,9,275,98,20,,134,492,3,13,17,341,27,37,143,4,117,24,150,9,3,85,13,38,30,785,25,16,7,2,105,1,144,56,10,64,21,5,8,4,20,7,7,121,2,37,7,1,48,105,,322,349,16,1,1,57,6,12,57,True,0,0,0,0,492,4,0.07,8,275,0,17,8,0,True,3,2,,2,5,4,,,,,4,,,,,,,,,,,,,,,,,1,1,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::fa5c99f43d68434a80cfa5870fc94873,opta:Player:71980jw46n76kqembig36xadx,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,Ashleigh,Sykes,A. Sykes,Forward,Australia,14,4,,AUS,88,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,USA,17,1115,1,1,9,0,4,1,17,13,22,1,1,0,0,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1115,90,5,1,1,367,8,108,5,153,12,24,12,5,3,6,196,118,20,,79,369,10,13,14,262,11,9,103,,29,7,95,2,12,48,14,33,30,682,,17,6,2,105,,118,27,10,61,4,,4,5,22,6,11,117,17,22,,1,50,114,,264,266,12,2,1,56,3,14,55,True,0,0,0,0,369,5,0.08,4,196,0,28,4,0,True,3,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::64bdac4359a44e78b9e30d140eb05842,opta:Player:f04a7wd5w9ku2lh8ltaujhrl5,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Crystal Elaine Marie,Thomas,C. Thomas,Forward,USA,31,4,,USA,158,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,USA,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,25,,1,,,5,1,2,,,,,,,,,11,2,,,3,5,,,,2,,,3,,2,,4,,,1,,1,,14,,1,,,1,,1,2,10,,,,,,,,,1,,1,,,1,,,2,2,,,,1,,,,True,0,0,0,0,5,0,0,0,11,0,0,0,0,True,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::c51c2ea6078044c0aacecd0306ea21c5,opta:Player:pbjayuhhfpwy5cu7y7o2h0x5,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,Madison,Tiernan,M. Tiernan,Midfielder,USA,73,3,,USA,87,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,NJY,NJ/NY Gotham FC,USA,20,1036,3,1,20,0,8,1,29,18,16,3,4,0,0,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,1036,3,4,3,,373,4,118,1,150,11,17,18,12,2,20,183,121,36,,89,376,7,18,2,261,24,20,106,,77,8,98,1,4,54,11,32,23,613,,20,16,1,108,,106,27,10,80,8,,9,1,16,30,9,158,21,15,,1,58,75,,267,270,50,1,1,78,7,19,50,True,0,0,0,0,376,1,0.09,9,183,0,26,9,0,True,9,1,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::e68bda47fd2946fd842ea78f90a10aa2,opta:Player:9dhcf93mr1nfzxjv769gvnzyt,nwsl::Football_Team::73ef53968527477284cdd9823cb9d5b4,FC Kansas City,Erika,Tymrak,E. Tymrak,Midfielder,USA,15,3,,USA,127,opta:Team:84o73tduvg052h5xf8fp1kfpe,Kansas,KC,FC Kansas City,US,12,396,2,1,7,0,4,1,10,3,4,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,396,3,4,,2,116,3,24,7,61,,1,8,3,2,1,86,30,14,,31,116,4,3,4,81,5,7,32,5,48,8,40,1,,18,4,11,6,222,11,12,2,,45,,27,13,10,23,4,,3,2,4,2,5,48,1,14,6,1,24,17,,84,84,3,,1,25,4,1,21,True,0,0,0,0,116,2,0.23,3,86,0,4,3,0,True,8,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::9bdee3b8ae2547069438975fa3aa4ae0,opta:Player:dwclepmsssh2hd8381rjqbufp,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Chioma Grace,Ubogagu,C. Ubogagu,Forward,England,6,4,,ENG,75,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,USA,20,1418,4,3,27,0,13,3,10,12,12,10,1,0,0,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,1418,39,7,,,485,18,102,11,226,9,36,9,14,2,10,295,128,15,,113,492,11,12,27,330,22,27,149,4,94,16,156,14,2,95,17,29,23,842,7,20,8,1,135,,207,61,10,56,13,,13,7,12,3,28,148,14,30,3,3,82,89,,336,343,13,2,3,92,5,16,53,True,0,0,0,0,492,7,0.19,13,295,0,49,13,0,True,3,4,,,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::d90cabad749d4dd09e01a4f40afe693a,opta:Player:ewbvz3dxtwr7hx331uftylrkl,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Rumi,Utsugi,R. Utsugi,Defender,Japan,20,2,,JPN,16,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,20,1663,1,2,13,0,5,2,34,15,11,1,0,0,0,,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1663,9,17,5,,920,6,150,,285,18,57,21,8,1,35,284,458,49,,130,930,3,15,3,697,29,13,187,,207,11,150,5,,118,18,40,49,1210,,20,11,8,130,,325,21,10,80,5,,46,,11,17,7,182,13,12,,,67,248,,734,743,52,1,2,102,15,32,63,True,0,0,0,0,930,0,0.11,46,284,0,103,46,0,True,2,1,,2,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::514d945291b44c78adaabb4dfbf7ba03,opta:Player:c811si1xw5he6ih0o1mj94tsl,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Marta,Vieira da Silva Veiga,Marta,Forward,Brazil,10,4,,BRA,19,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,24,2028,13,6,45,0,25,6,33,15,35,10,3,0,0,,29,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,2028,11,34,,2,854,29,220,28,497,2,24,23,20,3,14,440,272,44,,131,896,6,15,40,673,26,45,155,18,201,58,226,21,,134,22,44,26,1484,72,24,6,2,247,,194,121,10,130,25,4,68,7,35,12,31,273,5,97,45,5,129,281,,705,741,26,3,6,143,11,21,118,True,0,0,0,0,896,7,0.27,68,440,0,92,68,0,True,2,10,1,1,13,1,,,,,5,,,,,,,,,,,,,,,,,2,2,1,,
