season,page,oddsportal_event_id,oddsportal_encoded_event_id,oddsportal_url,match_datetime,match_date,home_team_raw,away_team_raw,home_team,away_team,home_key,away_key,home_result,away_result,result,home_avg_odds,draw_avg_odds,away_avg_odds,home_max_odds,draw_max_odds,away_max_odds
2026,1,9937965,2oh0CWjf,/football/h2h/boston-legacy-I7e4N6Na/seattle-reign-OjKxRp5M/#2oh0CWjf,2026-05-23T00:00:00+00:00,2026-05-23,Boston Legacy W,Seattle Reign W,Boston Legacy,Reign,boston legacy,reign,1,2,1:2,2.15,3.3,2.98,2.2,3.4,3.0
2026,1,9937963,6JbiEhMs,/football/h2h/angel-city-bRtQszad/kansas-city-current-nHE01nbk/#6JbiEhMs,2026-05-21T02:00:00+00:00,2026-05-21,Angel City W,Kansas City Current W,Angel City FC,Current,angel city fc,current,2,1,2:1,3.43,3.38,1.94,3.6,3.5,1.98
2026,1,9937961,dpDLJEbK,/football/h2h/bay-fc-4QbExvzF/portland-thorns-fc-h6A8LOSq/#dpDLJEbK,2026-05-21T02:00:00+00:00,2026-05-21,Portland Thorns W,Bay FC W,Portland Thorns,Bay FC,portland thorns,bay fc,2,0,2:0,1.9,3.53,3.45,1.95,3.75,3.6
2026,1,9937959,GlzZeB6D,/football/h2h/houston-dash-M5AysivR/san-diego-wave-QXU76Jyc/#GlzZeB6D,2026-05-21T00:00:00+00:00,2026-05-21,Houston Dash W,San Diego Wave W,Houston Dash,SD Wave,houston dash,sd wave,2,2,2:2,4.7,3.78,1.6,4.8,3.95,1.6
2026,1,9937957,8OWQcXy1,/football/h2h/racing-louisville-08vkTDXh/utah-royals-z7PteVfk/#8OWQcXy1,2026-05-18T00:00:00+00:00,2026-05-18,Utah Royals W,Racing Louisville W,Royals,Racing Louisville,royals,racing louisville,2,1,2:1,1.63,3.83,4.4,1.64,3.95,4.6
2026,1,9937955,CdwIag7l,/football/h2h/angel-city-bRtQszad/portland-thorns-fc-h6A8LOSq/#CdwIag7l,2026-05-17T22:00:00+00:00,2026-05-17,Portland Thorns W,Angel City W,Portland Thorns,Angel City FC,portland thorns,angel city fc,0,0,0:0,1.9,3.43,3.55,1.93,3.6,3.7
2026,1,9937953,GQin5FqR,/football/h2h/denver-summit-x2WvVrRL/orlando-pride-MqPAFyfb/#GQin5FqR,2026-05-17T00:45:00+00:00,2026-05-17,Denver Summit W,Orlando Pride W,Denver Summit FC,Orlando Pride,denver summit fc,orlando pride,3,1,3:1,2.13,3.45,2.9,2.15,3.6,3.05
2026,1,9937951,MRbw7yFE,/football/h2h/chicago-stars-I9zHnxqt/north-carolina-courage-QNeQX1Ir/#MRbw7yFE,2026-05-16T22:30:00+00:00,2026-05-16,North Carolina Courage W,Chicago W,NC Courage,Chicago Stars,nc courage,chicago stars,4,0,4:0,1.28,5.0,8.63,1.29,5.0,9.0
2026,1,9937945,QuFzmGNr,/football/h2h/bay-fc-4QbExvzF/boston-legacy-I7e4N6Na/#QuFzmGNr,2026-05-16T02:00:00+00:00,2026-05-16,Bay FC W,Boston Legacy W,Bay FC,Boston Legacy,bay fc,boston legacy,1,1,1:1,2.45,3.45,2.48,2.5,3.7,2.5
2026,1,9937943,MgLA5OwA,/football/h2h/gotham-fc-l8iSqzTb/seattle-reign-OjKxRp5M/#MgLA5OwA,2026-05-16T02:00:00+00:00,2026-05-16,Seattle Reign W,Gotham W,Reign,Gotham FC,reign,gotham fc,0,2,0:2,4.55,3.55,1.67,4.6,3.7,1.68
