season,team,player_name,player_name_key,position,minutes_played,asa_xgoals,asa_xassists,asa_points_added,asa_xpoints_added,asa_xg_plus_xa_per90,asa_gplus_raw_total,asa_gplus_above_avg_total,asa_gplus_above_avg_per90,asa_gplus_shooting_above_avg,asa_gplus_passing_above_avg,asa_gplus_dribbling_above_avg,asa_gplus_receiving_above_avg,asa_gplus_interrupting_above_avg,asa_gplus_fouling_above_avg,asa_gplus_claiming_above_avg
2026,Orlando Pride,Reagan Raabe,reagan raabe,W,50,0.0454,0.0,0.0,0.044,0.08172,-0.2156,-0.3064,-0.55152,0.008700000000000001,-0.11610000000000001,-0.1925,-0.0318,0.026500000000000003,-0.0012000000000000001,0.0
2026,Orlando Pride,Seven Castain,seven castain,W,399,0.6841,0.3936,0.0,0.4572,0.24309022556390977,0.5161,-0.42050000000000004,-0.09484962406015038,-0.12390000000000001,0.08320000000000001,-0.20320000000000002,0.0135,-0.1675,-0.022600000000000002,0.0
2026,Orlando Pride,Simone Jackson,simone jackson,W,211,0.07730000000000001,0.0,0.0,0.0213,0.03297156398104266,0.033,-0.4668,-0.1991090047393365,-0.0756,-0.022600000000000002,-0.0794,-0.176,-0.09480000000000001,-0.0184,0.0
2026,Orlando Pride,Solai Washington,solai washington,W,489,0.8387,0.6688000000000001,0.0,0.627,0.27745398773006136,1.5679,0.4098,0.07542331288343558,0.044,0.0912,0.5001,-0.2691,0.0494,-0.0058000000000000005,0.0
2026,Orlando Pride,Summer Yates,summer yates,W,558,0.6019,0.2798,0.0,0.49970000000000003,0.14220967741935484,1.052,-0.17180000000000004,-0.027709677419354845,-0.0945,0.1698,0.0925,-0.29050000000000004,-0.056,0.006900000000000001,0.0
2026,Portland Thorns,Carolyn Calzada,carolyn calzada,CB,332,0.0,0.3337,0.0,0.0,0.09046084337349397,0.048400000000000006,-0.3276,-0.08880722891566264,-0.0258,-0.0893,0.0205,-0.038900000000000004,-0.2068,0.012700000000000001,0.0
2026,Portland Thorns,Cassandra Bogere,cassandra bogere,DM,856,0.0548,0.0883,0.0,0.0332,0.015045560747663552,0.7676999999999999,-0.2816,-0.02960747663551402,-0.1743,-0.2921,-0.0877,-0.19440000000000002,0.45330000000000004,0.013600000000000001,0.0
2026,Portland Thorns,Deyna Castellanos,deyna castellanos,CM,135,0.2214,0.060200000000000004,0.0,0.1704,0.18773333333333334,0.06249999999999999,-0.22400000000000003,-0.14933333333333335,-0.0196,-0.096,0.0956,-0.11460000000000001,-0.08320000000000001,-0.006200000000000001,0.0
2026,Portland Thorns,Isabella Obaze,isabella obaze,CB,660,0.3537,0.0188,0.0,0.25680000000000003,0.050795454545454546,1.0228,0.27560000000000007,0.037581818181818195,0.1302,-0.1663,0.0757,0.049800000000000004,0.139,0.0472,0.0
2026,Portland Thorns,Jayden Perry,jayden perry,CB,387,0.09720000000000001,0.1996,0.0,0.0461,0.0690232558139535,0.6136000000000001,0.15669999999999995,0.03644186046511627,0.0218,0.0228,-0.0239,-0.0175,0.1389,0.0146,0.0
