season,match_date,home_team,away_team,home_xg,away_xg,home_xg_players,away_xg_players,home_xpoints,away_xpoints,asa_game_id
2025,2025-09-19,Angel City FC,Washington Spirit,1.0054,2.7039,1.0054,2.7101,0.312,2.556,gOMnALRmQw
2025,2025-09-17,Reign,Racing Louisville,1.5176,1.8383,1.5864,1.8555000000000001,1.137,1.62,gpMOpdan5z
2025,2025-09-14,Royals,Houston Dash,0.9013,0.2619,0.9052,0.2619,1.984,0.655,0Oq6bZwXq6
2025,2025-09-14,Chicago Stars,Portland Thorns,1.719,1.1474,1.719,1.1489,1.7510000000000001,1.019,7VqGbYje5v
2025,2025-09-13,Current,Washington Spirit,1.9313,0.47840000000000005,2.0477,0.4833,2.483,0.359,0x5gjn2rM7
2025,2025-09-13,Orlando Pride,Bay FC,1.788,1.4175,1.8092000000000001,1.4352,1.613,1.139,NWMWp4V75l
2025,2025-09-13,NC Courage,Angel City FC,0.8459,0.5611,0.8459,0.5611,1.613,1.016,KAqBbO9Jqb
2025,2025-09-13,SD Wave,Gotham FC,1.2767,0.9504,1.2903,0.9504,1.6380000000000001,1.071,eVq3bDj65W
2025,2025-09-08,SD Wave,Houston Dash,1.9124,1.8044,1.9716,1.8044,1.463,1.298,Oa5wj2VjM1
2025,2025-09-07,Gotham FC,Angel City FC,1.9037,0.9634,1.941,0.9677,2.023,0.757,jYQJmLzyqG
2025,2025-09-07,Washington Spirit,Reign,1.3248,0.7668,1.3456,0.7668,1.791,0.927,2lqRpdk0Mr
2025,2025-09-07,Chicago Stars,Orlando Pride,2.4406,2.0164,2.4441,2.032,1.654,1.147,vzqoKN7kqa
2025,2025-09-07,Bay FC,Current,0.3425,3.8232,0.3443,3.8442,0.031,2.941,gOMnALRXQw
2025,2025-09-06,NC Courage,Royals,2.0632,2.7164,2.0653,2.873,1.031,1.754,gpMOpdaE5z
2025,2025-09-06,Racing Louisville,Portland Thorns,2.7933,2.2084,3.1357,2.2511,1.79,1.013,0Oq6bZwAq6
2025,2025-09-02,Angel City FC,Bay FC,1.8153000000000001,1.1712,1.8222,1.4228,1.813,0.9520000000000001,7VqGbYj65v
2025,2025-08-31,Washington Spirit,Chicago Stars,1.898,1.26,1.9456,1.26,1.793,0.9470000000000001,0x5gjn2ZM7
2025,2025-08-30,Current,NC Courage,1.2182,0.6856,1.2197,0.6880000000000001,1.928,0.779,NWMWp4VK5l
2025,2025-08-30,Reign,SD Wave,1.1148,1.0295,1.1148,1.0379,1.441,1.243,KAqBbO94qb
