2026-03-15 00:00:30 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1805, rho=0.0437, intercept=0.1938, n_teams=12
2026-03-15 00:00:30 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.627, defense=1.627)
2026-03-15 00:00:33 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.2170, rho=0.0396, intercept=0.1892, n_teams=12
2026-03-15 00:00:33 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.629, defense=1.629)
2026-03-15 00:00:35 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.2166, rho=-0.0087, intercept=0.1962, n_teams=12
2026-03-15 00:00:36 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.629, defense=1.629)
2026-03-15 00:00:38 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1910, rho=-0.0512, intercept=0.2059, n_teams=12
2026-03-15 00:00:38 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.618, defense=1.618)
2026-03-15 00:00:41 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1821, rho=-0.1122, intercept=0.2145, n_teams=12
2026-03-15 00:00:41 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.617, defense=1.617)
2026-03-15 00:00:44 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1426, rho=-0.0990, intercept=0.2107, n_teams=12
2026-03-15 00:00:44 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.624, defense=1.624)
2026-03-15 00:00:47 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1665, rho=-0.1228, intercept=0.1934, n_teams=12
2026-03-15 00:00:47 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.625, defense=1.625)
2026-03-15 00:00:50 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0989, rho=-0.1038, intercept=0.2106, n_teams=12
2026-03-15 00:00:50 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.634, defense=1.634)
