team,attack_rating,defense_rating,n_matches,last_match_date
North Carolina Courage,0.430597236987944,-0.1839110737570123,43,2026-08-06
San Diego Wave FC,0.18644129120258368,-0.3095747817116228,44,2026-08-02
Kansas City Current,0.16615467605366724,-0.1830632927779406,44,2026-08-01
Angel City FC,0.16002164236367464,-0.12336912695568217,42,2026-08-01
Utah Royals,0.13108308038537447,-0.05294510103140571,44,2026-08-02
Gotham FC,0.09463287404829357,-0.18766488112720728,44,2026-08-02
Denver Summit FC,0.01897235132440967,0.11789657605690572,17,2026-08-06
Boston Legacy FC,0.004656741472951125,-0.08536881347733177,18,2026-08-03
Portland Thorns FC,-0.018743551382872092,0.0463049420273307,44,2026-08-02
Seattle Reign FC,-0.07162586285122464,0.11517271426364979,42,2026-08-02
Orlando Pride,-0.07243609930916542,-0.021740695346423228,44,2026-08-01
Racing Louisville FC,-0.07661615688302759,0.19432263217083678,43,2026-08-01
Bay FC,-0.15720739040269716,0.10385874113613866,43,2026-08-02
Washington Spirit,-0.16768131086038865,-0.16570907930163878,44,2026-08-02
Houston Dash,-0.2559261028770846,0.2559355985321874,43,2026-08-02
Chicago Stars FC,-0.4018342864613328,0.5375426124766302,43,2026-08-01
