team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Angel City FC,31,25.2,50.2,26,286,,26.0,30,20,50,29,1,2,34,0,1.15,0.77,1.92,1.12,1.88
Bay FC,25,26.1,50.1,26,286,,26.0,26,19,45,23,3,3,47,0,1.0,0.73,1.73,0.88,1.62
Chicago Stars,27,27.6,46.7,26,286,,26.0,32,24,56,32,0,0,34,0,1.23,0.92,2.15,1.23,2.15
Current,27,27.2,46.5,26,286,,26.0,48,31,79,42,6,6,27,1,1.85,1.19,3.04,1.62,2.81
Gotham FC,29,27.5,53.4,26,286,,26.0,33,22,55,30,3,3,38,4,1.27,0.85,2.12,1.15,2.0
Houston Dash,27,27.6,49.5,26,286,,26.0,25,19,44,25,0,1,29,1,0.96,0.73,1.69,0.96,1.69
NC Courage,25,25.5,52.7,26,286,,26.0,35,21,56,33,2,5,22,0,1.35,0.81,2.15,1.27,2.08
Orlando Pride,27,27.9,53.1,26,286,,26.0,27,19,46,24,3,5,27,0,1.04,0.73,1.77,0.92,1.65
Portland Thorns,25,24.9,47.7,26,286,,26.0,35,19,54,28,7,9,29,0,1.35,0.73,2.08,1.08,1.81
Racing Louisville,20,26.8,41.2,26,286,,26.0,34,25,59,30,4,4,39,1,1.31,0.96,2.27,1.15,2.12
Reign,24,25.6,45.5,26,286,,26.0,30,17,47,27,3,3,33,0,1.15,0.65,1.81,1.04,1.69
Royals,28,26.6,51.3,26,286,,26.0,27,13,40,25,2,2,53,1,1.04,0.5,1.54,0.96,1.46
SD Wave,25,26.2,59.5,26,286,,26.0,38,29,67,38,0,1,32,1,1.46,1.12,2.58,1.46,2.58
Washington Spirit,28,26.1,52.5,26,286,,26.0,38,29,67,38,0,2,32,1,1.46,1.12,2.58,1.46,2.58
