team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Angel City FC,1,4.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
Bay FC,1,4.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
Boston Legacy,1,4.0,7,1,,,,,,,,,,,,,,,,,,,,,,,
Chicago Stars,2,5.0,11,1,,,,,,,,,,,,,,,,,,,,,,,
Current,1,5.0,9,1,,,,,,,,,,,,,,,,,,,,,,,
Denver Summit,1,5.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
Gotham FC,1,5.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
Houston Dash,1,4.0,5,2,,,,,,,,,,,,,,,,,,,,,,,
NC Courage,1,4.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
Orlando Pride,1,5.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
Portland Thorns,2,5.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
Racing Louisville,1,4.0,10,2,,,,,,,,,,,,,,,,,,,,,,,
Reign,1,5.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
Royals,1,5.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
SD Wave,2,5.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
Washington Spirit,1,5.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
