team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area
Angel City FC,24,22.0,,,,,,,,,,,,,,,24,,,,,
Current,25,22.0,,,,,,,,,,,,,,,20,,,,,
Gotham FC,28,22.0,,,,,,,,,,,,,,,13,,,,,
Houston Dash,27,22.0,,,,,,,,,,,,,,,10,,,,,
NC Courage,25,22.0,,,,,,,,,,,,,,,22,,,,,
Orlando Pride,25,22.0,,,,,,,,,,,,,,,18,,,,,
Portland Thorns,23,22.0,,,,,,,,,,,,,,,31,,,,,
Racing Louisville,25,22.0,,,,,,,,,,,,,,,10,,,,,
Red Stars,26,22.0,,,,,,,,,,,,,,,16,,,,,
Reign,26,22.0,,,,,,,,,,,,,,,22,,,,,
SD Wave,27,22.0,,,,,,,,,,,,,,,19,,,,,
Washington Spirit,26,22.0,,,,,,,,,,,,,,,15,,,,,
