team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Angel City FC,15,4.0,,,,,,,,,,,,,,,,
Bay FC,20,4.0,,,,,,,,,,,,,,,,
Boston Legacy,19,4.0,,,,,,,,,,,,,,,,
Chicago Stars,21,5.0,,,,,,,,,,,,,,,,
Current,22,5.0,,,,,,,,,,,,,,,,
Denver Summit,18,5.0,,,,,,,,,,,,,,,,
Gotham FC,19,5.0,,,,,,,,,,,,,,,,
Houston Dash,19,4.0,,,,,,,,,,,,,,,,
NC Courage,20,4.0,,,,,,,,,,,,,,,,
Orlando Pride,19,5.0,,,,,,,,,,,,,,,,
Portland Thorns,20,5.0,,,,,,,,,,,,,,,,
Racing Louisville,18,4.0,,,,,,,,,,,,,,,,
Reign,19,5.0,,,,,,,,,,,,,,,,
Royals,21,5.0,,,,,,,,,,,,,,,,
SD Wave,19,5.0,,,,,,,,,,,,,,,,
Washington Spirit,19,5.0,,,,,,,,,,,,,,,,
