team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Angel City FC,24,22.0,,259,,,,,,,,,,,191,,,
Current,25,22.0,,221,,,,,,,,,,,224,,,
Gotham FC,28,22.0,,261,,,,,,,,,,,225,,,
Houston Dash,27,22.0,,237,,,,,,,,,,,226,,,
NC Courage,25,22.0,,250,,,,,,,,,,,213,,,
Orlando Pride,25,22.0,,286,,,,,,,,,,,199,,,
Portland Thorns,23,22.0,,288,,,,,,,,,,,211,,,
Racing Louisville,25,22.0,,218,,,,,,,,,,,245,,,
Red Stars,26,22.0,,248,,,,,,,,,,,223,,,
Reign,26,22.0,,252,,,,,,,,,,,254,,,
SD Wave,27,22.0,,218,,,,,,,,,,,219,,,
Washington Spirit,26,22.0,,250,,,,,,,,,,,235,,,
