ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
1,Kerry Abello,usUSA,DF,Orlando Pride,24,1999,26,25,,23.4,1,2,3,1,0,0,2,0,0.04,0.09,0.13,0.04,0.13,Matches
2,Emeri Adames,usUSA,"MF,FW",Reign,17,2006,21,6,540.0,6.0,1,0,1,1,0,0,0,0,0.17,0.0,0.17,0.17,0.17,Matches
3,Adriana,brBRA,"MF,FW",Orlando Pride,27,1996,23,19,,18.7,6,1,7,4,2,2,0,0,0.32,0.05,0.37,0.21,0.27,Matches
4,Amirah Ali,usUSA,"FW,MF",SD Wave,25,1998,14,4,572.0,6.4,1,0,1,1,0,0,0,0,0.16,0.0,0.16,0.16,0.16,Matches
5,Aline,brBRA,"FW,MF",NC Courage,18,2005,7,5,371.0,4.1,1,0,1,1,0,0,0,0,0.24,0.0,0.24,0.24,0.24,Matches
6,Amanda Allen,caCAN,FW,Orlando Pride,18,2005,8,0,87.0,1.0,0,1,1,0,0,0,1,0,0.0,1.03,1.03,0.0,1.03,Matches
7,Michelle Alozie,ngNGA,"FW,MF",Houston Dash,26,1997,24,14,,15.0,0,1,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,Matches
8,Angelina Anderson,usUSA,GK,Angel City FC,22,2001,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
9,Hannah Anderson,usUSA,DF,Red Stars,22,2001,16,15,,15.1,0,1,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,Matches
10,Joelle Anderson,usUSA,MF,Bay FC,25,1998,17,10,916.0,10.2,3,2,5,3,0,0,2,0,0.29,0.2,0.49,0.29,0.49,Matches
11,Andressa,brBRA,"MF,FW",Houston Dash,31,1992,24,15,,13.1,1,1,2,1,0,0,3,0,0.08,0.08,0.15,0.08,0.15,Matches
12,Angelina,brBRA,MF,Orlando Pride,24,2000,21,16,,16.5,2,2,4,2,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches
13,Mackenzie Arnold,auAUS,GK,Portland Thorns,29,1994,5,5,450.0,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
14,Ary Borges,brBRA,MF,Racing Louisville,24,1999,14,10,826.0,9.2,1,2,3,1,0,0,3,0,0.11,0.22,0.33,0.11,0.33,Matches
15,Kimmi Ascanio,usUSA,MF,SD Wave,16,2008,6,2,148.0,1.6,0,1,1,0,0,0,0,0,0.0,0.61,0.61,0.0,0.61,Matches
