team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Angel City FC,31,26.0,,,,,,,,,,,,,,,,
Bay FC,25,26.0,,,,,,,,,,,,,,,,
Chicago Stars,27,26.0,,,,,,,,,,,,,,,,
Current,27,26.0,,,,,,,,,,,,,,,,
Gotham FC,29,26.0,,,,,,,,,,,,,,,,
Houston Dash,27,26.0,,,,,,,,,,,,,,,,
NC Courage,25,26.0,,,,,,,,,,,,,,,,
Orlando Pride,27,26.0,,,,,,,,,,,,,,,,
Portland Thorns,25,26.0,,,,,,,,,,,,,,,,
Racing Louisville,20,26.0,,,,,,,,,,,,,,,,
Reign,24,26.0,,,,,,,,,,,,,,,,
Royals,28,26.0,,,,,,,,,,,,,,,,
SD Wave,25,26.0,,,,,,,,,,,,,,,,
Washington Spirit,28,26.0,,,,,,,,,,,,,,,,
