team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90
Angel City FC,31,25.2,26,,90,100,26.0,286,82,167,119,19,103,1.04,31,41,-10,-0.38
Bay FC,25,26.1,26,,90,100,26.0,286,81,173,113,22,117,0.77,26,41,-15,-0.58
Chicago Stars,27,27.6,26,,90,100,26.0,286,82,174,112,19,121,0.77,32,54,-22,-0.85
Current,27,27.2,26,,90,100,26.0,286,82,164,123,19,108,2.5,49,13,36,1.38
Gotham FC,29,27.5,26,,90,100,26.0,286,81,164,118,21,109,1.38,35,25,10,0.38
Houston Dash,27,27.6,26,,90,100,26.0,286,82,182,105,21,126,1.15,27,39,-12,-0.46
NC Courage,25,25.5,26,,90,100,26.0,286,83,169,117,18,117,1.35,37,39,-2,-0.08
Orlando Pride,27,27.9,26,,90,100,26.0,286,80,163,124,24,108,1.54,33,27,6,0.23
Portland Thorns,25,24.9,26,,90,100,26.0,286,82,168,119,19,113,1.54,36,29,7,0.27
Racing Louisville,20,26.8,26,,90,100,26.0,286,84,201,85,19,140,1.42,35,38,-3,-0.12
Reign,24,25.6,26,,90,100,26.0,286,83,166,121,18,113,1.5,32,29,3,0.12
Royals,28,26.6,26,,90,100,26.0,286,80,161,124,23,103,0.96,28,42,-14,-0.54
SD Wave,25,26.2,26,,90,100,26.0,286,83,174,111,18,121,1.42,41,34,7,0.27
Washington Spirit,28,26.1,26,,90,100,26.0,286,81,173,112,24,106,1.69,42,33,9,0.35
