team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Angel City FC,31,50.2,26.0,,,,,,,,,,,,,,,,,,,,
Bay FC,25,50.1,26.0,,,,,,,,,,,,,,,,,,,,
Chicago Stars,27,46.7,26.0,,,,,,,,,,,,,,,,,,,,
Current,27,46.5,26.0,,,,,,,,,,,,,,,,,,,,
Gotham FC,29,53.4,26.0,,,,,,,,,,,,,,,,,,,,
Houston Dash,27,49.5,26.0,,,,,,,,,,,,,,,,,,,,
NC Courage,25,52.7,26.0,,,,,,,,,,,,,,,,,,,,
Orlando Pride,27,53.1,26.0,,,,,,,,,,,,,,,,,,,,
Portland Thorns,25,47.7,26.0,,,,,,,,,,,,,,,,,,,,
Racing Louisville,20,41.2,26.0,,,,,,,,,,,,,,,,,,,,
Reign,24,45.5,26.0,,,,,,,,,,,,,,,,,,,,
Royals,28,51.3,26.0,,,,,,,,,,,,,,,,,,,,
SD Wave,25,59.5,26.0,,,,,,,,,,,,,,,,,,,,
Washington Spirit,28,52.5,26.0,,,,,,,,,,,,,,,,,,,,
