ranker,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,matches
257,Ally Prisock,usUSA,DF,Houston Dash,26,1997,9,792.0,88.0,40.0,8.8,9,88.0,8,0,,8,1.11,5.0,6.0,-1.0,-0.11,-0.04,Matches
258,Gabby Provenzano,usUSA,MF,Portland Thorns,23,1999,0,,,,,0,,0,0,,6,,,,,,,Matches
259,Sarah Puntigam,atAUT,"DF,MF",Houston Dash,30,1992,6,468.0,78.0,23.6,5.2,6,78.0,4,0,,1,1.33,4.0,4.0,0.0,0.0,0.12,Matches
260,Margaret Purce,usUSA,"FW,MF",Gotham FC,27,1995,12,717.0,60.0,36.2,8.0,8,75.0,3,4,30.0,0,1.8,13.0,11.0,2.0,0.25,0.32,Matches
261,Quinn,caCAN,MF,Reign,27,1995,15,789.0,53.0,39.8,8.8,9,77.0,2,6,16.0,0,1.5,9.0,9.0,0.0,0.0,-0.38,Matches
262,Rafaelle,brBRA,DF,Orlando Pride,31,1991,7,609.0,87.0,30.8,6.8,7,87.0,6,0,,0,1.71,12.0,7.0,5.0,0.74,1.13,Matches
263,Megan Rapinoe,usUSA,"MF,FW",Reign,37,1985,15,,67.0,50.7,11.1,12,75.0,4,3,36.0,0,1.67,15.0,13.0,2.0,0.18,-0.1,Matches
264,Brittany Ratcliffe,usUSA,"MF,FW",NC Courage,28,1994,8,369.0,46.0,18.6,4.1,4,79.0,2,4,13.0,11,1.33,3.0,5.0,-2.0,-0.49,-0.99,Matches
265,Megan Reid,usUSA,DF,Angel City FC,26,1996,9,794.0,88.0,40.1,8.8,8,90.0,8,1,74.0,12,1.56,13.0,14.0,-1.0,-0.11,-0.27,Matches
266,Thais Reiss,brBRA,DF,Orlando Pride,23,1999,0,,,,,0,,0,0,,5,,,,,,,Matches
267,Reyna Reyes,mxMEX,DF,Portland Thorns,21,2001,19,656.0,35.0,33.1,7.3,5,72.0,3,14,21.0,3,1.5,13.0,11.0,2.0,0.27,-0.27,Matches
268,Chloe Ricketts,usUSA,MF,Washington Spirit,15,2007,11,292.0,27.0,14.7,3.2,2,60.0,0,9,19.0,8,1.09,3.0,3.0,0.0,0.0,0.16,Matches
269,Kaleigh Riehl,usUSA,DF,SD Wave,26,1996,19,,86.0,82.5,18.2,18,90.0,18,1,14.0,2,1.63,26.0,20.0,6.0,0.33,-0.45,Matches
270,Ali Riley,nzNZL,DF,Angel City FC,35,1987,18,,69.0,62.8,13.8,14,82.0,7,4,24.0,2,1.26,24.0,21.0,3.0,0.22,0.46,Matches
271,Clara Robbins,usUSA,MF,NC Courage,24,1998,2,91.0,46.0,4.6,1.0,1,87.0,0,1,4.0,6,1.5,0.0,2.0,-2.0,-1.98,-2.41,Matches
272,Gabrielle Robinson,usUSA,DF,Current,21,2001,20,,85.0,85.9,18.9,19,89.0,17,1,8.0,1,1.1,20.0,30.0,-10.0,-0.53,-1.82,Matches
273,Cari Roccaro,usUSA,MF,Red Stars,28,1994,21,,87.0,92.3,20.3,21,87.0,18,0,,0,1.14,27.0,46.0,-19.0,-0.94,0.83,Matches
274,Trinity Rodman,usUSA,"FW,MF",Washington Spirit,20,2002,19,,86.0,82.5,18.1,19,86.0,14,0,,0,1.47,22.0,22.0,0.0,0.0,0.78,Matches
275,Izzy Rodriguez,usUSA,DF,Current,23,1999,22,,57.0,63.4,14.0,11,85.0,8,11,29.0,0,1.18,24.0,21.0,3.0,0.21,1.33,Matches
276,Raquel Rodríguez,crCRC,MF,Portland Thorns,29,1993,13,598.0,46.0,30.2,6.6,7,66.0,0,6,22.0,1,1.5,10.0,11.0,-1.0,-0.15,-0.87,Matches
277,Svava Rós Guðmundsdóttir,isISL,"MF,FW",Gotham FC,27,1995,5,152.0,30.0,7.7,1.7,2,45.0,0,3,21.0,8,1.4,2.0,1.0,1.0,0.59,0.59,Matches
278,Katelyn Rowland,usUSA,GK,NC Courage,28,1994,2,180.0,90.0,9.1,2.0,2,90.0,2,0,,20,1.5,2.0,2.0,0.0,0.0,-0.35,Matches
279,Yazmeen Ryan,usUSA,"MF,FW",Gotham FC,23,1999,21,,74.0,78.6,17.3,17,84.0,8,4,34.0,0,1.63,18.0,17.0,1.0,0.06,0.06,Matches
280,Ebony Salmon,engENG,"FW,MF",Houston Dash,22,2001,17,943.0,55.0,47.6,10.5,11,77.0,3,6,16.0,0,1.18,6.0,10.0,-4.0,-0.38,-0.56,Matches
281,Emily Sams,usUSA,DF,Orlando Pride,23,1999,22,,90.0,99.8,22.0,22,90.0,21,0,,0,1.41,27.0,28.0,-1.0,-0.05,-0.05,Matches
282,Ashley Sanchez,usUSA,"MF,FW",Washington Spirit,23,1999,20,,80.0,80.5,17.7,19,82.0,6,1,29.0,0,1.45,21.0,22.0,-1.0,-0.06,0.41,Matches
283,Maria Sanchez,mxMEX,"MF,FW",Houston Dash,26,1996,22,,81.0,89.5,19.7,21,83.0,10,1,30.0,0,1.18,16.0,18.0,-2.0,-0.1,-0.1,Matches
284,Ouleymata Sarr,frFRA,MF,Washington Spirit,27,1995,7,439.0,63.0,22.2,4.9,5,72.0,0,2,40.0,0,0.86,2.0,8.0,-6.0,-1.23,-1.41,Matches
285,Becky Sauerbrunn,usUSA,DF,Portland Thorns,37,1985,9,564.0,63.0,28.5,6.3,8,68.0,3,1,24.0,2,1.9,15.0,6.0,9.0,1.44,1.37,Matches
286,Ally Schlegel,usUSA,"MF,FW",Red Stars,22,2000,14,383.0,27.0,19.3,4.3,2,62.0,0,12,22.0,3,0.64,6.0,11.0,-5.0,-1.17,-0.22,Matches
287,Sophie Schmidt,caCAN,MF,Houston Dash,34,1988,20,,88.0,88.6,19.5,20,88.0,16,0,,0,1.3,15.0,16.0,-1.0,-0.05,0.35,Matches
288,Olivia Sekany,usUSA,GK,Racing Louisville,24,1998,0,,,,,0,,0,0,,20,,,,,,,Matches
289,Kayla Sharples,usUSA,DF,Red Stars,25,1997,11,695.0,63.0,35.1,7.7,8,84.0,6,3,8.0,2,1.45,8.0,19.0,-11.0,-1.42,-0.65,Matches
290,Jaedyn Shaw,usUSA,"MF,FW",SD Wave,18,2004,22,,68.0,75.1,16.5,19,73.0,5,3,32.0,0,1.61,20.0,15.0,5.0,0.3,-0.43,Matches
291,Delanie Sheehan,usUSA,"MF,FW",Gotham FC,24,1999,18,,69.0,62.3,13.7,15,79.0,4,3,14.0,4,1.62,16.0,18.0,-2.0,-0.15,-0.51,Matches
292,Kailen Sheridan,caCAN,GK,SD Wave,27,1995,19,,90.0,86.3,19.0,19,90.0,18,0,,0,1.65,27.0,18.0,9.0,0.47,0.47,Matches
293,Marissa Sheva,ieIRL,MF,Washington Spirit,25,1997,10,270.0,27.0,13.6,3.0,2,62.0,0,8,18.0,10,2.1,7.0,3.0,4.0,1.33,1.7,Matches
294,Meleana Shim,usUSA,MF,Gotham FC,31,1991,5,57.0,11.0,2.9,0.6,0,,0,5,11.0,5,1.0,1.0,1.0,0.0,0.0,-0.05,Matches
295,Cheyenne Shorts,usUSA,DF,SD Wave,24,1998,2,180.0,90.0,9.1,2.0,2,90.0,2,0,,3,0.5,2.0,3.0,-1.0,-0.5,-1.0,Matches
296,Wang Shuang,cnCHN,"FW,MF",Racing Louisville,28,1995,18,,72.0,65.6,14.4,17,75.0,1,1,19.0,0,1.28,17.0,14.0,3.0,0.21,0.47,Matches
297,Lena Silano,usUSA,"FW,MF",Washington Spirit,22,2000,12,305.0,25.0,15.4,3.4,3,60.0,0,9,14.0,6,1.67,4.0,5.0,-1.0,-0.3,-0.19,Matches
298,Jordan Silkowitz,usUSA,GK,Current,22,2000,0,,,,,0,,0,0,,9,,,,,,,Matches
299,Christine Sinclair,caCAN,"MF,FW",Portland Thorns,39,1983,19,,54.0,51.9,11.4,13,69.0,2,6,21.0,0,1.7,24.0,17.0,7.0,0.61,0.33,Matches
300,Abby Smith,usUSA,GK,Gotham FC,29,1993,15,,90.0,68.2,15.0,15,90.0,15,0,,1,1.47,16.0,15.0,1.0,0.07,0.07,Matches
301,Nikia Smith,,DF,NC Courage,,,0,,,,,0,,0,0,,2,,,,,,,Matches
302,Taylor Smith,usUSA,FW,Gotham FC,29,1993,8,454.0,57.0,22.9,5.0,5,79.0,2,3,19.0,1,1.75,9.0,4.0,5.0,0.99,1.23,Matches
303,Havana Solaun,jmJAM,MF,Houston Dash,29,1993,9,192.0,21.0,9.7,2.1,1,45.0,0,8,18.0,4,1.44,0.0,1.0,-1.0,-0.47,-0.42,Matches
304,Emily Sonnett,usUSA,MF,Reign,29,1993,19,,88.0,84.6,18.6,19,88.0,16,0,,0,1.68,24.0,20.0,4.0,0.21,-0.08,Matches
305,Croix Soto,,DF,Current,,,12,743.0,62.0,37.5,8.3,8,84.0,7,4,17.0,4,1.0,9.0,13.0,-4.0,-0.48,-0.34,Matches
306,Alexa Spaanstra,usUSA,"FW,MF",Current,22,2000,15,535.0,36.0,27.0,5.9,5,76.0,0,10,16.0,7,0.93,9.0,13.0,-4.0,-0.67,-0.55,Matches
307,Meredith Speck,usUSA,MF,NC Courage,29,1993,10,662.0,66.0,33.4,7.4,9,71.0,2,1,24.0,3,2.0,9.0,5.0,4.0,0.54,0.34,Matches
308,Mariana Speckmaier,veVEN,FW,Washington Spirit,25,1997,2,2.0,1.0,0.1,0.0,0,,0,2,1.0,0,0.5,0.0,0.0,0.0,0.0,0.14,Matches
309,Jasmyne Spencer,usUSA,"DF,MF",Angel City FC,32,1990,17,724.0,43.0,36.6,8.0,7,71.0,2,10,23.0,5,1.44,9.0,8.0,1.0,0.12,0.12,Matches
310,Bianca St-Georges,caCAN,MF,Red Stars,25,1997,21,,74.0,78.9,17.4,20,76.0,6,1,45.0,0,1.14,23.0,39.0,-16.0,-0.92,0.37,Matches
311,Samantha Staab,usUSA,DF,Washington Spirit,25,1997,22,,90.0,100.0,22.0,22,90.0,22,0,,0,1.36,26.0,29.0,-3.0,-0.14,,Matches
312,Haleigh Stackpole,usUSA,MF,NC Courage,22,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
313,Nikki Stanton,usUSA,MF,Reign,32,1990,15,442.0,29.0,22.3,4.9,2,90.0,2,13,20.0,6,1.75,9.0,5.0,4.0,0.81,0.76,Matches
314,Sandra Starke,deGER,"MF,FW",Red Stars,29,1993,7,408.0,58.0,20.6,4.5,6,61.0,0,1,45.0,1,0.86,4.0,10.0,-6.0,-1.32,-0.41,Matches
315,Katie Stengel,usUSA,FW,Gotham FC,30,1992,8,420.0,53.0,21.2,4.7,5,81.0,3,3,6.0,0,1.5,6.0,7.0,-1.0,-0.21,-0.33,Matches
316,Ella Stevens,usUSA,FW,Red Stars,25,1997,22,,59.0,65.6,14.4,16,70.0,2,6,29.0,0,1.09,22.0,28.0,-6.0,-0.42,1.7,Matches
317,Kylie Strom,usUSA,DF,Orlando Pride,30,1992,22,,89.0,99.2,21.8,22,89.0,20,0,,0,1.41,27.0,28.0,-1.0,-0.05,-0.05,Matches
318,Hina Sugita,jpJPN,"MF,FW",Portland Thorns,26,1997,18,,73.0,65.9,14.5,16,78.0,7,2,29.0,1,1.68,31.0,20.0,11.0,0.76,0.89,Matches
319,Andi Sullivan,usUSA,MF,Washington Spirit,27,1995,19,,90.0,86.1,18.9,19,90.0,18,0,,0,1.47,23.0,22.0,1.0,0.05,1.36,Matches
320,Mallory Swanson,usUSA,MF,Red Stars,24,1998,2,180.0,90.0,9.1,2.0,2,90.0,2,0,,0,0.0,3.0,5.0,-2.0,-1.0,0.0,Matches
321,Frankie Tagliaferri,usUSA,MF,NC Courage,24,1999,8,264.0,33.0,13.3,2.9,3,68.0,0,5,12.0,13,1.5,3.0,1.0,2.0,0.68,0.42,Matches
322,Riley Tanner,paPAN,FW,Washington Spirit,23,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
323,Alyssa Thompson,usUSA,"FW,MF",Angel City FC,18,2004,20,,58.0,58.3,12.8,13,72.0,3,7,32.0,0,1.29,21.0,21.0,0.0,0.0,-0.11,Matches
324,Jordan Thompson,usUSA,DF,Washington Spirit,24,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
325,Cameron Tucker,usUSA,"MF,FW",Houston Dash,23,1999,12,251.0,21.0,12.7,2.8,2,51.0,0,10,15.0,3,1.33,0.0,0.0,0.0,0.0,0.1,Matches
326,Phallon Tullis-Joyce,usUSA,GK,Reign,26,1996,16,,90.0,72.7,16.0,16,90.0,16,0,,2,1.5,23.0,19.0,4.0,0.25,0.08,Matches
327,Kelsey Turnbow,usUSA,FW,SD Wave,24,1999,7,151.0,22.0,7.6,1.7,0,,0,7,22.0,4,1.43,4.0,1.0,3.0,1.79,1.49,Matches
