team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Angel City FC,26,26.0,,,,,,,,,,,,,,,,
Bay FC,26,26.0,,,,,,,,,,,,,,,,
Current,28,26.0,,,,,,,,,,,,,,,,
Gotham FC,27,26.0,,,,,,,,,,,,,,,,
Houston Dash,29,26.0,,,,,,,,,,,,,,,,
NC Courage,23,26.0,,,,,,,,,,,,,,,,
Orlando Pride,26,26.0,,,,,,,,,,,,,,,,
Portland Thorns,27,26.0,,,,,,,,,,,,,,,,
Racing Louisville,26,26.0,,,,,,,,,,,,,,,,
Red Stars,27,26.0,,,,,,,,,,,,,,,,
Reign,30,26.0,,,,,,,,,,,,,,,,
Royals,30,26.0,,,,,,,,,,,,,,,,
SD Wave,26,26.0,,,,,,,,,,,,,,,,
Washington Spirit,25,26.0,,,,,,,,,,,,,,,,
