ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
33,Isabella Briede,usUSA,MF,SD Wave,24,1998,7,2,254.0,2.8,1,0,1,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,Matches
34,Messiah Bright,usUSA,FW,Orlando Pride,23,2000,22,16,,15.2,6,0,6,6,0,0,2,0,0.39,0.0,0.39,0.39,0.39,Matches
35,Amber Brooks,usUSA,"DF,MF",Washington Spirit,32,1991,13,6,614.0,6.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
36,Ryanne Brown,usUSA,DF,Reign,24,1999,11,4,337.0,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
37,Bruninha,brBRA,DF,Gotham FC,20,2002,17,16,,15.4,2,0,2,2,0,0,2,0,0.13,0.0,0.13,0.13,0.13,Matches
38,Haley Bugeja,mtMLT,FW,Orlando Pride,18,2004,1,0,24.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
39,Anaïg Butel,frFRA,DF,Washington Spirit,30,1992,7,5,463.0,5.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
40,Scarlett Camberos,mxMEX,MF,Angel City FC,22,2000,19,10,910.0,10.1,1,3,4,1,0,0,0,0,0.1,0.3,0.4,0.1,0.4,Matches
41,Jane Campbell,usUSA,GK,Houston Dash,27,1995,22,22,,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
42,Marley Canales,usUSA,MF,Reign,25,1997,2,0,4.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
43,Gabrielle Carle,caCAN,DF,Washington Spirit,24,1998,22,22,,21.1,0,1,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,Matches
44,Kyra Carusa,ieIRL,"FW,MF",SD Wave,27,1995,7,4,342.0,3.8,2,0,2,2,0,0,0,0,0.53,0.0,0.53,0.53,0.53,Matches
45,Allysha Chapman,caCAN,DF,Houston Dash,34,1989,12,11,,11.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
46,Simone Charley,usUSA,FW,Angel City FC,27,1995,2,0,58.0,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
47,Alex Chidiac,auAUS,MF,Racing Louisville,24,1999,8,0,140.0,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
48,Rylan Childers,,MF,Current,,,4,0,19.0,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
