ranker,player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,matches
123,Jordan Fusco,usUSA,MF,SD Wave,21,2003,1.2,,,,,,,,,,,,,,,,,,,,,Matches
124,Ryan Gareis,usUSA,MF,Houston Dash,26,1998,11.0,,,,,,,,,,,,,,,,,,,,,Matches
125,Morgan Gautrat,usUSA,MF,Orlando Pride,31,1993,7.4,,,,,,,,,,,,,,,,,,,,,Matches
126,Justina Gaynor,usUSA,DF,Chicago Stars,23,2001,0.8,,,,,,,,,,,,,,,,,,,,,Matches
127,Geyse,brBRA,"MF,FW",Gotham FC,26,1998,10.0,,,,,,,,,,,,,,,,,,,,,Matches
128,Hanna Glas,seSWE,DF,Reign,31,1993,0.0,,,,,,,,,,,,,,,,,,,,,Matches
129,Nádia Gomes,ptPOR,"FW,MF",Chicago Stars,28,1996,7.3,,,,,,,,,,,,,,,,,,,,,Matches
130,Esther González,esESP,"FW,MF",Gotham FC,32,1992,21.2,,,,,,,,,,,,,,,,,,,,,Matches
131,Sarah Gorden,usUSA,DF,Angel City FC,32,1992,25.3,,,,,,,,,,,,,,,,,,,,,Matches
132,Maggie Graham,usUSA,"MF,FW",Houston Dash,22,2002,16.9,,,,,,,,,,,,,,,,,,,,,Matches
133,Shea Groom,usUSA,"MF,FW",Chicago Stars,31,1993,8.8,,,,,,,,,,,,,,,,,,,,,Matches
134,Julia Grosso,caCAN,"MF,FW",Chicago Stars,24,2000,22.1,,,,,,,,,,,,,,,,,,,,,Matches
135,Ana María Guzmán,coCOL,DF,Royals,19,2005,0.9,,,,,,,,,,,,,,,,,,,,,Matches
136,Madison Hammond,usUSA,MF,Angel City FC,27,1997,10.3,,,,,,,,,,,,,,,,,,,,,Matches
137,Caiya Hanks,usUSA,"MF,FW",Portland Thorns,20,2004,7.1,,,,,,,,,,,,,,,,,,,,,Matches
138,DiDi Haracic,baBIH,GK,SD Wave,32,1992,2.0,,,,,,,,,,,,,,,,,,,,,Matches
139,Laila Harbert,engENG,MF,Portland Thorns,18,2007,0.7,,,,,,,,,,,,,,,,,,,,,Matches
140,Khyah Harper,usUSA,FW,Gotham FC,22,2002,2.4,,,,,,,,,,,,,,,,,,,,,Matches
141,Nya Harrison,usUSA,DF,SD Wave,22,2002,0.0,,,,,,,,,,,,,,,,,,,,,Matches
142,Josefine Hasbo,dkDEN,MF,Gotham FC,23,2001,6.6,,,,,,,,,,,,,,,,,,,,,Matches
143,Ella Hase,usUSA,"FW,MF",Racing Louisville,22,2002,16.6,,,,,,,,,,,,,,,,,,,,,Matches
144,Ashley Hatch,usUSA,"FW,MF",Washington Spirit,29,1995,9.1,,,,,,,,,,,,,,,,,,,,,Matches
145,Manaka Hayashi,jpJPN,MF,Chicago Stars,20,2004,7.3,,,,,,,,,,,,,,,,,,,,,Matches
146,Anna Heilferty,usUSA,DF,Houston Dash,25,1999,0.7,,,,,,,,,,,,,,,,,,,,,Matches
147,Kathrin Hendrich,deGER,DF,Chicago Stars,32,1992,12.2,,,,,,,,,,,,,,,,,,,,,Matches
148,Oihane Hernández,esESP,"DF,MF",Orlando Pride,24,2000,12.3,,,,,,,,,,,,,,,,,,,,,Matches
149,Hal Hershfelt,usUSA,MF,Washington Spirit,23,2001,14.2,,,,,,,,,,,,,,,,,,,,,Matches
150,Samantha Hiatt,usUSA,DF,Portland Thorns,27,1998,20.7,,,,,,,,,,,,,,,,,,,,,Matches
151,Rachel Hill,usUSA,MF,Bay FC,29,1995,13.7,,,,,,,,,,,,,,,,,,,,,Matches
152,Sophie Hirst,usUSA,MF,Portland Thorns,24,2000,0.4,,,,,,,,,,,,,,,,,,,,,Matches
153,Penelope Hocking,usUSA,"MF,FW",Bay FC,25,1999,9.6,,,,,,,,,,,,,,,,,,,,,Matches
154,Macey Hodge,usUSA,MF,Angel City FC,23,2001,8.4,,,,,,,,,,,,,,,,,,,,,Matches
155,Shelby Hogan,usUSA,GK,Gotham FC,26,1998,2.0,,,,,,,,,,,,,,,,,,,,,Matches
156,Shae Holmes,usUSA,"DF,MF",Reign,24,2000,9.3,,,,,,,,,,,,,,,,,,,,,Matches
157,Haley Hopkins,usUSA,"MF,FW",Current,26,1998,4.9,,,,,,,,,,,,,,,,,,,,,Matches
158,Jaelin Howell,usUSA,MF,Gotham FC,25,1999,24.9,,,,,,,,,,,,,,,,,,,,,Matches
159,Kelli Hubly,usUSA,DF,Bay FC,30,1994,7.3,,,,,,,,,,,,,,,,,,,,,Matches
160,Sofia Huerta,usUSA,"DF,MF",Reign,32,1992,13.0,,,,,,,,,,,,,,,,,,,,,Matches
161,Taylor Huff,usUSA,MF,Bay FC,22,2002,24.7,,,,,,,,,,,,,,,,,,,,,Matches
162,Jordyn Huitema,caCAN,FW,Reign,23,2001,17.1,,,,,,,,,,,,,,,,,,,,,Matches
163,Claire Hutton,usUSA,MF,Current,19,2006,20.2,,,,,,,,,,,,,,,,,,,,,Matches
164,Laurel Ivory,usUSA,GK,Current,25,1999,2.0,,,,,,,,,,,,,,,,,,,,,Matches
165,Riley Jackson,usUSA,MF,NC Courage,19,2005,21.8,,,,,,,,,,,,,,,,,,,,,Matches
166,Simone Jackson,usUSA,MF,Orlando Pride,22,2003,2.4,,,,,,,,,,,,,,,,,,,,,Matches
167,Natalie Jacobs,usUSA,"DF,MF",NC Courage,27,1997,4.0,,,,,,,,,,,,,,,,,,,,,Matches
168,Natalie Jacobs,usUSA,DF,Houston Dash,27,1997,15.1,,,,,,,,,,,,,,,,,,,,,Matches
169,Angharad James,wlsWAL,MF,Reign,30,1994,9.9,,,,,,,,,,,,,,,,,,,,,Matches
170,Sveindís Jane Jónsdóttir,isISL,"MF,FW",Angel City FC,23,2001,11.4,,,,,,,,,,,,,,,,,,,,,Matches
171,Ellie Jean,usUSA,DF,Racing Louisville,28,1997,23.0,,,,,,,,,,,,,,,,,,,,,Matches
172,Mwanalima Jereko,keKEN,MF,Current,27,1997,0.0,,,,,,,,,,,,,,,,,,,,,Matches
173,Hannah Johnson,usUSA,DF,Angel City FC,21,2003,0.3,,,,,,,,,,,,,,,,,,,,,Matches
174,Micayla Johnson,usUSA,FW,Chicago Stars,17,2008,1.8,,,,,,,,,,,,,,,,,,,,,Matches
175,Sydney Jones,,DF,Royals,,,0.1,,,,,,,,,,,,,,,,,,,,,Matches
176,Jameese Joseph,usUSA,"FW,MF",Chicago Stars,22,2002,15.5,,,,,,,,,,,,,,,,,,,,,Matches
177,Mia Justus,usUSA,GK,Royals,22,2002,2.0,,,,,,,,,,,,,,,,,,,,,Matches
178,Uchenna Kanu,ngNGA,FW,Racing Louisville,27,1997,0.7,,,,,,,,,,,,,,,,,,,,,Matches
179,Alanna Kennedy,auAUS,"MF,DF",Angel City FC,30,1995,15.0,,,,,,,,,,,,,,,,,,,,,Matches
180,Savannah King,usUSA,DF,Angel City FC,19,2005,7.9,,,,,,,,,,,,,,,,,,,,,Matches
181,Aubrey Kingsbury,usUSA,GK,Washington Spirit,33,1991,24.5,,,,,,,,,,,,,,,,,,,,,Matches
182,Rosemonde Kouassi,ciCIV,"MF,FW",Washington Spirit,23,2001,12.0,,,,,,,,,,,,,,,,,,,,,Matches
183,Shinomi Koyama,jpJPN,"MF,FW",NC Courage,20,2005,15.8,,,,,,,,,,,,,,,,,,,,,Matches
184,Casey Krueger,usUSA,"DF,MF",Washington Spirit,34,1990,6.7,,,,,,,,,,,,,,,,,,,,,Matches
185,Natalia Kuikka,fiFIN,DF,Chicago Stars,29,1995,3.9,,,,,,,,,,,,,,,,,,,,,Matches
186,Racheal Kundananji,zmZAM,"FW,MF",Bay FC,24,2000,20.8,,,,,,,,,,,,,,,,,,,,,Matches
187,Kaleigh Kurtz,usUSA,DF,NC Courage,27,1997,26.0,,,,,,,,,,,,,,,,,,,,,Matches
188,Lo'eau LaBonta,usUSA,MF,Current,31,1993,21.7,,,,,,,,,,,,,,,,,,,,,Matches
189,Cloé Lacasse,caCAN,MF,Royals,31,1993,7.8,,,,,,,,,,,,,,,,,,,,,Matches
190,Clarissa Larisey,caCAN,FW,Houston Dash,25,1999,4.3,,,,,,,,,,,,,,,,,,,,,Matches
191,Rose Lavelle,usUSA,MF,Gotham FC,29,1995,11.5,,,,,,,,,,,,,,,,,,,,,Matches
192,Karlie Lema,usUSA,"FW,MF",Bay FC,21,2003,14.7,,,,,,,,,,,,,,,,,,,,,Matches
193,Ally Lemos,usUSA,MF,Orlando Pride,20,2004,15.9,,,,,,,,,,,,,,,,,,,,,Matches
194,Adriana Leon,caCAN,FW,SD Wave,32,1992,15.3,,,,,,,,,,,,,,,,,,,,,Matches
195,Katie Lind,usUSA,DF,Houston Dash,30,1994,13.0,,,,,,,,,,,,,,,,,,,,,Matches
196,Payton Linnehan,usUSA,"MF,FW",Portland Thorns,23,2001,4.8,,,,,,,,,,,,,,,,,,,,,Matches
197,Payton Linnehan,usUSA,"MF,FW",NC Courage,23,2001,5.4,,,,,,,,,,,,,,,,,,,,,Matches
198,Valerin Loboa,coCOL,FW,Portland Thorns,17,2007,0.4,,,,,,,,,,,,,,,,,,,,,Matches
199,Alex Loera,usUSA,MF,Royals,25,1999,0.1,,,,,,,,,,,,,,,,,,,,,Matches
200,Mary Long,usUSA,FW,Current,18,2007,2.1,,,,,,,,,,,,,,,,,,,,,Matches
201,Maitane López Millán,esESP,MF,Chicago Stars,29,1995,18.3,,,,,,,,,,,,,,,,,,,,,Matches
202,Lorena,brBRA,GK,Current,27,1997,24.0,,,,,,,,,,,,,,,,,,,,,Matches
203,Luana,brBRA,MF,Orlando Pride,31,1993,0.5,,,,,,,,,,,,,,,,,,,,,Matches
204,Ludmila,brBRA,FW,Chicago Stars,30,1994,20.2,,,,,,,,,,,,,,,,,,,,,Matches
205,Katie Lund,usUSA,GK,Racing Louisville,28,1996,6.0,,,,,,,,,,,,,,,,,,,,,Matches
206,Hanna Lundkvist,seSWE,DF,SD Wave,22,2002,23.6,,,,,,,,,,,,,,,,,,,,,Matches
207,Tyler Lussi,usUSA,"MF,DF",NC Courage,30,1995,13.2,,,,,,,,,,,,,,,,,,,,,Matches
208,Hailie Mace,usUSA,DF,Current,27,1997,16.9,,,,,,,,,,,,,,,,,,,,,Matches
209,Sandy MacIver,sctSCO,GK,Washington Spirit,26,1998,1.5,,,,,,,,,,,,,,,,,,,,,Matches
210,Halle Mackiewicz,usUSA,GK,Chicago Stars,23,2001,3.0,,,,,,,,,,,,,,,,,,,,,Matches
211,Heather Macnab,,FW,NC Courage,,,0.0,,,,,,,,,,,,,,,,,,,,,Matches
212,Maiara,brBRA,MF,Angel City FC,20,2004,5.4,,,,,,,,,,,,,,,,,,,,,Matches
213,Taylor Malham,usUSA,DF,Chicago Stars,25,1999,26.0,,,,,,,,,,,,,,,,,,,,,Matches
214,Alyssa Malonson,usUSA,DF,Bay FC,25,1999,21.2,,,,,,,,,,,,,,,,,,,,,Matches
215,Marta,brBRA,"FW,MF",Orlando Pride,38,1986,17.7,,,,,,,,,,,,,,,,,,,,,Matches
216,Lacho Marta,aoANG,"FW,DF",Current,25,1999,1.7,,,,,,,,,,,,,,,,,,,,,Matches
217,Nealy Martin,usUSA,"MF,DF",Gotham FC,26,1998,11.8,,,,,,,,,,,,,,,,,,,,,Matches
218,Nealy Martin,usUSA,MF,Angel City FC,26,1998,6.5,,,,,,,,,,,,,,,,,,,,,Matches
219,Brianna Martinez,usUSA,DF,Orlando Pride,24,2000,0.0,,,,,,,,,,,,,,,,,,,,,Matches
220,Emily Mason,usUSA,DF,Reign,22,2002,2.9,,,,,,,,,,,,,,,,,,,,,Matches
221,Manaka Matsukubo,jpJPN,"FW,MF",NC Courage,20,2004,23.3,,,,,,,,,,,,,,,,,,,,,Matches
222,Sophia Mattice,usUSA,DF,Angel City FC,22,2002,0.3,,,,,,,,,,,,,,,,,,,,,Matches
223,Ainsley McCammon,usUSA,MF,Reign,17,2007,6.4,,,,,,,,,,,,,,,,,,,,,Matches
224,Savannah McCaskill,usUSA,MF,SD Wave,28,1996,19.9,,,,,,,,,,,,,,,,,,,,,Matches
225,Phoebe McClernon,usUSA,DF,Reign,27,1997,24.1,,,,,,,,,,,,,,,,,,,,,Matches
226,Haley McCutcheon,usUSA,MF,Orlando Pride,28,1996,24.1,,,,,,,,,,,,,,,,,,,,,Matches
227,Amanda McGlynn,usUSA,GK,Royals,26,1998,24.0,,,,,,,,,,,,,,,,,,,,,Matches
228,Mallie McKenzie,usUSA,DF,Portland Thorns,24,2000,10.2,,,,,,,,,,,,,,,,,,,,,Matches
229,Tara McKeown,usUSA,DF,Washington Spirit,25,1999,23.3,,,,,,,,,,,,,,,,,,,,,Matches
230,Quincy McMahon,usUSA,DF,SD Wave,21,2003,0.1,,,,,,,,,,,,,,,,,,,,,Matches
231,Kristen McNabb,usUSA,DF,SD Wave,30,1994,19.6,,,,,,,,,,,,,,,,,,,,,Matches
232,Emily Menges,usUSA,DF,Bay FC,32,1992,2.9,,,,,,,,,,,,,,,,,,,,,Matches
233,Sally Menti,usUSA,MF,Reign,22,2002,10.8,,,,,,,,,,,,,,,,,,,,,Matches
234,Maddie Mercado,usUSA,"FW,MF",Reign,23,2001,6.1,,,,,,,,,,,,,,,,,,,,,Matches
235,Paige Metayer,usUSA,DF,Washington Spirit,24,2000,4.7,,,,,,,,,,,,,,,,,,,,,Matches
236,Samantha Meza,usUSA,MF,Reign,23,2001,21.7,,,,,,,,,,,,,,,,,,,,,Matches
237,Lauren Milliet,usUSA,DF,Racing Louisville,28,1996,16.9,,,,,,,,,,,,,,,,,,,,,Matches
238,Narumi Miura,jpJPN,MF,Washington Spirit,27,1997,18.4,,,,,,,,,,,,,,,,,,,,,Matches
239,Paige Monaghan,usUSA,"MF,DF",Royals,28,1996,11.7,,,,,,,,,,,,,,,,,,,,,Matches
240,Gift Monday,ngNGA,"FW,MF",Washington Spirit,23,2001,14.2,,,,,,,,,,,,,,,,,,,,,Matches
241,Nérilia Mondésir,htHAI,"MF,FW",Reign,26,1999,11.2,,,,,,,,,,,,,,,,,,,,,Matches
242,Anna Moorhouse,engENG,GK,Orlando Pride,29,1995,24.6,,,,,,,,,,,,,,,,,,,,,Matches
243,Madeline Moreau,usUSA,DF,Bay FC,24,2000,4.8,,,,,,,,,,,,,,,,,,,,,Matches
244,Esme Morgan,engENG,DF,Washington Spirit,24,2000,21.7,,,,,,,,,,,,,,,,,,,,,Matches
245,Miyabi Moriya,jpJPN,"DF,MF",Angel City FC,28,1996,15.8,,,,,,,,,,,,,,,,,,,,,Matches
246,Makenna Morris,usUSA,DF,Racing Louisville,22,2002,3.8,,,,,,,,,,,,,,,,,,,,,Matches
247,Makenna Morris,usUSA,"MF,DF",Washington Spirit,22,2002,9.6,,,,,,,,,,,,,,,,,,,,,Matches
248,Perle Morroni,frFRA,DF,SD Wave,27,1997,23.0,,,,,,,,,,,,,,,,,,,,,Matches
249,Olivia Moultrie,usUSA,"MF,FW",Portland Thorns,19,2005,24.0,,,,,,,,,,,,,,,,,,,,,Matches
250,Brecken Mozingo,usUSA,"MF,FW",Royals,23,2001,13.0,,,,,,,,,,,,,,,,,,,,,Matches
251,Casey Murphy,usUSA,GK,NC Courage,28,1996,21.0,,,,,,,,,,,,,,,,,,,,,Matches
252,Lily Nabet,usUSA,MF,Angel City FC,25,1999,0.0,,,,,,,,,,,,,,,,,,,,,Matches
253,Alyssa Naeher,usUSA,GK,Chicago Stars,36,1988,23.0,,,,,,,,,,,,,,,,,,,,,Matches
254,Aria Nagai,,MF,Royals,,,6.4,,,,,,,,,,,,,,,,,,,,,Matches
255,Leilanni Nesbeth,bmBER,MF,Chicago Stars,23,2001,2.5,,,,,,,,,,,,,,,,,,,,,Matches
256,Paige Nielsen,usUSA,DF,Houston Dash,31,1993,24.6,,,,,,,,,,,,,,,,,,,,,Matches
257,Stella Nyamekye,ghGHA,MF,Gotham FC,19,2005,0.3,,,,,,,,,,,,,,,,,,,,,Matches
258,Denise O'Sullivan,ieIRL,MF,NC Courage,30,1994,16.7,,,,,,,,,,,,,,,,,,,,,Matches
259,Isabella Obaze,dkDEN,DF,Portland Thorns,22,2002,18.7,,,,,,,,,,,,,,,,,,,,,Matches
260,Chiamaka Okwuchukwu,ngNGA,FW,SD Wave,19,2005,1.6,,,,,,,,,,,,,,,,,,,,,Matches
261,Bárbara Olivieri,veVEN,"MF,FW",Houston Dash,22,2002,9.9,,,,,,,,,,,,,,,,,,,,,Matches
262,Diana Ordoñez,mxMEX,FW,Houston Dash,23,2001,0.8,,,,,,,,,,,,,,,,,,,,,Matches
263,Asisat Oshoala,ngNGA,FW,Bay FC,30,1994,5.1,,,,,,,,,,,,,,,,,,,,,Matches
264,Lizbeth Ovalle,mxMEX,"FW,MF",Orlando Pride,25,1999,7.4,,,,,,,,,,,,,,,,,,,,,Matches
265,Katie O’Kane,,MF,Racing Louisville,,,15.1,,,,,,,,,,,,,,,,,,,,,Matches
266,Avery Patterson,usUSA,"DF,MF",Houston Dash,22,2002,20.8,,,,,,,,,,,,,,,,,,,,,Matches
267,Catherine Paulson,usUSA,MF,Bay FC,23,2001,1.1,,,,,,,,,,,,,,,,,,,,,Matches
268,Jayden Perry,usUSA,DF,Portland Thorns,23,2001,14.5,,,,,,,,,,,,,,,,,,,,,Matches
269,Courtney Petersen,usUSA,DF,Racing Louisville,27,1997,23.0,,,,,,,,,,,,,,,,,,,,,Matches
270,Alex Pfeiffer,usUSA,MF,Current,17,2007,1.1,,,,,,,,,,,,,,,,,,,,,Matches
271,Casey Phair,krKOR,FW,Angel City FC,17,2007,1.0,,,,,,,,,,,,,,,,,,,,,Matches
272,Carson Pickett,usUSA,"DF,MF",Orlando Pride,31,1993,14.2,,,,,,,,,,,,,,,,,,,,,Matches
273,Kiki Pickett,usUSA,MF,Bay FC,25,1999,12.9,,,,,,,,,,,,,,,,,,,,,Matches
274,Elli Pikkujämsä,fiFIN,DF,Racing Louisville,25,1999,0.1,,,,,,,,,,,,,,,,,,,,,Matches
275,Brianna Pinto,usUSA,FW,NC Courage,24,2000,6.4,,,,,,,,,,,,,,,,,,,,,Matches
