ranker,player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,matches
326,Emily Sonnett,usUSA,DF,Gotham FC,31,1993,26.0,,,,,,,,,,,,,,,,,,,,,Matches
327,Alexa Spaanstra,usUSA,"FW,MF",Portland Thorns,24,2000,5.4,,,,,,,,,,,,,,,,,,,,,Matches
328,Meredith Speck,usUSA,"FW,MF",NC Courage,31,1993,5.3,,,,,,,,,,,,,,,,,,,,,Matches
329,Bianca St-Georges,caCAN,"FW,MF",Royals,27,1997,11.7,,,,,,,,,,,,,,,,,,,,,Matches
330,Samantha Staab,usUSA,DF,Chicago Stars,27,1997,24.0,,,,,,,,,,,,,,,,,,,,,Matches
331,Heather Stainbrook,usUSA,MF,Washington Spirit,23,2001,4.8,,,,,,,,,,,,,,,,,,,,,Matches
332,Talia Staude,usUSA,DF,NC Courage,23,2001,7.5,,,,,,,,,,,,,,,,,,,,,Matches
333,Regan Steigleder,noNOR,MF,Current,26,1998,0.3,,,,,,,,,,,,,,,,,,,,,Matches
334,Katie Stengel,usUSA,FW,Gotham FC,32,1992,6.1,,,,,,,,,,,,,,,,,,,,,Matches
335,Ella Stevens,usUSA,"MF,FW",Gotham FC,27,1997,7.2,,,,,,,,,,,,,,,,,,,,,Matches
336,Kylie Strom,usUSA,DF,Orlando Pride,32,1992,16.8,,,,,,,,,,,,,,,,,,,,,Matches
337,Hina Sugita,jpJPN,MF,Angel City FC,28,1997,4.0,,,,,,,,,,,,,,,,,,,,,Matches
338,Hina Sugita,jpJPN,MF,Portland Thorns,28,1997,17.1,,,,,,,,,,,,,,,,,,,,,Matches
339,Kysha Sylla,frFRA,DF,Washington Spirit,20,2004,4.3,,,,,,,,,,,,,,,,,,,,,Matches
340,Mina Tanaka,jpJPN,MF,Royals,30,1994,22.1,,,,,,,,,,,,,,,,,,,,,Matches
341,Ana Tejada,esESP,"MF,DF",Royals,22,2002,18.6,,,,,,,,,,,,,,,,,,,,,Matches
342,Alyssa Thompson,usUSA,"MF,FW",Angel City FC,20,2004,15.5,,,,,,,,,,,,,,,,,,,,,Matches
343,Gisele Thompson,usUSA,"DF,MF",Angel City FC,19,2005,18.4,,,,,,,,,,,,,,,,,,,,,Matches
344,Janni Thomsen,dkDEN,DF,Royals,24,2000,20.2,,,,,,,,,,,,,,,,,,,,,Matches
345,Riley Tiernan,usUSA,FW,Angel City FC,22,2002,24.4,,,,,,,,,,,,,,,,,,,,,Matches
346,Pietra Tordin,usUSA,FW,Portland Thorns,20,2004,10.0,,,,,,,,,,,,,,,,,,,,,Matches
347,Kaitlyn Torpey,auAUS,DF,Portland Thorns,24,2000,11.6,,,,,,,,,,,,,,,,,,,,,Matches
348,Taryn Torres,usUSA,MF,Gotham FC,25,1999,8.5,,,,,,,,,,,,,,,,,,,,,Matches
349,Reilyn Turner,usUSA,"FW,MF",Portland Thorns,22,2002,20.2,,,,,,,,,,,,,,,,,,,,,Matches
350,Olivia Van der Jagt,usUSA,MF,Reign,25,1999,0.2,,,,,,,,,,,,,,,,,,,,,Matches
351,Kiki Van Zanten,jmJAM,MF,Houston Dash,23,2001,12.3,,,,,,,,,,,,,,,,,,,,,Matches
352,Mary Vignola,usUSA,DF,Portland Thorns,26,1998,2.6,,,,,,,,,,,,,,,,,,,,,Matches
353,Mary Vignola,usUSA,"DF,MF",Angel City FC,26,1998,14.9,,,,,,,,,,,,,,,,,,,,,Matches
354,Viviana Villacorta,usUSA,MF,Orlando Pride,25,1999,1.0,,,,,,,,,,,,,,,,,,,,,Matches
355,Cortnee Vine,auAUS,FW,NC Courage,26,1998,5.9,,,,,,,,,,,,,,,,,,,,,Matches
356,Ally Watt,usUSA,"MF,FW",Orlando Pride,27,1997,17.2,,,,,,,,,,,,,,,,,,,,,Matches
357,Dani Weatherholt,usUSA,"DF,MF",NC Courage,30,1994,6.5,,,,,,,,,,,,,,,,,,,,,Matches
358,Sarah Weber,usUSA,"FW,MF",Racing Louisville,21,2003,15.5,,,,,,,,,,,,,,,,,,,,,Matches
359,Kennedy Wesley,usUSA,DF,SD Wave,23,2001,19.4,,,,,,,,,,,,,,,,,,,,,Matches
360,Christen Westphal,usUSA,"DF,MF",Houston Dash,31,1993,5.9,,,,,,,,,,,,,,,,,,,,,Matches
361,Ellie Wheeler,usUSA,DF,Current,23,2001,14.6,,,,,,,,,,,,,,,,,,,,,Matches
362,Mak Whitham,usUSA,FW,Gotham FC,14,2010,0.7,,,,,,,,,,,,,,,,,,,,,Matches
363,Kate Wiesner,usUSA,"DF,MF",Washington Spirit,23,2001,8.3,,,,,,,,,,,,,,,,,,,,,Matches
364,Ryan Williams,usUSA,"DF,MF",NC Courage,28,1996,26.0,,,,,,,,,,,,,,,,,,,,,Matches
365,Arin Wright,usUSA,DF,Racing Louisville,32,1992,21.2,,,,,,,,,,,,,,,,,,,,,Matches
366,Summer Yates,usUSA,MF,Orlando Pride,24,2000,6.2,,,,,,,,,,,,,,,,,,,,,Matches
367,Katie Zelem,engENG,MF,Angel City FC,29,1996,6.5,,,,,,,,,,,,,,,,,,,,,Matches
368,Claudia Zornoza,esESP,MF,Royals,34,1990,22.2,,,,,,,,,,,,,,,,,,,,,Matches
