team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90
Angel City FC,15,23.9,4,360,90,100,4.0,44,87,31,13,9,20,2.25,10,4,6,1.5
Bay FC,20,24.8,4,360,90,100,4.0,44,80,27,16,27,20,1.5,6,7,-1,-0.25
Boston Legacy,19,26.1,4,360,90,100,4.0,44,82,25,18,19,18,0.0,1,7,-6,-1.5
Chicago Stars,21,27.1,5,450,90,100,5.0,55,81,33,22,22,23,0.6,2,11,-9,-1.8
Current,22,26.7,5,450,90,100,5.0,55,81,32,23,22,22,1.2,5,9,-4,-0.8
Denver Summit,18,27.6,5,450,90,100,5.0,55,83,36,18,18,24,1.2,4,3,1,0.2
Gotham FC,19,28.8,5,450,90,100,5.0,55,79,34,22,27,23,1.0,2,4,-2,-0.4
Houston Dash,19,26.5,4,360,90,100,4.0,44,85,29,15,15,20,2.25,9,5,4,1.0
NC Courage,20,26.0,4,360,90,100,4.0,44,83,30,14,21,22,1.25,5,6,-1,-0.25
Orlando Pride,19,27.0,5,450,90,100,5.0,55,82,33,22,19,22,1.6,7,4,3,0.6
Portland Thorns,20,25.6,5,450,90,100,5.0,55,78,35,18,30,27,2.0,8,5,3,0.6
Racing Louisville,18,26.4,4,360,90,100,4.0,44,86,30,14,14,18,0.25,7,10,-3,-0.75
Reign,19,26.6,5,450,90,100,5.0,55,84,34,22,16,23,2.0,7,4,3,0.6
Royals,21,27.3,5,450,90,100,5.0,55,80,29,25,21,12,1.4,6,6,0,0.0
SD Wave,19,26.3,5,450,90,100,5.0,55,82,32,23,19,22,2.4,8,3,5,1.0
Washington Spirit,19,26.1,5,450,90,100,5.0,55,82,32,23,20,22,1.2,5,4,1,0.2
