ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,matches
40,Scarlett Camberos,mxMEX,MF,Angel City FC,22,2000,10.1,1,24,7,29.2,2.37,0.69,0.04,0.14,0,0,Matches
41,Jane Campbell,usUSA,GK,Houston Dash,27,1995,22.0,0,0,0,,0.0,0.0,,,0,0,Matches
42,Marley Canales,usUSA,MF,Reign,25,1997,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
43,Gabrielle Carle,caCAN,DF,Washington Spirit,24,1998,21.1,0,3,0,0.0,0.14,0.0,0.0,,0,0,Matches
44,Kyra Carusa,ieIRL,"FW,MF",SD Wave,27,1995,3.8,2,8,4,50.0,2.11,1.05,0.25,0.5,0,0,Matches
45,Allysha Chapman,caCAN,DF,Houston Dash,34,1989,11.4,0,2,1,50.0,0.18,0.09,0.0,0.0,0,0,Matches
46,Simone Charley,usUSA,FW,Angel City FC,27,1995,0.6,0,1,0,0.0,1.55,0.0,0.0,,0,0,Matches
47,Alex Chidiac,auAUS,MF,Racing Louisville,24,1999,1.6,0,2,1,50.0,1.29,0.64,0.0,0.0,0,0,Matches
48,Rylan Childers,,MF,Current,,,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
49,Mikayla Cluff,usUSA,MF,Orlando Pride,23,1999,16.8,2,23,5,21.7,1.37,0.3,0.09,0.4,0,0,Matches
50,Sam Coffey,usUSA,MF,Portland Thorns,24,1998,21.8,0,15,2,13.3,0.69,0.09,0.0,0.0,0,0,Matches
51,Danielle Colaprico,usUSA,MF,SD Wave,29,1993,19.2,0,9,1,11.1,0.47,0.05,0.0,0.0,0,0,Matches
52,Kaylie Collins,usUSA,GK,Orlando Pride,24,1998,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
53,Sydney Collins,caCAN,DF,NC Courage,23,1999,2.2,0,0,0,,0.0,0.0,,,0,0,Matches
54,Shea Connors,usUSA,FW,SD Wave,26,1996,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
55,Alana Cook,usUSA,DF,Reign,25,1997,17.5,0,3,0,0.0,0.17,0.0,0.0,,0,0,Matches
56,Ava Cook,usUSA,"MF,FW",Red Stars,22,2000,10.7,3,17,4,23.5,1.59,0.37,0.18,0.75,0,0,Matches
57,Michelle Cooper,usUSA,"MF,FW",Current,20,2002,18.1,3,38,18,47.4,2.1,0.99,0.03,0.06,2,2,Matches
58,Chai Cortez,usUSA,DF,SD Wave,24,1998,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
59,Caitlin Cosme,prPUR,DF,Orlando Pride,24,1999,4.0,0,1,0,0.0,0.25,0.0,0.0,,0,0,Matches
60,Chardonnay Curran,usUSA,MF,Current,23,1999,3.4,0,4,2,50.0,1.17,0.58,0.0,0.0,0,0,Matches
61,Izzy D'Aquila,usUSA,FW,Portland Thorns,21,2001,3.8,0,17,5,29.4,4.42,1.3,0.0,0.0,0,0,Matches
62,Abby Dahlkemper,usUSA,DF,SD Wave,29,1993,5.0,1,4,2,50.0,0.8,0.4,0.25,0.5,0,0,Matches
63,Tierna Davidson,usUSA,DF,Red Stars,24,1998,17.9,0,1,0,0.0,0.06,0.0,0.0,,0,0,Matches
64,Kirsten Davis,usUSA,FW,Racing Louisville,24,1998,13.4,4,36,13,36.1,2.69,0.97,0.11,0.31,0,0,Matches
65,Debinha,brBRA,"MF,FW",Current,31,1991,16.9,9,39,17,43.6,2.3,1.0,0.18,0.41,2,2,Matches
66,Kate Del Fava,usUSA,"DF,MF",Current,24,1998,20.3,0,9,1,11.1,0.44,0.05,0.0,0.0,0,0,Matches
67,Cece Delzer,usUSA,"MF,FW",Current,25,1997,16.2,6,30,14,46.7,1.85,0.86,0.2,0.43,0,0,Matches
68,Savannah Demelo,usUSA,"MF,FW",Racing Louisville,24,1998,17.6,5,53,14,26.4,3.01,0.8,0.06,0.21,2,3,Matches
69,Madelyn Desiano,usUSA,DF,Houston Dash,22,2000,0.3,0,1,0,0.0,3.91,0.0,0.0,,0,0,Matches
70,Vanessa DiBernardo,usUSA,MF,Current,30,1992,10.7,0,19,7,36.8,1.78,0.66,0.0,0.0,0,0,Matches
71,Claudia Dickey,usUSA,GK,Reign,23,2000,6.0,0,0,0,,0.0,0.0,,,0,0,Matches
72,Marisa DiGrande,usUSA,MF,Houston Dash,25,1997,15.0,0,20,6,30.0,1.34,0.4,0.0,0.0,0,0,Matches
73,Makenzy Doniak,usUSA,"MF,FW",SD Wave,28,1994,12.5,3,31,13,41.9,2.48,1.04,0.1,0.23,0,0,Matches
74,Meggie Dougherty Howard,usUSA,MF,SD Wave,27,1995,6.4,0,11,1,9.1,1.71,0.16,0.0,0.0,0,0,Matches
75,Nicole Douglas,engENG,MF,Washington Spirit,22,2000,1.8,0,4,1,25.0,2.24,0.56,0.0,0.0,0,0,Matches
76,Julie Doyle,usUSA,"MF,FW",Orlando Pride,24,1998,9.2,2,17,6,35.3,1.85,0.65,0.12,0.33,0,0,Matches
77,Crystal Dunn,usUSA,MF,Portland Thorns,30,1992,14.5,5,34,19,55.9,2.35,1.31,0.15,0.26,0,0,Matches
78,Caprice Dydasco,usUSA,"DF,MF",Houston Dash,29,1993,21.9,0,9,1,11.1,0.41,0.05,0.0,0.0,0,0,Matches
79,Elizabeth Eddy,usUSA,MF,Angel City FC,31,1991,0.6,0,3,0,0.0,4.91,0.0,0.0,,0,0,Matches
80,Kristen Edmonds,usUSA,DF,Gotham FC,35,1987,11.5,0,4,0,0.0,0.35,0.0,0.0,,0,0,Matches
81,Emily van Egmond,auAUS,MF,SD Wave,29,1993,8.5,0,11,3,27.3,1.29,0.35,0.0,0.0,0,0,Matches
82,Emina Ekic,usUSA,MF,Racing Louisville,23,1999,0.1,0,1,0,0.0,18.0,0.0,0.0,,0,0,Matches
83,Madison Elwell,usUSA,MF,Washington Spirit,23,1999,1.5,0,0,0,,0.0,0.0,,,0,0,Matches
84,Claire Emslie,sctSCO,"MF,FW",Angel City FC,28,1994,14.1,3,34,10,29.4,2.41,0.71,0.06,0.2,1,2,Matches
85,Jun Endō,jpJPN,"MF,FW",Angel City FC,22,2000,10.1,3,16,6,37.5,1.58,0.59,0.19,0.5,0,0,Matches
86,Sierra Enge,usUSA,"MF,DF",SD Wave,22,2000,7.8,2,3,2,66.7,0.39,0.26,0.67,1.0,0,0,Matches
87,Abby Erceg,nzNZL,DF,Racing Louisville,33,1989,22.0,2,16,7,43.8,0.73,0.32,0.13,0.29,0,0,Matches
88,Julie Ertz,usUSA,MF,Angel City FC,30,1992,6.3,1,8,2,25.0,1.26,0.32,0.13,0.5,0,0,Matches
89,Sinead Farrelly,ieIRL,MF,Gotham FC,33,1989,9.1,0,6,2,33.3,0.66,0.22,0.0,0.0,0,0,Matches
90,Millie Farrow,engENG,FW,NC Courage,26,1996,0.5,0,2,0,0.0,3.67,0.0,0.0,,0,0,Matches
91,Bayley Feist,usUSA,"MF,FW",Washington Spirit,25,1997,2.0,0,3,0,0.0,1.53,0.0,0.0,,0,0,Matches
92,Sami Feller,,MF,Red Stars,22,2000,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
93,Kayla Fischer,usUSA,MF,Racing Louisville,23,2000,5.1,0,16,3,18.8,3.12,0.58,0.0,0.0,0,0,Matches
94,Samantha Fisher,svSLV,MF,Red Stars,23,1999,1.7,0,0,0,,0.0,0.0,,,0,0,Matches
95,Jess Fishlock,wlsWAL,MF,Reign,36,1987,14.4,4,41,11,26.8,2.84,0.76,0.1,0.36,0,0,Matches
96,Taylor Flint,usUSA,"MF,FW",SD Wave,24,1998,7.6,1,21,8,38.1,2.78,1.06,0.05,0.13,0,0,Matches
97,Sabrina Flores,usUSA,DF,Gotham FC,27,1996,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
98,Emily Fox,usUSA,DF,NC Courage,24,1998,17.2,0,10,2,20.0,0.58,0.12,0.0,0.0,0,0,Matches
99,Adrianna Franch,usUSA,GK,Current,32,1990,12.0,0,0,0,,0.0,0.0,,,0,0,Matches
100,Mandy Freeman,usUSA,DF,Gotham FC,27,1995,5.7,0,0,0,,0.0,0.0,,,0,0,Matches
101,Ryan Gareis,usUSA,FW,Houston Dash,24,1998,4.0,0,5,1,20.0,1.24,0.25,0.0,0.0,0,0,Matches
102,Morgan Gautrat,usUSA,MF,Current,29,1993,2.6,0,4,1,25.0,1.52,0.38,0.0,0.0,0,0,Matches
103,Mille Gejl,dkDEN,"MF,FW",NC Courage,23,1999,5.5,2,10,5,50.0,1.83,0.91,0.2,0.4,0,0,Matches
104,Naomi Girma,usUSA,DF,SD Wave,22,2000,19.0,0,0,0,,0.0,0.0,,,0,0,Matches
105,Parker Goins,usUSA,MF,Racing Louisville,24,1998,1.5,1,5,2,40.0,3.24,1.29,0.2,0.5,0,0,Matches
106,Esther González,esESP,"FW,MF",Gotham FC,30,1992,3.8,2,17,8,47.1,4.49,2.11,0.12,0.25,0,0,Matches
107,Sarah Gorden,usUSA,DF,Angel City FC,30,1992,22.0,0,5,2,40.0,0.23,0.09,0.0,0.0,0,0,Matches
108,Sarah Griffith,usUSA,MF,Red Stars,23,1999,2.9,0,9,2,22.2,3.13,0.69,0.0,0.0,0,0,Matches
109,Shea Groom,usUSA,"FW,MF",Houston Dash,29,1993,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
110,Mia Gyau,usUSA,DF,SD Wave,24,1998,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
111,Kristen Hamilton,usUSA,FW,Current,30,1992,9.5,2,18,8,44.4,1.89,0.84,0.11,0.25,0,0,Matches
112,Madison Hammond,usUSA,"MF,DF",Angel City FC,25,1997,13.3,1,11,2,18.2,0.83,0.15,0.09,0.5,0,0,Matches
113,DiDi Haracic,baBIH,GK,Angel City FC,30,1992,18.0,0,0,0,,0.0,0.0,,,0,0,Matches
114,Jyllissa Harris,usUSA,DF,Houston Dash,22,2000,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
115,Ashley Hatch,usUSA,"FW,MF",Washington Spirit,27,1995,20.3,9,56,25,44.6,2.75,1.23,0.07,0.16,5,5,Matches
116,Kelcie Hedge,usUSA,MF,Houston Dash,25,1997,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
117,Amandine Henry,frFRA,MF,Angel City FC,33,1989,3.5,0,4,3,75.0,1.14,0.85,0.0,0.0,0,0,Matches
118,Samantha Hiatt,usUSA,DF,Reign,25,1998,15.4,0,4,1,25.0,0.26,0.06,0.0,0.0,0,0,Matches
119,Rachel Hill,usUSA,"MF,FW",SD Wave,27,1995,11.9,0,9,3,33.3,0.76,0.25,0.0,0.0,0,0,Matches
120,Sophie Hirst,usUSA,MF,Houston Dash,22,2000,7.0,1,5,2,40.0,0.71,0.29,0.2,0.5,0,0,Matches
121,Penelope Hocking,usUSA,MF,Red Stars,23,1999,13.1,3,34,12,35.3,2.6,0.92,0.09,0.25,0,0,Matches
122,Shelby Hogan,usUSA,GK,Portland Thorns,24,1998,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
123,Rebecca Holloway,nirNIR,DF,Racing Louisville,27,1995,6.4,0,0,0,,0.0,0.0,,,0,0,Matches
124,Shae Holmes,usUSA,DF,Reign,22,2000,2.5,0,1,0,0.0,0.4,0.0,0.0,,0,0,Matches
125,Haley Hopkins,usUSA,"MF,FW",NC Courage,24,1998,4.8,1,12,4,33.3,2.51,0.84,0.08,0.25,0,0,Matches
126,Jaelin Howell,usUSA,MF,Racing Louisville,23,1999,14.5,0,18,8,44.4,1.24,0.55,0.0,0.0,0,0,Matches
127,Kelli Hubly,usUSA,DF,Portland Thorns,28,1994,17.3,1,10,6,60.0,0.58,0.35,0.1,0.17,0,0,Matches
128,Sofia Huerta,usUSA,DF,Reign,30,1992,16.2,1,11,5,45.5,0.68,0.31,0.0,0.0,1,1,Matches
129,Jordyn Huitema,caCAN,"FW,MF",Reign,21,2001,15.7,5,35,14,40.0,2.23,0.89,0.14,0.36,0,1,Matches
130,Tori Huster,usUSA,"DF,MF",Washington Spirit,33,1989,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
131,Natalie Jacobs,usUSA,DF,Houston Dash,25,1997,19.2,0,6,0,0.0,0.31,0.0,0.0,,0,0,Matches
132,Sofia Jakobsson,seSWE,MF,SD Wave,32,1990,9.4,2,14,7,50.0,1.49,0.75,0.14,0.29,0,0,Matches
133,Inès Jaurena,frFRA,MF,Washington Spirit,31,1991,10.1,0,5,1,20.0,0.5,0.1,0.0,0.0,0,0,Matches
134,Ellie Jean,usUSA,DF,Gotham FC,26,1997,10.6,0,0,0,,0.0,0.0,,,0,0,Matches
135,Lindsi Jennings,,DF,Houston Dash,,,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
136,Celia Jiménez,esESP,DF,Orlando Pride,27,1995,2.2,0,2,1,50.0,0.92,0.46,0.0,0.0,0,0,Matches
137,Katie Johnson,mxMEX,FW,Angel City FC,28,1994,8.0,3,16,10,62.5,2.0,1.25,0.19,0.3,0,0,Matches
138,Júlia,brBRA,MF,Red Stars,25,1997,14.8,0,15,1,6.7,1.01,0.07,0.0,0.0,0,0,Matches
139,Uchenna Kanu,ngNGA,FW,Racing Louisville,25,1997,5.5,0,15,5,33.3,2.73,0.91,0.0,0.0,0,0,Matches
140,Nahomi Kawasumi,jpJPN,"FW,MF",Gotham FC,37,1985,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
141,Kerolin,brBRA,"MF,FW",NC Courage,23,1999,18.4,10,57,21,36.8,3.1,1.14,0.14,0.38,2,3,Matches
142,Thembi Kgatlana,zaRSA,"FW,MF",Racing Louisville,26,1996,8.2,2,30,7,23.3,3.67,0.86,0.07,0.29,0,0,Matches
143,Tziarra King,usUSA,"MF,FW",Reign,24,1998,7.3,0,12,3,25.0,1.64,0.41,0.0,0.0,0,0,Matches
144,Aubrey Kingsbury,usUSA,GK,Washington Spirit,31,1991,20.0,0,0,0,,0.0,0.0,,,0,0,Matches
145,Meghan Klingenberg,usUSA,DF,Portland Thorns,34,1988,18.3,0,9,2,22.2,0.49,0.11,0.0,0.0,0,0,Matches
146,Amanda Kowalski,usUSA,DF,Red Stars,24,1998,0.6,0,0,0,,0.0,0.0,,,0,0,Matches
147,Ali Krieger,usUSA,DF,Gotham FC,38,1984,14.8,0,4,1,25.0,0.27,0.07,0.0,0.0,0,0,Matches
148,Casey Krueger,usUSA,DF,Red Stars,32,1990,19.0,0,10,2,20.0,0.53,0.11,0.0,0.0,0,0,Matches
149,Civana Kuhlmann,usUSA,FW,Washington Spirit,23,1999,0.8,0,4,2,50.0,4.86,2.43,0.0,0.0,0,0,Matches
150,Natalia Kuikka,fiFIN,DF,Portland Thorns,27,1995,19.9,1,14,2,14.3,0.7,0.1,0.07,0.5,0,0,Matches
151,Kaleigh Kurtz,usUSA,DF,NC Courage,25,1997,22.0,0,8,2,25.0,0.36,0.09,0.0,0.0,0,0,Matches
152,Lo'eau LaBonta,usUSA,MF,Current,29,1993,16.1,2,18,6,33.3,1.12,0.37,0.11,0.33,0,0,Matches
153,Mariana Larroquette,arARG,FW,Orlando Pride,30,1992,1.0,1,2,1,50.0,2.0,1.0,0.5,1.0,0,0,Matches
154,Mimmi Larsson,seSWE,"FW,MF",Current,28,1994,6.6,2,15,4,26.7,2.27,0.61,0.13,0.5,0,0,Matches
155,Veronica Latsko,usUSA,MF,Reign,27,1995,11.7,4,18,7,38.9,1.54,0.6,0.22,0.57,0,0,Matches
156,Lauren,brBRA,DF,Current,20,2002,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
157,Rose Lavelle,usUSA,MF,Reign,27,1995,3.9,0,8,4,50.0,2.04,1.02,0.0,0.0,0,0,Matches
158,Claire Lavogez,frFRA,"FW,MF",Current,28,1994,0.6,0,1,1,100.0,1.55,1.55,0.0,0.0,0,0,Matches
159,Clarisse Le Bihan,frFRA,"FW,MF",Angel City FC,28,1994,7.6,1,13,5,38.5,1.72,0.66,0.08,0.2,0,0,Matches
160,Adriana Leon,caCAN,"FW,MF",Portland Thorns,30,1992,0.9,0,1,0,0.0,1.11,0.0,0.0,,0,0,Matches
161,Sydney Leroux,usUSA,FW,Angel City FC,32,1990,5.8,2,17,10,58.8,2.93,1.72,0.12,0.2,0,0,Matches
162,Julia Lester,usUSA,DF,Racing Louisville,25,1998,12.4,0,1,0,0.0,0.08,0.0,0.0,,0,0,Matches
163,Katie Lind,usUSA,DF,Houston Dash,28,1994,15.8,0,2,1,50.0,0.13,0.06,0.0,0.0,0,0,Matches
164,Jordyn Listro,caCAN,MF,Orlando Pride,27,1995,6.2,0,1,1,100.0,0.16,0.16,0.0,0.0,0,0,Matches
165,Alex Loera,usUSA,MF,Current,23,1999,8.8,0,4,1,25.0,0.45,0.11,0.0,0.0,0,0,Matches
166,Allie Long,usUSA,MF,Gotham FC,35,1987,14.0,2,6,2,33.3,0.43,0.14,0.33,1.0,0,0,Matches
167,Maitane López Millán,esESP,"DF,MF",Gotham FC,27,1995,7.1,1,3,1,33.3,0.42,0.14,0.33,1.0,0,0,Matches
168,Katie Lund,usUSA,GK,Racing Louisville,26,1996,22.0,0,0,0,,0.0,0.0,,,0,0,Matches
169,Tyler Lussi,usUSA,"MF,FW",NC Courage,28,1995,12.9,6,38,15,39.5,2.95,1.16,0.16,0.4,0,0,Matches
170,Hailie Mace,usUSA,"DF,MF",Current,25,1997,15.9,0,15,6,40.0,0.95,0.38,0.0,0.0,0,0,Matches
171,Rikke Madsen,dkDEN,FW,NC Courage,25,1997,7.5,1,5,2,40.0,0.67,0.27,0.2,0.5,0,0,Matches
172,Taylor Malham,usUSA,DF,Red Stars,23,1999,2.4,0,0,0,,0.0,0.0,,,0,0,Matches
173,Alyssa Malonson,usUSA,DF,Reign,23,1999,0.6,0,0,0,,0.0,0.0,,,0,0,Matches
174,Marta,brBRA,"MF,FW",Orlando Pride,36,1986,16.0,4,32,16,50.0,2.0,1.0,0.0,0.0,4,4,Matches
175,Nealy Martin,usUSA,MF,Gotham FC,24,1998,11.8,0,4,0,0.0,0.34,0.0,0.0,,0,0,Matches
176,Brianna Martinez,usUSA,DF,Orlando Pride,22,2000,0.6,0,0,0,,0.0,0.0,,,0,0,Matches
177,Manaka Matsukubo,jpJPN,MF,NC Courage,18,2004,5.3,1,10,4,40.0,1.89,0.76,0.1,0.25,0,0,Matches
178,Cheyna Matthews,jmJAM,"MF,FW",Red Stars,29,1993,4.4,1,7,2,28.6,1.59,0.45,0.14,0.5,0,0,Matches
179,Addie McCain,usUSA,MF,Red Stars,23,1999,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
180,Savannah McCaskill,usUSA,"MF,FW",Angel City FC,26,1996,20.7,4,39,19,48.7,1.88,0.92,0.1,0.21,0,0,Matches
181,Phoebe McClernon,usUSA,DF,Reign,25,1997,7.8,0,0,0,,0.0,0.0,,,0,0,Matches
182,Haley McCutcheon,usUSA,DF,Orlando Pride,26,1996,21.7,1,16,4,25.0,0.74,0.18,0.06,0.25,0,0,Matches
183,Jessica McDonald,usUSA,"FW,MF",Racing Louisville,34,1988,2.8,0,4,1,25.0,1.43,0.36,0.0,0.0,0,0,Matches
184,Amanda McGlynn,usUSA,GK,Gotham FC,24,1998,7.0,0,0,0,,0.0,0.0,,,0,0,Matches
185,Tara McKeown,usUSA,DF,Washington Spirit,23,1999,20.3,1,18,3,16.7,0.88,0.15,0.06,0.33,0,0,Matches
186,Kristen McNabb,usUSA,DF,SD Wave,28,1994,12.9,1,6,1,16.7,0.47,0.08,0.17,1.0,0,0,Matches
187,Emily Menges,usUSA,DF,Portland Thorns,30,1992,15.5,0,1,0,0.0,0.06,0.0,0.0,,0,0,Matches
188,Addisyn Merrick,usUSA,DF,Current,24,1998,7.9,0,2,0,0.0,0.25,0.0,0.0,,0,0,Matches
189,Paige Metayer,usUSA,MF,Washington Spirit,22,2000,20.5,3,19,7,36.8,0.93,0.34,0.16,0.43,0,0,Matches
190,Kristie Mewis,usUSA,MF,Gotham FC,31,1991,11.7,0,19,1,5.3,1.62,0.09,0.0,0.0,0,0,Matches
191,Tatumn Milazzo,usUSA,DF,Red Stars,24,1998,19.8,1,5,1,20.0,0.25,0.05,0.2,1.0,0,0,Matches
192,Cassie Miller,usUSA,GK,Current,27,1995,10.0,0,0,0,,0.0,0.0,,,0,0,Matches
193,Lauren Milliet,usUSA,DF,Racing Louisville,26,1996,22.0,0,5,3,60.0,0.23,0.14,0.0,0.0,0,0,Matches
194,Narumi Miura,jpJPN,MF,NC Courage,25,1997,21.4,1,15,6,40.0,0.7,0.28,0.07,0.17,0,0,Matches
195,Paige Monaghan,usUSA,"FW,MF",Racing Louisville,26,1996,12.8,3,19,10,52.6,1.49,0.78,0.16,0.3,0,0,Matches
196,Anna Moorhouse,engENG,GK,Orlando Pride,27,1995,18.0,0,0,0,,0.0,0.0,,,0,0,Matches
197,Alex Morgan,usUSA,FW,SD Wave,33,1989,17.1,7,56,27,48.2,3.28,1.58,0.09,0.19,2,2,Matches
198,Olivia Moultrie,usUSA,MF,Portland Thorns,17,2005,12.1,2,38,13,34.2,3.13,1.07,0.05,0.15,0,0,Matches
199,Casey Murphy,usUSA,GK,NC Courage,26,1996,20.0,0,0,0,,0.0,0.0,,,0,0,Matches
200,Lily Nabet,usUSA,MF,Angel City FC,23,1999,4.6,0,3,0,0.0,0.66,0.0,0.0,,0,0,Matches
201,Nadia Nadim,dkDEN,FW,Racing Louisville,35,1988,3.9,1,15,6,40.0,3.89,1.56,0.0,0.0,1,1,Matches
202,Alyssa Naeher,usUSA,GK,Red Stars,34,1988,20.0,0,0,0,,0.0,0.0,,,0,0,Matches
203,Yūki Nagasato,jpJPN,"MF,FW",Red Stars,35,1987,17.4,3,10,5,50.0,0.57,0.29,0.3,0.6,0,0,Matches
204,Meaghan Nally,usUSA,DF,Portland Thorns,24,1998,4.7,0,2,0,0.0,0.43,0.0,0.0,,0,0,Matches
205,Carly Nelson,usUSA,GK,Orlando Pride,24,1998,3.0,0,0,0,,0.0,0.0,,,0,0,Matches
206,Paige Nielsen,usUSA,DF,Angel City FC,29,1993,19.7,1,16,3,18.8,0.81,0.15,0.06,0.33,0,0,Matches
207,Jenna Nighswonger,usUSA,DF,Gotham FC,22,2000,16.9,3,30,10,33.3,1.77,0.59,0.07,0.2,1,2,Matches
