ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,matches
1,Kerry Abello,usUSA,MF,Orlando Pride,23,1999,14.0,1,25,9,36.0,1.79,0.64,0.04,0.11,0,0,Matches
2,Adriana,brBRA,"MF,FW",Orlando Pride,26,1996,18.3,6,58,25,43.1,3.18,1.37,0.1,0.24,0,0,Matches
3,Jillienne Aguilera,prPUR,DF,Red Stars,25,1998,2.1,0,4,0,0.0,1.95,0.0,0.0,,0,0,Matches
4,Amirah Ali,usUSA,"FW,MF",SD Wave,24,1998,5.1,2,16,5,31.3,3.12,0.97,0.13,0.4,0,0,Matches
5,Amanda Allen,caCAN,FW,Orlando Pride,17,2005,0.1,0,1,0,0.0,8.18,0.0,0.0,,0,0,Matches
6,Michelle Alozie,ngNGA,"FW,DF",Houston Dash,25,1997,11.2,4,29,8,27.6,2.6,0.72,0.14,0.5,0,0,Matches
7,Angelina Anderson,usUSA,GK,Angel City FC,21,2001,4.0,0,0,0,,0.0,0.0,,,0,0,Matches
8,Joelle Anderson,usUSA,MF,Houston Dash,24,1998,12.0,1,25,8,32.0,2.09,0.67,0.04,0.13,0,0,Matches
9,Andressa,brBRA,MF,Houston Dash,30,1992,3.4,1,13,3,23.1,3.81,0.88,0.08,0.33,0,0,Matches
10,Angelina,brBRA,MF,Reign,23,2000,0.4,0,0,0,,0.0,0.0,,,0,0,Matches
11,Ary Borges,brBRA,MF,Racing Louisville,23,1999,16.2,1,32,10,31.3,1.98,0.62,0.03,0.1,0,0,Matches
12,Olivia Athens,usUSA,MF,Reign,23,1999,1.4,0,0,0,,0.0,0.0,,,0,0,Matches
13,Taylor Aylmer,usUSA,MF,Racing Louisville,24,1998,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
14,Jordan Baggett,usUSA,MF,Racing Louisville,26,1996,2.8,1,2,1,50.0,0.71,0.36,0.5,1.0,0,0,Matches
15,Jordan Baggett,usUSA,MF,Washington Spirit,26,1996,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
16,Dorian Bailey,usUSA,DF,Washington Spirit,26,1997,14.2,0,4,2,50.0,0.28,0.14,0.0,0.0,0,0,Matches
17,Elizabeth Ball,usUSA,DF,Current,27,1995,10.7,0,7,2,28.6,0.66,0.19,0.0,0.0,0,0,Matches
18,Stine Ballisager Pedersen,dkDEN,DF,Current,29,1994,2.5,0,1,0,0.0,0.4,0.0,0.0,,0,0,Matches
19,Melanie Barcenas,usUSA,FW,SD Wave,15,2007,1.4,0,8,4,50.0,5.85,2.93,0.0,0.0,0,0,Matches
20,Lauren Barnes,usUSA,DF,Reign,33,1989,21.4,0,2,0,0.0,0.09,0.0,0.0,,0,0,Matches
21,Nicole Barnhart,usUSA,GK,Washington Spirit,41,1981,2.0,0,0,0,,0.0,0.0,,,0,0,Matches
22,Natalie Beckman,usUSA,FW,Portland Thorns,22,2000,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
23,Elyse Bennett,usUSA,"FW,MF",Reign,23,1999,7.7,2,24,10,41.7,3.1,1.29,0.08,0.2,0,0,Matches
24,Malia Berkely,usUSA,DF,NC Courage,24,1998,16.8,0,4,2,50.0,0.24,0.12,0.0,0.0,0,0,Matches
25,Hannah Betfort,usUSA,FW,Portland Thorns,24,1999,5.3,2,14,6,42.9,2.64,1.13,0.14,0.33,0,0,Matches
26,Camryn Biegalski,usUSA,MF,Washington Spirit,24,1998,3.1,0,1,0,0.0,0.32,0.0,0.0,,0,0,Matches
27,Jenna Bike,usUSA,MF,Red Stars,24,1998,4.8,0,5,0,0.0,1.04,0.0,0.0,,0,0,Matches
28,Bella Bixby,usUSA,GK,Portland Thorns,27,1995,21.0,1,1,1,100.0,0.05,0.05,1.0,1.0,0,0,Matches
29,Lynn Biyendolo,usUSA,"FW,MF",Gotham FC,29,1993,18.4,7,76,33,43.4,4.14,1.8,0.08,0.18,1,1,Matches
30,Tess Boade,usUSA,FW,NC Courage,23,1999,8.0,1,17,5,29.4,2.14,0.63,0.06,0.2,0,0,Matches
31,Bethany Bos,usUSA,"MF,FW",Reign,25,1997,15.6,6,37,15,40.5,2.37,0.96,0.16,0.4,0,0,Matches
32,Emily Boyd,usUSA,GK,Red Stars,26,1996,2.0,0,0,0,,0.0,0.0,,,0,0,Matches
33,Isabella Briede,usUSA,MF,SD Wave,24,1998,2.8,1,5,3,60.0,1.77,1.06,0.2,0.33,0,0,Matches
34,Messiah Bright,usUSA,FW,Orlando Pride,23,2000,15.2,6,42,14,33.3,2.76,0.92,0.14,0.43,0,0,Matches
35,Amber Brooks,usUSA,"DF,MF",Washington Spirit,32,1991,6.8,0,4,0,0.0,0.59,0.0,0.0,,0,0,Matches
36,Ryanne Brown,usUSA,DF,Reign,24,1999,3.7,0,0,0,,0.0,0.0,,,0,0,Matches
37,Bruninha,brBRA,DF,Gotham FC,20,2002,15.4,2,4,3,75.0,0.26,0.2,0.5,0.67,0,0,Matches
38,Haley Bugeja,mtMLT,FW,Orlando Pride,18,2004,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
39,Anaïg Butel,frFRA,DF,Washington Spirit,30,1992,5.1,0,1,0,0.0,0.19,0.0,0.0,,0,0,Matches
