ranker,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,matches
1,Kerry Abello,usUSA,DF,Orlando Pride,24,1999,26,,81.0,90.1,23.4,25,83.0,17,1,27.0,0,2.38,40.0,19.0,21.0,0.9,-1.04,Matches
2,Emeri Adames,usUSA,"MF,FW",Reign,17,2006,21,540.0,26.0,23.1,6.0,6,63.0,0,15,11.0,1,0.76,7.0,15.0,-8.0,-1.33,-0.88,Matches
3,Adriana,brBRA,"MF,FW",Orlando Pride,27,1996,23,,73.0,71.8,18.7,19,81.0,9,4,36.0,0,2.38,30.0,13.0,17.0,0.91,-0.32,Matches
4,Amirah Ali,usUSA,"FW,MF",SD Wave,25,1998,14,572.0,41.0,24.4,6.4,4,65.0,0,10,31.0,3,1.0,8.0,11.0,-3.0,-0.47,-0.06,Matches
5,Aline,brBRA,"FW,MF",NC Courage,18,2005,7,371.0,53.0,15.9,4.1,5,69.0,1,2,14.0,2,1.63,7.0,2.0,5.0,1.21,1.17,Matches
6,Amanda Allen,caCAN,FW,Orlando Pride,18,2005,8,87.0,11.0,3.7,1.0,0,,0,8,11.0,7,2.0,3.0,0.0,3.0,3.1,2.18,Matches
7,Emmie Allen,usUSA,GK,Bay FC,21,2002,0,,,,,0,,0,0,,4,,,,,,,Matches
8,Michelle Alozie,ngNGA,"FW,MF",Houston Dash,26,1997,24,,56.0,57.6,15.0,14,79.0,5,10,24.0,0,0.79,10.0,23.0,-13.0,-0.87,-0.05,Matches
9,Emily Alvarado,mxMEX,GK,Portland Thorns,25,1998,0,,,,,0,,0,0,,10,,,,,,,Matches
10,Emily Alvarado,mxMEX,GK,Houston Dash,25,1998,0,,,,,0,,0,0,,4,,,,,,,Matches
11,Angelina Anderson,usUSA,GK,Angel City FC,22,2001,3,270.0,90.0,11.5,3.0,3,90.0,3,0,,23,0.33,3.0,6.0,-3.0,-1.0,-0.57,Matches
12,Hannah Anderson,usUSA,DF,Red Stars,22,2001,16,,85.0,58.1,15.1,15,90.0,15,1,10.0,10,0.94,16.0,23.0,-7.0,-0.46,-0.46,Matches
13,Joelle Anderson,usUSA,MF,Bay FC,25,1998,17,916.0,54.0,39.1,10.2,10,76.0,4,7,22.0,4,1.41,12.0,16.0,-4.0,-0.39,-0.01,Matches
14,Andressa,brBRA,"MF,FW",Houston Dash,31,1992,24,,49.0,50.6,13.1,15,69.0,4,9,16.0,0,0.71,8.0,21.0,-13.0,-0.99,-0.29,Matches
