ranker,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,matches
1,Kerry Abello,usUSA,DF,Orlando Pride,25,1999,23,,67.0,66.3,17.2,18,78.0,11,5,31.0,0,1.64,20.0,18.0,2.0,0.12,-0.34,Matches
2,Deborah Abiodun,ngNGA,"MF,DF",Washington Spirit,21,2003,8,581.0,73.0,24.8,6.5,6,87.0,4,2,30.0,0,1.6,10.0,7.0,3.0,0.46,0.16,Matches
3,Emeri Adames,usUSA,"MF,FW",Reign,18,2006,21,,48.0,42.7,11.1,11,75.0,2,10,18.0,5,1.18,14.0,15.0,-1.0,-0.09,-0.36,Matches
4,Marie-Yasmine Alidou,caCAN,"FW,MF",Portland Thorns,29,1995,20,719.0,36.0,30.7,8.0,6,68.0,1,14,22.0,3,1.7,15.0,8.0,7.0,0.88,0.88,Matches
5,Aline,brBRA,"MF,FW",NC Courage,19,2005,14,349.0,25.0,14.9,3.9,3,66.0,0,11,14.0,7,1.0,6.0,10.0,-4.0,-1.03,-1.12,Matches
6,Emmie Allen,usUSA,GK,Bay FC,22,2002,2,180.0,90.0,7.7,2.0,2,90.0,2,0,,19,0.0,1.0,3.0,-2.0,-1.0,-0.46,Matches
7,Michelle Alozie,ngNGA,"DF,MF",Houston Dash,27,1997,20,654.0,33.0,27.9,7.3,5,62.0,0,15,23.0,3,1.15,8.0,11.0,-3.0,-0.41,0.07,Matches
8,Angelina Anderson,usUSA,GK,Angel City FC,23,2001,22,,90.0,84.6,22.0,22,90.0,22,0,,3,0.91,27.0,37.0,-10.0,-0.45,-0.45,Matches
9,Hannah Anderson,usUSA,DF,Chicago Stars,23,2001,11,470.0,43.0,20.1,5.2,4,82.0,3,7,20.0,12,0.45,1.0,16.0,-15.0,-2.87,-2.54,Matches
10,Joelle Anderson,usUSA,DF,Bay FC,26,1998,20,,64.0,55.0,14.3,15,80.0,10,5,19.0,4,0.75,15.0,24.0,-9.0,-0.63,-0.12,Matches
11,Maddy Anderson,usUSA,GK,Racing Louisville,22,2002,0,,,,,0,,0,0,,5,,,,,,,Matches
12,Angelina,brBRA,MF,Orlando Pride,25,2000,24,,75.0,77.4,20.1,21,82.0,12,3,30.0,1,1.5,28.0,23.0,5.0,0.25,0.08,Matches
13,Daniela Arias,coCOL,DF,SD Wave,30,1994,2,8.0,4.0,0.3,0.1,0,,0,2,4.0,14,0.0,0.0,0.0,0.0,0.0,-0.27,Matches
14,Trinity Armstrong,usUSA,DF,SD Wave,17,2007,23,,72.0,70.8,18.4,18,89.0,17,5,10.0,2,1.29,26.0,24.0,2.0,0.11,-0.55,Matches
15,Mackenzie Arnold,auAUS,GK,Portland Thorns,30,1994,19,,90.0,73.1,19.0,19,90.0,19,0,,2,1.43,27.0,25.0,2.0,0.11,-0.61,Matches
16,Ary Borges,brBRA,MF,Racing Louisville,25,1999,21,,67.0,60.0,15.6,16,81.0,10,5,22.0,0,1.32,21.0,24.0,-3.0,-0.19,-0.19,Matches
