team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Angel City FC,15,56.8,4.0,,,,,,,,,,,,,,,,,,,,
Bay FC,20,49.8,4.0,,,,,,,,,,,,,,,,,,,,
Boston Legacy,19,53.0,4.0,,,,,,,,,,,,,,,,,,,,
Chicago Stars,21,44.4,5.0,,,,,,,,,,,,,,,,,,,,
Current,22,44.2,5.0,,,,,,,,,,,,,,,,,,,,
Denver Summit,18,47.2,5.0,,,,,,,,,,,,,,,,,,,,
Gotham FC,19,57.4,5.0,,,,,,,,,,,,,,,,,,,,
Houston Dash,19,41.3,4.0,,,,,,,,,,,,,,,,,,,,
NC Courage,20,53.3,4.0,,,,,,,,,,,,,,,,,,,,
Orlando Pride,19,45.4,5.0,,,,,,,,,,,,,,,,,,,,
Portland Thorns,20,42.0,5.0,,,,,,,,,,,,,,,,,,,,
Racing Louisville,18,41.3,4.0,,,,,,,,,,,,,,,,,,,,
Reign,19,53.6,5.0,,,,,,,,,,,,,,,,,,,,
Royals,21,51.0,5.0,,,,,,,,,,,,,,,,,,,,
SD Wave,19,59.2,5.0,,,,,,,,,,,,,,,,,,,,
Washington Spirit,19,59.8,5.0,,,,,,,,,,,,,,,,,,,,
