team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Angel City FC,2,26,26,,26.0,42,1.62,135,93,70.4,7,6,13,4,15.4,2,2,0,0,0.0
Bay FC,2,26,26,,26.0,41,1.58,117,76,67.5,11,1,14,6,23.1,5,3,2,0,40.0
Current,2,26,26,,26.0,31,1.19,108,79,72.2,16,7,3,9,34.6,1,1,0,0,0.0
Gotham FC,2,26,26,,26.0,20,0.77,96,77,82.3,17,5,4,9,34.6,3,3,0,0,0.0
Houston Dash,2,26,26,,26.0,42,1.62,159,117,76.1,5,5,16,8,30.8,5,4,1,0,20.0
NC Courage,1,26,26,,26.0,28,1.08,108,81,75.9,12,3,11,6,23.1,3,2,1,0,33.3
Orlando Pride,1,26,26,,26.0,20,0.77,105,86,81.9,18,6,2,13,50.0,1,1,0,0,0.0
Portland Thorns,2,26,26,,26.0,35,1.35,120,84,70.8,10,4,12,9,34.6,1,0,1,0,100.0
Racing Louisville,1,26,26,,26.0,39,1.5,111,75,69.4,7,7,12,5,19.2,5,5,0,0,0.0
Red Stars,2,26,26,,26.0,38,1.46,123,88,69.9,10,2,14,6,23.1,2,1,0,1,0.0
Reign,2,26,26,,26.0,44,1.69,132,88,70.5,6,5,15,4,15.4,5,5,0,0,0.0
Royals,3,26,26,,26.0,40,1.54,128,87,73.4,7,4,15,5,19.2,8,6,1,1,14.3
SD Wave,2,26,26,,26.0,35,1.35,122,91,73.0,6,7,13,6,23.1,2,2,0,0,0.0
Washington Spirit,2,26,26,,26.0,28,1.08,100,72,75.0,18,2,6,7,26.9,5,3,2,0,40.0
