team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Angel City FC,15,4.0,5,0,0,60,49,3,69,26,46,,,0
Bay FC,20,4.0,10,1,1,45,52,9,48,54,62,,,1
Boston Legacy,19,4.0,14,1,1,61,42,1,43,26,46,,,0
Chicago Stars,21,5.0,4,0,0,60,50,8,50,47,53,,,0
Current,22,5.0,6,0,0,45,59,8,88,58,56,,,0
Denver Summit,18,5.0,6,1,0,48,48,8,69,44,53,,,0
Gotham FC,19,5.0,9,0,0,59,54,5,92,55,48,,,0
Houston Dash,19,4.0,8,0,0,52,57,5,44,39,64,,,0
NC Courage,20,4.0,4,0,0,40,35,6,57,38,48,,,0
Orlando Pride,19,5.0,5,0,0,60,56,15,87,47,54,,,0
Portland Thorns,20,5.0,6,2,1,49,47,5,64,48,54,,,0
Racing Louisville,18,4.0,5,0,0,42,39,6,67,61,44,,,0
Reign,19,5.0,6,0,0,48,43,8,85,51,58,,,0
Royals,21,5.0,10,1,1,63,50,7,90,69,75,,,0
SD Wave,19,5.0,3,0,0,49,70,11,79,51,55,,,0
Washington Spirit,19,5.0,1,0,0,46,41,10,77,54,64,,,0
