ranker,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,matches
1,Deborah Abiodun,ngNGA,MF,Washington Spirit,22-156,2003,4,127.0,32.0,28.2,1.4,2,53.0,0,2,11.0,0,0.75,1.0,0.0,1.0,0.71,0.71,Matches
2,Emeri Adames,usUSA,MF,Reign,20-004,2006,5,260.0,52.0,57.8,2.9,3,75.0,0,2,18.0,0,2.0,6.0,0.0,6.0,2.08,3.5,Matches
3,Luisa Agudelo,coCOL,GK,SD Wave,19-011,2007,0,,,,,0,,0,0,,4,,,,,,,Matches
4,Marie-Yasmine Alidou,caCAN,MF,Portland Thorns,30-344,1995,5,349.0,70.0,77.6,3.9,4,71.0,1,1,66.0,0,2.0,7.0,4.0,3.0,0.77,0.77,Matches
5,Amanda Allen,caCAN,FW,Boston Legacy,21-045,2005,3,32.0,11.0,8.9,0.4,0,,0,3,11.0,1,0.0,0.0,0.0,0.0,0.0,1.65,Matches
6,Emmie Allen,usUSA,GK,Bay FC,23-164,2002,0,,,,,0,,0,0,,4,,,,,,,Matches
7,Michelle Alozie,ngNGA,DF,Chicago Stars,28-344,1997,4,226.0,57.0,50.2,2.5,3,67.0,1,1,26.0,0,0.75,2.0,9.0,-7.0,-2.79,-1.98,Matches
8,Angelina Anderson,usUSA,GK,Angel City FC,25-016,2001,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,2.25,10.0,4.0,6.0,1.5,,Matches
9,Hannah Anderson,usUSA,DF,Orlando Pride,25-004,2001,5,220.0,44.0,48.9,2.4,2,90.0,2,3,13.0,0,1.6,6.0,3.0,3.0,1.23,1.23,Matches
10,Joelle Anderson,usUSA,DF,Bay FC,27-183,1998,3,176.0,59.0,48.9,2.0,3,59.0,1,0,,0,2.0,3.0,4.0,-1.0,-0.51,-0.51,Matches
11,Andressa,brBRA,DF,Boston Legacy,26-248,1999,2,180.0,90.0,50.0,2.0,2,90.0,2,0,,0,0.0,0.0,4.0,-4.0,-2.0,-1.0,Matches
12,Angelina,brBRA,MF,Orlando Pride,26-071,2000,4,257.0,64.0,57.1,2.9,3,71.0,1,1,45.0,0,2.0,6.0,1.0,5.0,1.75,2.68,Matches
13,Laurel Ansbrow,usUSA,DF,Boston Legacy,22-362,2003,3,204.0,68.0,56.7,2.3,2,90.0,2,1,24.0,1,0.0,1.0,3.0,-2.0,-0.88,1.43,Matches
14,Daniela Arias,coCOL,DF,SD Wave,31-219,1994,0,,,,,0,,0,0,,5,,,,,,,Matches
15,Mackenzie Arnold,auAUS,GK,Portland Thorns,32-041,1994,2,180.0,90.0,40.0,2.0,2,90.0,2,0,,0,2.0,4.0,2.0,2.0,1.0,0.67,Matches
16,Ary Borges,brBRA,MF,Angel City FC,26-100,1999,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,2.25,10.0,4.0,6.0,1.5,,Matches
17,Kimmi Ascanio,usUSA,MF,SD Wave,18-076,2008,5,328.0,66.0,72.9,3.6,3,90.0,3,2,29.0,0,2.4,7.0,2.0,5.0,1.37,1.37,Matches
18,Dorian Bailey,usUSA,MF,Bay FC,29-069,1997,2,84.0,42.0,23.3,0.9,1,78.0,0,1,6.0,2,1.5,3.0,2.0,1.0,1.07,1.72,Matches
19,Elizabeth Ball,usUSA,DF,Current,30-169,1995,3,193.0,64.0,42.9,2.1,2,90.0,2,1,13.0,2,1.0,0.0,5.0,-5.0,-2.33,-2.68,Matches
20,Barbra Banda,zmZAM,FW,Orlando Pride,26-018,2000,5,430.0,86.0,95.6,4.8,5,86.0,2,0,,0,1.6,7.0,3.0,4.0,0.84,5.34,Matches
21,Melanie Barcenas,usUSA,FW,SD Wave,18-159,2007,4,71.0,18.0,15.8,0.8,0,,0,4,18.0,1,2.25,2.0,0.0,2.0,2.54,1.82,Matches
22,Keira Barry,engENG,MF,Bay FC,20-298,2005,4,189.0,47.0,52.5,2.1,2,57.0,0,2,38.0,0,1.5,4.0,2.0,2.0,0.95,2.53,Matches
23,Hillary Beall,usUSA,GK,Houston Dash,27-070,1999,0,,,,,0,,0,0,,3,,,,,,,Matches
24,Hannah Bebar,usUSA,MF,Bay FC,24-214,2001,4,354.0,89.0,98.3,3.9,4,89.0,3,0,,0,1.5,6.0,6.0,0.0,0.0,15.0,Matches
25,Maycee Bell,usUSA,"DF,MF",NC Courage,25-201,2000,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.25,5.0,6.0,-1.0,-0.25,,Matches
26,Ann-Katrin Berger,deGER,GK,Gotham FC,35-180,1990,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,1.0,2.0,4.0,-2.0,-0.4,,Matches
27,Malia Berkely,usUSA,DF,Houston Dash,28-053,1998,4,350.0,88.0,97.2,3.9,4,88.0,2,0,,0,2.25,8.0,5.0,3.0,0.77,-8.23,Matches
28,Rebeca Bernal,mxMEX,MF,Washington Spirit,28-219,1997,5,414.0,83.0,92.0,4.6,5,83.0,2,0,,0,1.2,4.0,4.0,0.0,0.0,-2.5,Matches
29,Hannah Betfort,usUSA,FW,NC Courage,27-093,1999,4,245.0,61.0,68.1,2.7,3,70.0,0,1,35.0,0,1.25,4.0,3.0,1.0,0.37,1.93,Matches
30,Croix Bethune,usUSA,"MF,FW",Current,25-024,2001,5,324.0,65.0,72.0,3.6,4,73.0,0,1,33.0,0,1.2,4.0,6.0,-2.0,-0.56,0.87,Matches
31,Jenna Bike,usUSA,DF,Chicago Stars,28-064,1998,3,162.0,54.0,36.0,1.8,2,62.0,0,1,39.0,2,0.0,0.0,1.0,-1.0,-0.56,1.94,Matches
32,Macy Blackburn,usUSA,DF,Racing Louisville,23-000,2003,2,7.0,4.0,1.9,0.1,0,,0,2,4.0,2,0.0,1.0,0.0,1.0,12.86,13.88,Matches
