ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
1,Kerry Abello,usUSA,DF,Orlando Pride,25,1999,23,18,,17.2,1,0,1,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06,Matches
2,Deborah Abiodun,ngNGA,"MF,DF",Washington Spirit,21,2003,8,6,581.0,6.5,0,1,1,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,Matches
3,Emeri Adames,usUSA,"MF,FW",Reign,18,2006,21,11,,11.1,6,0,6,5,1,1,0,0,0.54,0.0,0.54,0.45,0.45,Matches
4,Marie-Yasmine Alidou,caCAN,"FW,MF",Portland Thorns,29,1995,20,6,719.0,8.0,1,1,2,1,0,0,1,0,0.13,0.13,0.25,0.13,0.25,Matches
5,Aline,brBRA,"MF,FW",NC Courage,19,2005,14,3,349.0,3.9,1,0,1,1,0,0,0,0,0.26,0.0,0.26,0.26,0.26,Matches
6,Emmie Allen,usUSA,GK,Bay FC,22,2002,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
7,Michelle Alozie,ngNGA,"DF,MF",Houston Dash,27,1997,20,5,654.0,7.3,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14,Matches
8,Angelina Anderson,usUSA,GK,Angel City FC,23,2001,22,22,,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
9,Hannah Anderson,usUSA,DF,Chicago Stars,23,2001,11,4,470.0,5.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
10,Joelle Anderson,usUSA,DF,Bay FC,26,1998,20,15,,14.3,1,2,3,1,0,0,2,0,0.07,0.14,0.21,0.07,0.21,Matches
11,Angelina,brBRA,MF,Orlando Pride,25,2000,24,21,,20.1,0,1,1,0,0,1,2,0,0.0,0.05,0.05,0.0,0.05,Matches
12,Daniela Arias,coCOL,DF,SD Wave,30,1994,2,0,8.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
13,Trinity Armstrong,usUSA,DF,SD Wave,17,2007,23,18,,18.4,1,2,3,1,0,0,2,0,0.05,0.11,0.16,0.05,0.16,Matches
14,Mackenzie Arnold,auAUS,GK,Portland Thorns,30,1994,19,19,,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
15,Ary Borges,brBRA,MF,Racing Louisville,25,1999,21,16,,15.6,1,0,1,0,1,1,3,0,0.06,0.0,0.06,0.0,0.0,Matches
16,Kimmi Ascanio,usUSA,"FW,MF",SD Wave,17,2008,26,17,,16.7,4,1,5,4,0,0,1,0,0.24,0.06,0.3,0.24,0.3,Matches
17,Ramona Bachmann,chSUI,"FW,MF",Houston Dash,34,1990,2,0,37.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
18,Dorian Bailey,usUSA,MF,Bay FC,28,1997,23,12,,13.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
19,Elizabeth Ball,usUSA,DF,Current,29,1995,19,14,,14.9,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,Matches
20,Barbra Banda,zmZAM,FW,Orlando Pride,24,2000,16,15,,14.4,8,1,9,8,0,0,3,0,0.56,0.07,0.62,0.56,0.62,Matches
21,Melanie Barcenas,usUSA,MF,SD Wave,17,2007,17,3,468.0,5.2,1,1,2,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,Matches
22,Lauren Barnes,usUSA,DF,Reign,35,1989,20,16,,14.5,0,1,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,Matches
23,Catherine Barry,usUSA,FW,Chicago Stars,23,2001,4,0,49.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
24,Beatriz,brBRA,FW,Current,31,1993,24,19,,17.6,7,3,10,7,0,0,0,0,0.4,0.17,0.57,0.4,0.57,Matches
25,Hannah Bebar,usUSA,MF,Bay FC,23,2001,17,12,,11.7,0,1,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09,Matches
26,Maycee Bell,usUSA,DF,NC Courage,24,2000,24,21,,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
27,Ann-Katrin Berger,deGER,GK,Gotham FC,34,1990,24,24,,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
28,Malia Berkely,usUSA,"DF,MF",NC Courage,26,1998,11,9,804.0,8.9,0,1,1,0,0,0,0,0,0.0,0.11,0.11,0.0,0.11,Matches
29,Malia Berkely,usUSA,DF,Houston Dash,26,1998,6,6,539.0,6.0,1,0,1,1,0,0,0,0,0.17,0.0,0.17,0.17,0.17,Matches
30,Rebeca Bernal,mxMEX,"DF,MF",Washington Spirit,27,1997,21,20,,19.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
31,Hannah Betfort,usUSA,"FW,MF",NC Courage,26,1999,19,6,697.0,7.7,2,0,2,2,0,0,2,0,0.26,0.0,0.26,0.26,0.26,Matches
32,Croix Bethune,usUSA,"MF,FW",Washington Spirit,23,2001,20,16,,14.9,3,2,5,3,0,0,2,0,0.2,0.13,0.34,0.2,0.34,Matches
33,Camryn Biegalski,usUSA,DF,Chicago Stars,26,1998,20,16,,17.3,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches
34,Jenna Bike,usUSA,"MF,FW",Chicago Stars,26,1998,8,6,428.0,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
35,Bella Bixby,usUSA,GK,Portland Thorns,29,1995,7,7,630.0,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
36,Lynn Biyendolo,usUSA,"FW,MF",Reign,31,1993,13,7,794.0,8.8,2,1,3,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,Matches
37,Jordyn Bloomer,usUSA,GK,Racing Louisville,27,1997,20,20,,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
38,Meg Boade,,MF,Washington Spirit,,,3,2,107.0,1.2,1,0,1,1,0,0,0,0,0.84,0.0,0.84,0.84,0.84,Matches
39,Tess Boade,usUSA,MF,Bay FC,25,1999,19,10,984.0,10.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
40,Lisa Boattin,itITA,DF,Houston Dash,27,1997,5,2,261.0,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
41,Bethany Bos,usUSA,"FW,MF",Racing Louisville,27,1997,11,0,46.0,0.5,1,1,2,1,0,0,0,0,1.96,1.96,3.91,1.96,3.91,Matches
42,Marisa Bova,usUSA,GK,NC Courage,24,2000,5,5,450.0,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
43,Jordan Brewster,usUSA,DF,Bay FC,25,1999,1,1,25.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
44,Messiah Bright,usUSA,FW,Houston Dash,25,2000,26,12,,14.0,2,1,3,2,0,0,3,0,0.14,0.07,0.21,0.14,0.21,Matches
