team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Angel City FC,24,22.0,,,,,,,533,,,,,,,,
Current,25,22.0,,,,,,,332,,,,,,,,
Gotham FC,28,22.0,,,,,,,358,,,,,,,,
Houston Dash,27,22.0,,,,,,,392,,,,,,,,
NC Courage,25,22.0,,,,,,,314,,,,,,,,
Orlando Pride,25,22.0,,,,,,,391,,,,,,,,
Portland Thorns,23,22.0,,,,,,,365,,,,,,,,
Racing Louisville,25,22.0,,,,,,,432,,,,,,,,
Red Stars,26,22.0,,,,,,,288,,,,,,,,
Reign,26,22.0,,,,,,,411,,,,,,,,
SD Wave,27,22.0,,,,,,,378,,,,,,,,
Washington Spirit,26,22.0,,,,,,,373,,,,,,,,
