ranker,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches
1,Angelina Anderson,usUSA,GK,Angel City FC,21,2001,4,4,360.0,4.0,3,0.75,22,19,86.4,3,0,1,1,25.0,0,0,0,0,,Matches
2,Nicole Barnhart,usUSA,GK,Washington Spirit,41,1981,3,2,181.0,2.0,5,2.49,15,10,66.7,0,1,1,0,0.0,0,0,0,0,,Matches
3,Bella Bixby,usUSA,GK,Portland Thorns,27,1995,21,21,,21.0,30,1.43,93,66,71.0,9,5,7,6,28.6,3,3,0,0,0.0,Matches
4,Emily Boyd,usUSA,GK,Red Stars,26,1996,2,2,180.0,2.0,0,0.0,8,8,100.0,2,0,0,2,100.0,0,0,0,0,,Matches
5,Jane Campbell,usUSA,GK,Houston Dash,27,1995,22,22,,22.0,18,0.82,111,95,85.6,6,8,8,8,36.4,3,2,0,1,0.0,Matches
6,Kaylie Collins,usUSA,GK,Orlando Pride,24,1998,1,1,90.0,1.0,2,2.0,3,2,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches
7,Claudia Dickey,usUSA,GK,Reign,23,2000,6,6,540.0,6.0,5,0.83,25,20,80.0,2,2,2,3,50.0,0,0,0,0,,Matches
8,Adrianna Franch,usUSA,GK,Current,32,1990,12,12,,12.0,23,1.92,61,40,63.9,3,2,7,1,8.3,2,1,1,0,50.0,Matches
9,DiDi Haracic,baBIH,GK,Angel City FC,30,1992,18,18,,18.0,27,1.5,78,56,71.8,5,7,6,3,16.7,5,5,0,0,0.0,Matches
10,Shelby Hogan,usUSA,GK,Portland Thorns,24,1998,1,1,90.0,1.0,2,2.0,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,Matches
11,Aubrey Kingsbury,usUSA,GK,Washington Spirit,31,1991,20,20,,20.0,24,1.2,72,53,73.6,7,8,5,4,20.0,5,5,0,0,0.0,Matches
12,Katie Lund,usUSA,GK,Racing Louisville,26,1996,22,22,,22.0,24,1.09,108,87,80.6,6,9,7,6,27.3,3,3,0,0,0.0,Matches
13,Amanda McGlynn,usUSA,GK,Gotham FC,24,1998,7,7,630.0,7.0,9,1.29,22,13,59.1,2,3,2,2,28.6,0,0,0,0,,Matches
14,Cassie Miller,usUSA,GK,Current,27,1995,10,10,900.0,10.0,13,1.3,41,30,73.2,5,0,5,4,40.0,2,2,0,0,0.0,Matches
15,Anna Moorhouse,engENG,GK,Orlando Pride,27,1995,19,19,,18.0,22,1.22,90,71,77.8,9,1,9,7,36.8,3,2,1,0,33.3,Matches
16,Casey Murphy,usUSA,GK,NC Courage,26,1996,20,20,,20.0,19,0.95,59,43,72.9,8,6,6,9,45.0,3,3,0,0,0.0,Matches
17,Alyssa Naeher,usUSA,GK,Red Stars,34,1988,20,20,,20.0,50,2.5,126,80,63.5,5,3,12,3,15.0,6,4,0,2,0.0,Matches
18,Carly Nelson,usUSA,GK,Orlando Pride,24,1998,3,2,266.0,3.0,4,1.35,14,10,71.4,1,0,1,0,0.0,0,0,0,0,,Matches
19,Katelyn Rowland,usUSA,GK,NC Courage,28,1994,2,2,180.0,2.0,2,1.0,9,7,77.8,1,0,1,1,50.0,0,0,0,0,,Matches
20,Kailen Sheridan,caCAN,GK,SD Wave,27,1995,19,19,,19.0,18,0.95,78,62,79.5,10,3,6,9,47.4,2,2,0,0,0.0,Matches
21,Abby Smith,usUSA,GK,Gotham FC,29,1993,15,15,,15.0,15,1.0,55,40,72.7,6,4,5,4,26.7,0,0,0,0,,Matches
22,Phallon Tullis-Joyce,usUSA,GK,Reign,26,1996,16,16,,16.0,19,1.19,63,45,71.4,7,3,6,4,25.0,1,1,0,0,0.0,Matches
23,Shae Yanez,usUSA,GK,SD Wave,25,1997,4,3,271.0,3.0,4,1.33,11,8,72.7,1,1,1,0,0.0,1,1,0,0,0.0,Matches
