team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Angel City FC,2,26,26,,26.0,41,1.58,121,82,69.4,7,6,13,4,15.4,5,4,1,0,20.0
Bay FC,2,26,26,,26.0,41,1.58,118,76,65.3,4,8,14,4,15.4,2,0,2,0,100.0
Chicago Stars,2,26,26,,26.0,54,2.08,133,82,62.4,3,11,12,1,3.8,5,4,1,0,20.0
Current,2,26,26,,26.0,13,0.5,76,63,82.9,21,2,3,16,61.5,2,0,1,1,100.0
Gotham FC,3,26,26,,26.0,25,0.96,76,54,69.7,9,9,8,11,42.3,2,2,0,0,0.0
Houston Dash,2,26,26,,26.0,39,1.5,147,108,75.5,8,6,12,6,23.1,3,3,0,0,0.0
NC Courage,2,26,26,,26.0,39,1.5,109,71,66.1,9,8,9,5,19.2,2,2,0,0,0.0
Orlando Pride,2,26,26,,26.0,27,1.04,102,76,74.5,11,7,8,7,26.9,1,1,0,0,0.0
Portland Thorns,2,26,26,,26.0,29,1.12,110,82,73.6,11,7,8,7,26.9,1,0,1,0,100.0
Racing Louisville,2,26,26,,26.0,38,1.46,132,94,73.5,10,7,9,6,23.1,6,3,3,0,50.0
Reign,1,26,26,,26.0,29,1.12,116,88,76.7,10,9,7,7,26.9,2,2,0,0,0.0
Royals,2,26,26,,26.0,42,1.62,137,96,72.3,6,7,13,6,23.1,6,4,1,1,20.0
SD Wave,2,26,26,,26.0,34,1.31,100,66,71.0,10,7,9,5,19.2,5,5,0,0,0.0
Washington Spirit,2,26,26,,26.0,33,1.27,107,78,72.9,12,8,6,8,30.8,4,4,0,0,0.0
