team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Angel City FC,2,26.0,41,4,,,,,,,,,,,,,,,,,,,,,,,
Bay FC,2,26.0,41,0,,,,,,,,,,,,,,,,,,,,,,,
Chicago Stars,2,26.0,54,4,,,,,,,,,,,,,,,,,,,,,,,
Current,2,26.0,13,0,,,,,,,,,,,,,,,,,,,,,,,
Gotham FC,3,26.0,25,2,,,,,,,,,,,,,,,,,,,,,,,
Houston Dash,2,26.0,39,3,,,,,,,,,,,,,,,,,,,,,,,
NC Courage,2,26.0,39,2,,,,,,,,,,,,,,,,,,,,,,,
Orlando Pride,2,26.0,27,1,,,,,,,,,,,,,,,,,,,,,,,
Portland Thorns,2,26.0,29,0,,,,,,,,,,,,,,,,,,,,,,,
Racing Louisville,2,26.0,38,3,,,,,,,,,,,,,,,,,,,,,,,
Reign,1,26.0,29,2,,,,,,,,,,,,,,,,,,,,,,,
Royals,2,26.0,42,4,,,,,,,,,,,,,,,,,,,,,,,
SD Wave,2,26.0,34,5,,,,,,,,,,,,,,,,,,,,,,,
Washington Spirit,2,26.0,33,4,,,,,,,,,,,,,,,,,,,,,,,
