ranker,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
303,Sophie Schmidt,caCAN,"MF,DF",Houston Dash,35,1988,20.4,2,0,0,22,32,1,6,41,45,,,0,Matches
304,Almuth Schult,deGER,GK,Current,32,1991,9.0,0,0,0,0,3,0,0,0,0,,,0,Matches
305,Desiree Scott,caCAN,MF,Current,36,1987,1.5,0,0,0,1,0,0,0,1,3,,,0,Matches
306,Emma Sears,usUSA,MF,Racing Louisville,22,2001,16.5,2,0,0,23,10,8,61,15,24,,,0,Matches
307,Ally Sentnor,usUSA,"MF,FW",Royals,19,2004,20.7,2,0,0,18,34,8,65,15,23,,,0,Matches
308,Kayla Sharples,usUSA,DF,Bay FC,26,1997,12.6,4,0,0,6,5,0,1,15,12,,,1,Matches
309,Kayla Sharples,usUSA,DF,Current,26,1997,7.7,0,0,0,2,3,0,0,14,5,,,0,Matches
310,Jaedyn Shaw,usUSA,"MF,FW",SD Wave,19,2004,13.9,1,0,0,13,22,2,29,12,23,,,0,Matches
311,Delanie Sheehan,usUSA,MF,Gotham FC,25,1999,23.3,3,0,0,29,16,2,26,16,22,,,0,Matches
312,Jamie Shepherd,usUSA,MF,Bay FC,23,2000,1.7,0,0,0,2,2,0,0,0,0,,,0,Matches
313,Kailen Sheridan,caCAN,GK,SD Wave,28,1995,24.7,0,1,0,1,4,0,0,0,0,,,1,Matches
314,Marissa Sheva,ieIRL,MF,Portland Thorns,26,1997,1.0,0,0,0,4,0,0,0,1,1,,,0,Matches
315,Lena Silano,usUSA,FW,Washington Spirit,23,2000,1.7,0,1,0,8,0,3,2,0,1,,,0,Matches
316,Jéssica Silva,ptPOR,"FW,MF",Gotham FC,29,1994,0.7,1,0,0,4,3,0,5,0,0,,,0,Matches
317,Christine Sinclair,caCAN,FW,Portland Thorns,40,1983,13.9,2,0,0,10,7,5,6,3,9,,,0,Matches
318,Olivia Smith-Griffitts,usUSA,DF,Royals,22,2001,12.3,1,0,0,14,7,1,30,25,20,,,0,Matches
319,Ji So-yun,krKOR,"MF,FW",Reign,32,1991,22.7,1,0,0,23,28,2,37,8,24,,,0,Matches
320,Havana Solaun,jmJAM,MF,Houston Dash,30,1993,1.9,1,0,0,3,1,0,0,1,1,,,0,Matches
321,Janine Sonis,caCAN,MF,Racing Louisville,29,1994,7.7,0,0,0,5,5,2,23,8,5,,,0,Matches
322,Janine Sonis,caCAN,"MF,FW",Portland Thorns,29,1994,10.2,1,0,0,4,14,4,26,8,10,,,0,Matches
323,Emily Sonnett,usUSA,"DF,MF",Gotham FC,30,1993,23.9,5,0,0,17,17,0,3,17,16,,,0,Matches
324,Croix Soto,,DF,Houston Dash,,,0.3,0,0,0,0,0,0,0,0,1,,,0,Matches
325,Alexa Spaanstra,usUSA,"MF,FW",Portland Thorns,23,2000,3.6,0,0,0,0,5,1,5,1,5,,,0,Matches
326,Alexa Spaanstra,usUSA,"MF,FW",Current,23,2000,6.6,1,0,0,3,6,0,7,3,5,,,0,Matches
327,Meredith Speck,usUSA,MF,NC Courage,30,1993,2.4,2,0,0,3,7,1,7,1,2,,,0,Matches
328,Jasmyne Spencer,usUSA,DF,Angel City FC,33,1990,18.1,4,0,0,22,30,2,34,24,30,,,0,Matches
329,Bianca St-Georges,caCAN,"MF,FW",NC Courage,26,1997,8.6,3,0,0,19,7,8,35,7,12,,,0,Matches
