ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,matches
1,Kerry Abello,usUSA,DF,Orlando Pride,25,1999,17.2,1,19,4,21.1,1.1,0.23,0.05,0.25,0,0,Matches
2,Deborah Abiodun,ngNGA,"MF,DF",Washington Spirit,21,2003,6.5,0,8,4,50.0,1.24,0.62,0.0,0.0,0,0,Matches
3,Emeri Adames,usUSA,"MF,FW",Reign,18,2006,11.1,6,25,13,52.0,2.25,1.17,0.2,0.38,1,1,Matches
4,Marie-Yasmine Alidou,caCAN,"FW,MF",Portland Thorns,29,1995,8.0,1,12,7,58.3,1.5,0.88,0.08,0.14,0,0,Matches
5,Aline,brBRA,"MF,FW",NC Courage,19,2005,3.9,1,5,4,80.0,1.29,1.03,0.2,0.25,0,0,Matches
6,Emmie Allen,usUSA,GK,Bay FC,22,2002,2.0,0,0,0,,0.0,0.0,,,0,0,Matches
7,Michelle Alozie,ngNGA,"DF,MF",Houston Dash,27,1997,7.3,1,5,3,60.0,0.69,0.41,0.2,0.33,0,0,Matches
8,Angelina Anderson,usUSA,GK,Angel City FC,23,2001,22.0,0,0,0,,0.0,0.0,,,0,0,Matches
9,Hannah Anderson,usUSA,DF,Chicago Stars,23,2001,5.2,0,6,3,50.0,1.15,0.57,0.0,0.0,0,0,Matches
10,Joelle Anderson,usUSA,DF,Bay FC,26,1998,14.3,1,6,3,50.0,0.42,0.21,0.17,0.33,0,0,Matches
11,Angelina,brBRA,MF,Orlando Pride,25,2000,20.1,0,21,7,33.3,1.04,0.35,0.0,0.0,0,1,Matches
12,Daniela Arias,coCOL,DF,SD Wave,30,1994,0.1,0,1,0,0.0,11.25,0.0,0.0,,0,0,Matches
13,Trinity Armstrong,usUSA,DF,SD Wave,17,2007,18.4,1,12,4,33.3,0.65,0.22,0.08,0.25,0,0,Matches
14,Mackenzie Arnold,auAUS,GK,Portland Thorns,30,1994,19.0,0,0,0,,0.0,0.0,,,0,0,Matches
15,Ary Borges,brBRA,MF,Racing Louisville,25,1999,15.6,1,32,9,28.1,2.05,0.58,0.0,0.0,1,1,Matches
16,Kimmi Ascanio,usUSA,"FW,MF",SD Wave,17,2008,16.7,4,25,11,44.0,1.49,0.66,0.16,0.36,0,0,Matches
17,Ramona Bachmann,chSUI,"FW,MF",Houston Dash,34,1990,0.4,0,0,0,,0.0,0.0,,,0,0,Matches
18,Dorian Bailey,usUSA,MF,Bay FC,28,1997,13.4,0,11,3,27.3,0.82,0.22,0.0,0.0,0,0,Matches
19,Elizabeth Ball,usUSA,DF,Current,29,1995,14.9,1,7,2,28.6,0.47,0.13,0.14,0.5,0,0,Matches
20,Barbra Banda,zmZAM,FW,Orlando Pride,24,2000,14.4,8,72,35,48.6,5.0,2.43,0.11,0.23,0,0,Matches
21,Melanie Barcenas,usUSA,MF,SD Wave,17,2007,5.2,1,13,7,53.8,2.5,1.35,0.08,0.14,0,0,Matches
22,Lauren Barnes,usUSA,DF,Reign,35,1989,14.5,0,0,0,,0.0,0.0,,,0,0,Matches
23,Catherine Barry,usUSA,FW,Chicago Stars,23,2001,0.5,0,3,1,33.3,5.51,1.84,0.0,0.0,0,0,Matches
