ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,matches
129,Claire Hutton,usUSA,MF,Bay FC,20-086,2006,4.0,0,2,0,0.0,0.5,0.0,0.0,,0,0,Matches
130,Evelyn Ijeh,seSWE,FW,NC Courage,24-238,2001,1.1,0,3,0,0.0,2.76,0.0,0.0,,0,0,Matches
131,Riley Jackson,usUSA,MF,NC Courage,20-126,2005,4.0,0,3,0,0.0,0.75,0.0,0.0,,0,0,Matches
132,Simone Jackson,usUSA,FW,Orlando Pride,23-069,2003,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
133,Natalie Jacobs,usUSA,DF,NC Courage,28-234,1997,1.9,0,0,0,,0.0,0.0,,,0,0,Matches
134,Angharad James,wlsWAL,MF,Reign,31-310,1994,2.0,1,2,1,50.0,0.99,0.5,0.5,1.0,0,0,Matches
135,Sveindís Jane Jónsdóttir,isISL,FW,Angel City FC,24-306,2001,3.9,3,7,3,42.9,1.78,0.76,0.43,1.0,0,0,Matches
136,Ellie Jean,usUSA,DF,Racing Louisville,29-066,1997,4.0,0,1,0,0.0,0.25,0.0,0.0,,0,0,Matches
137,Micayla Johnson,usUSA,FW,Chicago Stars,18-079,2008,0.2,0,1,1,100.0,4.09,4.09,0.0,0.0,0,0,Matches
138,Jameese Joseph,usUSA,MF,Chicago Stars,23-339,2002,3.9,0,3,0,0.0,0.78,0.0,0.0,,0,0,Matches
139,Mia Justus,usUSA,GK,Royals,23-216,2002,5.0,0,0,0,,0.0,0.0,,,0,0,Matches
140,Avery Kalitta,,MF,Racing Louisville,,,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
141,Annie Karich,usUSA,"MF,DF",Boston Legacy,22-163,2003,4.0,0,3,0,0.0,0.75,0.0,0.0,,0,0,Matches
142,Savannah King,usUSA,DF,Angel City FC,21-059,2005,3.2,0,2,0,0.0,0.62,0.0,0.0,,0,0,Matches
143,Andrea Kitahata,usUSA,MF,Gotham FC,23-096,2003,0.8,0,0,0,,0.0,0.0,,,0,0,Matches
144,Leah Klenke,usUSA,DF,Houston Dash,21-290,2004,4.0,0,3,0,0.0,0.75,0.0,0.0,,0,0,Matches
145,Melissa Kössler,deGER,FW,Denver Summit,26-034,2000,4.7,3,10,5,50.0,2.12,1.06,0.3,0.6,0,0,Matches
146,Rosemonde Kouassi,ciCIV,MF,Washington Spirit,24-102,2001,4.0,0,4,2,50.0,1.0,0.5,0.0,0.0,0,0,Matches
147,Shinomi Koyama,jpJPN,"FW,MF",NC Courage,21-066,2005,3.9,0,5,3,60.0,1.29,0.77,0.0,0.0,0,0,Matches
148,Racheal Kundananji,zmZAM,MF,Bay FC,25-308,2000,1.0,0,2,1,50.0,2.0,1.0,0.0,0.0,0,0,Matches
149,Kaleigh Kurtz,usUSA,DF,Denver Summit,28-210,1997,5.0,0,2,0,0.0,0.4,0.0,0.0,,0,0,Matches
150,Lo'eau LaBonta,usUSA,MF,Current,33-020,1993,2.6,0,0,0,,0.0,0.0,,,0,0,Matches
151,Cloé Lacasse,caCAN,"MF,FW",Royals,32-274,1993,4.2,0,8,2,25.0,1.9,0.48,0.0,0.0,0,0,Matches
152,Carina Lageyre,usUSA,MF,Angel City FC,22-157,2003,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
153,Clarissa Larisey,caCAN,FW,Houston Dash,26-279,1999,0.8,0,2,0,0.0,2.65,0.0,0.0,,0,0,Matches
154,Rose Lavelle,usUSA,MF,Gotham FC,30-328,1995,4.5,0,8,2,25.0,1.78,0.45,0.0,0.0,0,0,Matches
155,Karlie Lema,usUSA,"MF,FW",Bay FC,22-282,2003,1.8,0,10,2,20.0,5.63,1.13,0.0,0.0,0,0,Matches
156,Ally Lemos,usUSA,MF,Orlando Pride,22-034,2004,4.5,0,4,0,0.0,0.89,0.0,0.0,,0,0,Matches
157,Payton Linnehan,usUSA,MF,NC Courage,25-013,2001,0.9,0,2,0,0.0,2.17,0.0,0.0,,0,0,Matches
158,Maitane López Millán,esESP,MF,Chicago Stars,31-025,1995,3.6,0,3,0,0.0,0.82,0.0,0.0,,0,0,Matches
159,Lorena,brBRA,GK,Current,28-336,1997,5.0,0,0,0,,0.0,0.0,,,0,0,Matches
160,Luana,brBRA,MF,Orlando Pride,32-340,1993,0.5,0,2,0,0.0,4.09,0.0,0.0,,0,0,Matches
161,Ludmila,brBRA,FW,SD Wave,31-127,1994,4.6,1,16,9,56.3,3.46,1.95,0.06,0.11,0,0,Matches
162,Katie Lund,usUSA,GK,Chicago Stars,29-131,1996,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
163,Devin Lynch,usUSA,MF,Denver Summit,22-124,2003,4.6,0,0,0,,0.0,0.0,,,0,0,Matches
164,Hailie Mace,usUSA,DF,Orlando Pride,29-014,1997,4.8,0,0,0,,0.0,0.0,,,0,0,Matches
165,Sandy MacIver,sctSCO,GK,Washington Spirit,27-293,1998,5.0,0,0,0,,0.0,0.0,,,0,0,Matches
166,Maiara,brBRA,MF,Angel City FC,21-239,2004,3.9,1,12,2,16.7,3.05,0.51,0.08,0.5,0,0,Matches
167,Marta,brBRA,"FW,MF",Orlando Pride,40-047,1986,0.5,0,1,0,0.0,2.0,0.0,0.0,,0,0,Matches
