team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Angel City FC,15,4.0,,,,,,,69,,,,,,,,
Bay FC,20,4.0,,,,,,,48,,,,,,,,
Boston Legacy,19,4.0,,,,,,,43,,,,,,,,
Chicago Stars,21,5.0,,,,,,,50,,,,,,,,
Current,22,5.0,,,,,,,88,,,,,,,,
Denver Summit,18,5.0,,,,,,,69,,,,,,,,
Gotham FC,19,5.0,,,,,,,92,,,,,,,,
Houston Dash,19,4.0,,,,,,,44,,,,,,,,
NC Courage,20,4.0,,,,,,,57,,,,,,,,
Orlando Pride,19,5.0,,,,,,,87,,,,,,,,
Portland Thorns,20,5.0,,,,,,,64,,,,,,,,
Racing Louisville,18,4.0,,,,,,,67,,,,,,,,
Reign,19,5.0,,,,,,,85,,,,,,,,
Royals,21,5.0,,,,,,,90,,,,,,,,
SD Wave,19,5.0,,,,,,,79,,,,,,,,
Washington Spirit,19,5.0,,,,,,,77,,,,,,,,
