ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
163,Katie Johnson,mxMEX,"FW,MF",Angel City FC,29,1994,1.0,,,,,,,,,,,,,,,,,Matches
164,Mya Jones,caCAN,"MF,FW",SD Wave,22,2001,9.5,,,,,,,,,,,,,,,,,Matches
165,Jameese Joseph,usUSA,"MF,FW",Red Stars,21,2002,11.5,,,,,,,,,,,,,,,,,Matches
166,Júlia,brBRA,MF,Red Stars,26,1997,8.7,,,,,,,,,,,,,,,,,Matches
167,Uchenna Kanu,ngNGA,"MF,FW",Racing Louisville,26,1997,8.3,,,,,,,,,,,,,,,,,Matches
168,Kerolin,brBRA,FW,NC Courage,24,1999,2.6,,,,,,,,,,,,,,,,,Matches
169,Alex Kerr,usUSA,FW,Orlando Pride,22,2001,0.1,,,,,,,,,,,,,,,,,Matches
170,Savannah King,usUSA,DF,Bay FC,18,2005,12.3,,,,,,,,,,,,,,,,,Matches
171,Tziarra King,usUSA,"MF,FW",Reign,25,1998,14.9,,,,,,,,,,,,,,,,,Matches
172,Aubrey Kingsbury,usUSA,GK,Washington Spirit,32,1991,26.0,,,,,,,,,,,,,,,,,Matches
173,Meghan Klingenberg,usUSA,"MF,DF",Portland Thorns,35,1988,2.8,,,,,,,,,,,,,,,,,Matches
174,Rosemonde Kouassi,ciCIV,"MF,FW",Washington Spirit,22,2001,6.1,,,,,,,,,,,,,,,,,Matches
175,Casey Krueger,usUSA,DF,Washington Spirit,33,1990,18.6,,,,,,,,,,,,,,,,,Matches
176,Natalia Kuikka,fiFIN,DF,Red Stars,28,1995,22.9,,,,,,,,,,,,,,,,,Matches
177,Racheal Kundananji,zmZAM,"FW,MF",Bay FC,23,2000,20.3,,,,,,,,,,,,,,,,,Matches
178,Kaleigh Kurtz,usUSA,DF,NC Courage,26,1997,26.0,,,,,,,,,,,,,,,,,Matches
179,Lo'eau LaBonta,usUSA,MF,Current,30,1993,21.3,,,,,,,,,,,,,,,,,Matches
180,Cloé Lacasse,caCAN,"MF,FW",Royals,30,1993,7.4,,,,,,,,,,,,,,,,,Matches
181,Mariana Larroquette,arARG,FW,Orlando Pride,31,1992,0.6,,,,,,,,,,,,,,,,,Matches
182,Veronica Latsko,usUSA,"MF,DF",Reign,28,1995,13.1,,,,,,,,,,,,,,,,,Matches
183,Lauren,brBRA,DF,Current,21,2002,0.9,,,,,,,,,,,,,,,,,Matches
184,Rose Lavelle,usUSA,MF,Gotham FC,28,1995,15.7,,,,,,,,,,,,,,,,,Matches
185,Claire Lavogez,frFRA,"FW,MF",Current,29,1994,5.3,,,,,,,,,,,,,,,,,Matches
186,Carrie Lawrence,usUSA,DF,Orlando Pride,26,1997,3.2,,,,,,,,,,,,,,,,,Matches
187,Clarisse Le Bihan,frFRA,MF,Angel City FC,29,1994,5.4,,,,,,,,,,,,,,,,,Matches
188,Ally Lemos,usUSA,MF,Orlando Pride,19,2004,3.8,,,,,,,,,,,,,,,,,Matches
189,Sydney Leroux,usUSA,FW,Angel City FC,33,1990,19.3,,,,,,,,,,,,,,,,,Matches
190,Julia Lester,usUSA,DF,Reign,26,1998,2.4,,,,,,,,,,,,,,,,,Matches
191,Payton Linnehan,usUSA,"MF,FW",Portland Thorns,22,2001,8.2,,,,,,,,,,,,,,,,,Matches
192,Alex Loera,usUSA,MF,Bay FC,24,1999,3.3,,,,,,,,,,,,,,,,,Matches
193,Maitane López Millán,esESP,"MF,DF",Gotham FC,28,1995,4.6,,,,,,,,,,,,,,,,,Matches
194,Luana,brBRA,MF,Orlando Pride,30,1993,2.1,,,,,,,,,,,,,,,,,Matches
195,Ludmila,brBRA,"FW,MF",Red Stars,29,1994,5.9,,,,,,,,,,,,,,,,,Matches
196,Katie Lund,usUSA,GK,Racing Louisville,27,1996,26.0,,,,,,,,,,,,,,,,,Matches
197,Hanna Lundkvist,seSWE,DF,SD Wave,21,2002,20.2,,,,,,,,,,,,,,,,,Matches
198,Tyler Lussi,usUSA,"MF,FW",NC Courage,29,1995,16.3,,,,,,,,,,,,,,,,,Matches
199,Hailie Mace,usUSA,DF,Current,26,1997,20.0,,,,,,,,,,,,,,,,,Matches
200,Hildah Magaia,zaRSA,FW,Current,29,1994,0.6,,,,,,,,,,,,,,,,,Matches
201,Taylor Malham,usUSA,DF,Red Stars,24,1999,16.0,,,,,,,,,,,,,,,,,Matches
202,Alyssa Malonson,usUSA,DF,Bay FC,24,1999,15.0,,,,,,,,,,,,,,,,,Matches
203,Princess Marfo,ghGHA,FW,Bay FC,20,2003,2.7,,,,,,,,,,,,,,,,,Matches
204,Marta,brBRA,"MF,FW",Orlando Pride,37,1986,19.3,,,,,,,,,,,,,,,,,Matches
205,Nealy Martin,usUSA,MF,Gotham FC,25,1998,21.2,,,,,,,,,,,,,,,,,Matches
206,Brianna Martinez,usUSA,DF,Orlando Pride,23,2000,7.8,,,,,,,,,,,,,,,,,Matches
207,Merritt Mathias,usUSA,DF,Angel City FC,33,1990,4.1,,,,,,,,,,,,,,,,,Matches
208,Manaka Matsukubo,jpJPN,FW,NC Courage,19,2004,11.7,,,,,,,,,,,,,,,,,Matches
209,Zoe Matthews,usUSA,MF,Houston Dash,16,2007,0.1,,,,,,,,,,,,,,,,,Matches
210,Ainsley McCammon,usUSA,MF,Reign,16,2007,0.7,,,,,,,,,,,,,,,,,Matches
211,Savannah McCaskill,usUSA,MF,SD Wave,27,1996,16.1,,,,,,,,,,,,,,,,,Matches
212,Phoebe McClernon,usUSA,DF,Reign,26,1997,21.5,,,,,,,,,,,,,,,,,Matches
213,Haley McCutcheon,usUSA,MF,Orlando Pride,27,1996,18.9,,,,,,,,,,,,,,,,,Matches
214,Amanda McGlynn,usUSA,GK,Royals,25,1998,24.0,,,,,,,,,,,,,,,,,Matches
215,Mallie McKenzie,usUSA,MF,Portland Thorns,23,2000,0.1,,,,,,,,,,,,,,,,,Matches
216,Tara McKeown,usUSA,DF,Washington Spirit,24,1999,26.0,,,,,,,,,,,,,,,,,Matches
217,Kristen McNabb,usUSA,DF,SD Wave,29,1994,21.6,,,,,,,,,,,,,,,,,Matches
218,Emily Menges,usUSA,DF,Bay FC,31,1992,25.4,,,,,,,,,,,,,,,,,Matches
219,Maddie Mercado,usUSA,FW,Reign,22,2001,0.4,,,,,,,,,,,,,,,,,Matches
220,Addisyn Merrick,usUSA,MF,Royals,25,1998,1.3,,,,,,,,,,,,,,,,,Matches
221,Landy Mertz,usUSA,MF,NC Courage,23,2000,0.1,,,,,,,,,,,,,,,,,Matches
222,Paige Metayer,usUSA,"DF,MF",Washington Spirit,23,2000,11.6,,,,,,,,,,,,,,,,,Matches
223,Tatumn Milazzo,usUSA,DF,Red Stars,25,1998,12.6,,,,,,,,,,,,,,,,,Matches
224,Cassie Miller,usUSA,GK,Gotham FC,28,1995,4.0,,,,,,,,,,,,,,,,,Matches
225,Lauren Milliet,usUSA,DF,Racing Louisville,27,1996,26.0,,,,,,,,,,,,,,,,,Matches
226,Narumi Miura,jpJPN,MF,NC Courage,26,1997,21.7,,,,,,,,,,,,,,,,,Matches
227,Paige Monaghan,usUSA,"MF,FW",Royals,27,1996,17.4,,,,,,,,,,,,,,,,,Matches
228,Nérilia Mondésir,htHAI,MF,Reign,25,1999,3.1,,,,,,,,,,,,,,,,,Matches
229,Anna Moorhouse,engENG,GK,Orlando Pride,28,1995,26.0,,,,,,,,,,,,,,,,,Matches
230,Madeline Moreau,usUSA,DF,Bay FC,23,2000,2.8,,,,,,,,,,,,,,,,,Matches
231,Alex Morgan,usUSA,FW,SD Wave,34,1989,9.4,,,,,,,,,,,,,,,,,Matches
232,Esme Morgan,engENG,DF,Washington Spirit,23,2000,5.0,,,,,,,,,,,,,,,,,Matches
233,Makenna Morris,usUSA,MF,Washington Spirit,21,2002,6.0,,,,,,,,,,,,,,,,,Matches
234,Perle Morroni,frFRA,DF,SD Wave,26,1997,4.2,,,,,,,,,,,,,,,,,Matches
235,Linda Motlhalo,zaRSA,MF,Racing Louisville,25,1998,0.0,,,,,,,,,,,,,,,,,Matches
236,Olivia Moultrie,usUSA,"MF,FW",Portland Thorns,18,2005,17.4,,,,,,,,,,,,,,,,,Matches
237,Brecken Mozingo,usUSA,"MF,FW",Royals,22,2001,10.9,,,,,,,,,,,,,,,,,Matches
238,Marie Müller,deGER,"DF,MF",Portland Thorns,23,2000,20.3,,,,,,,,,,,,,,,,,Matches
239,Shaelan Murison,usUSA,FW,Royals,25,1998,0.1,,,,,,,,,,,,,,,,,Matches
240,Casey Murphy,usUSA,GK,NC Courage,27,1996,26.0,,,,,,,,,,,,,,,,,Matches
241,Lily Nabet,usUSA,MF,Angel City FC,24,1999,7.8,,,,,,,,,,,,,,,,,Matches
242,Alyssa Naeher,usUSA,GK,Red Stars,35,1988,23.7,,,,,,,,,,,,,,,,,Matches
243,Yūki Nagasato,jpJPN,"MF,FW",Houston Dash,36,1987,11.8,,,,,,,,,,,,,,,,,Matches
244,Meaghan Nally,usUSA,DF,Portland Thorns,25,1998,0.5,,,,,,,,,,,,,,,,,Matches
245,Carly Nelson,usUSA,GK,Royals,25,1998,1.0,,,,,,,,,,,,,,,,,Matches
246,Leilanni Nesbeth,bmBER,"MF,DF",Red Stars,22,2001,10.7,,,,,,,,,,,,,,,,,Matches
247,Paige Nielsen,usUSA,DF,Houston Dash,30,1993,21.0,,,,,,,,,,,,,,,,,Matches
248,Paige Nielsen,usUSA,DF,Angel City FC,30,1993,3.0,,,,,,,,,,,,,,,,,Matches
249,Jenna Nighswonger,usUSA,DF,Gotham FC,23,2000,22.3,,,,,,,,,,,,,,,,,Matches
250,Agnes Nyberg,seSWE,MF,Royals,23,2000,7.2,,,,,,,,,,,,,,,,,Matches
251,Kelley O'Hara,usUSA,DF,Gotham FC,35,1988,0.9,,,,,,,,,,,,,,,,,Matches
252,Denise O'Sullivan,ieIRL,MF,NC Courage,29,1994,21.4,,,,,,,,,,,,,,,,,Matches
253,Isabella Obaze,dkDEN,DF,Portland Thorns,21,2002,11.3,,,,,,,,,,,,,,,,,Matches
254,Bárbara Olivieri,veVEN,"MF,FW",Houston Dash,21,2002,17.7,,,,,,,,,,,,,,,,,Matches
255,Ifeoma Onumonu,ngNGA,FW,Royals,29,1994,1.2,,,,,,,,,,,,,,,,,Matches
256,Diana Ordoñez,mxMEX,"FW,MF",Houston Dash,22,2001,19.1,,,,,,,,,,,,,,,,,Matches
257,Asisat Oshoala,ngNGA,FW,Bay FC,29,1994,20.7,,,,,,,,,,,,,,,,,Matches
258,Avery Patterson,usUSA,"MF,DF",Houston Dash,21,2002,23.0,,,,,,,,,,,,,,,,,Matches
259,Nicole Payne,ngNGA,DF,Portland Thorns,23,2001,11.2,,,,,,,,,,,,,,,,,Matches
260,Courtney Petersen,usUSA,DF,Racing Louisville,26,1997,6.0,,,,,,,,,,,,,,,,,Matches
261,Courtney Petersen,usUSA,"DF,MF",Houston Dash,26,1997,12.9,,,,,,,,,,,,,,,,,Matches
262,Alex Pfeiffer,usUSA,FW,Current,16,2007,1.5,,,,,,,,,,,,,,,,,Matches
263,Carson Pickett,usUSA,"DF,MF",Orlando Pride,30,1993,4.3,,,,,,,,,,,,,,,,,Matches
264,Carson Pickett,usUSA,DF,Racing Louisville,30,1993,16.0,,,,,,,,,,,,,,,,,Matches
265,Kiki Pickett,usUSA,MF,Bay FC,24,1999,18.3,,,,,,,,,,,,,,,,,Matches
266,Victoria Pickett,caCAN,"FW,MF",NC Courage,27,1996,6.5,,,,,,,,,,,,,,,,,Matches
267,Elli Pikkujämsä,fiFIN,DF,Racing Louisville,24,1999,2.8,,,,,,,,,,,,,,,,,Matches
268,Brianna Pinto,usUSA,"FW,MF",NC Courage,23,2000,8.5,,,,,,,,,,,,,,,,,Matches
269,Madison Pogarch,usUSA,DF,Royals,26,1997,20.9,,,,,,,,,,,,,,,,,Matches
270,Maddie Pokorny,usUSA,MF,Racing Louisville,27,1996,0.9,,,,,,,,,,,,,,,,,Matches
271,Christen Press,usUSA,FW,Angel City FC,35,1988,2.3,,,,,,,,,,,,,,,,,Matches
272,Nichelle Prince,caCAN,"FW,MF",Current,28,1995,8.1,,,,,,,,,,,,,,,,,Matches
273,Lysianne Proulx,caCAN,GK,Bay FC,24,1999,6.0,,,,,,,,,,,,,,,,,Matches
274,Sarah Puntigam,atAUT,"MF,DF",Houston Dash,31,1992,17.6,,,,,,,,,,,,,,,,,Matches
275,Margaret Purce,usUSA,FW,Gotham FC,28,1995,0.5,,,,,,,,,,,,,,,,,Matches
276,Quinn,caCAN,MF,Reign,28,1995,12.0,,,,,,,,,,,,,,,,,Matches
277,Rafaelle,brBRA,DF,Orlando Pride,32,1991,6.9,,,,,,,,,,,,,,,,,Matches
278,Maximiliane Rall,deGER,DF,Red Stars,30,1993,8.9,,,,,,,,,,,,,,,,,Matches
279,Brittany Ratcliffe,usUSA,"MF,FW",Washington Spirit,29,1994,5.7,,,,,,,,,,,,,,,,,Matches
280,Felicitas Rauch,deGER,DF,NC Courage,27,1996,21.0,,,,,,,,,,,,,,,,,Matches
281,Megan Reid,usUSA,DF,Angel City FC,27,1996,20.0,,,,,,,,,,,,,,,,,Matches
282,Reyna Reyes,mxMEX,"DF,MF",Portland Thorns,22,2001,19.3,,,,,,,,,,,,,,,,,Matches
283,Chloe Ricketts,usUSA,MF,Washington Spirit,16,2007,0.2,,,,,,,,,,,,,,,,,Matches
284,Kaleigh Riehl,usUSA,DF,Royals,27,1996,14.0,,,,,,,,,,,,,,,,,Matches
285,Ali Riley,nzNZL,DF,Angel City FC,36,1987,2.9,,,,,,,,,,,,,,,,,Matches
286,Gabrielle Robinson,usUSA,DF,Current,22,2001,10.3,,,,,,,,,,,,,,,,,Matches
287,Cari Roccaro,usUSA,"MF,DF",Red Stars,29,1994,25.9,,,,,,,,,,,,,,,,,Matches
288,Trinity Rodman,usUSA,MF,Washington Spirit,21,2002,19.6,,,,,,,,,,,,,,,,,Matches
289,Izzy Rodriguez,usUSA,DF,Current,24,1999,16.8,,,,,,,,,,,,,,,,,Matches
290,Raquel Rodríguez,crCRC,MF,Angel City FC,30,1993,12.7,,,,,,,,,,,,,,,,,Matches
291,Cristina Roque,prPUR,GK,Royals,22,2001,1.0,,,,,,,,,,,,,,,,,Matches
292,Katelyn Rowland,usUSA,GK,Bay FC,29,1994,20.0,,,,,,,,,,,,,,,,,Matches
293,Elin Rubensson,seSWE,MF,Houston Dash,30,1993,11.3,,,,,,,,,,,,,,,,,Matches
294,Yazmeen Ryan,usUSA,"MF,FW",Gotham FC,24,1999,21.5,,,,,,,,,,,,,,,,,Matches
295,Emily Sams,usUSA,DF,Orlando Pride,24,1999,24.3,,,,,,,,,,,,,,,,,Matches
296,Ashley Sanchez,usUSA,MF,NC Courage,24,1999,23.8,,,,,,,,,,,,,,,,,Matches
297,Maria Sanchez,mxMEX,MF,SD Wave,27,1996,17.0,,,,,,,,,,,,,,,,,Matches
298,Maria Sanchez,mxMEX,MF,Houston Dash,27,1996,3.9,,,,,,,,,,,,,,,,,Matches
299,Leicy Santos,coCOL,"MF,FW",Washington Spirit,27,1996,5.9,,,,,,,,,,,,,,,,,Matches
300,Ouleymata Sarr,frFRA,FW,Washington Spirit,28,1995,14.8,,,,,,,,,,,,,,,,,Matches
301,Becky Sauerbrunn,usUSA,DF,Portland Thorns,38,1985,23.8,,,,,,,,,,,,,,,,,Matches
302,Ally Schlegel,usUSA,"MF,FW",Red Stars,23,2000,14.2,,,,,,,,,,,,,,,,,Matches
303,Sophie Schmidt,caCAN,"MF,DF",Houston Dash,35,1988,20.4,,,,,,,,,,,,,,,,,Matches
304,Almuth Schult,deGER,GK,Current,32,1991,9.0,,,,,,,,,,,,,,,,,Matches
305,Desiree Scott,caCAN,MF,Current,36,1987,1.5,,,,,,,,,,,,,,,,,Matches
306,Emma Sears,usUSA,MF,Racing Louisville,22,2001,16.5,,,,,,,,,,,,,,,,,Matches
