ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
361,McKenzie Weinert,,FW,Reign,,,0.3,,,,,,,,,,,,,,,,,Matches
362,Kennedy Wesley,usUSA,DF,SD Wave,22,2001,11.2,,,,,,,,,,,,,,,,,Matches
363,Amanda West,caCAN,"MF,FW",Houston Dash,22,2001,8.1,,,,,,,,,,,,,,,,,Matches
364,Christen Westphal,usUSA,DF,SD Wave,30,1993,8.1,,,,,,,,,,,,,,,,,Matches
365,Ellie Wheeler,usUSA,"DF,MF",Current,22,2001,15.9,,,,,,,,,,,,,,,,,Matches
366,Kate Wiesner,usUSA,"DF,MF",Washington Spirit,22,2001,5.8,,,,,,,,,,,,,,,,,Matches
367,Ryan Williams,usUSA,DF,NC Courage,27,1996,24.9,,,,,,,,,,,,,,,,,Matches
368,Sophia Wilson,usUSA,"FW,MF",Portland Thorns,23,2000,17.2,,,,,,,,,,,,,,,,,Matches
369,Olivia Wingate,usUSA,FW,NC Courage,23,2000,4.0,,,,,,,,,,,,,,,,,Matches
370,Mackenzie Wood,usUSA,GK,Red Stars,23,2000,2.3,,,,,,,,,,,,,,,,,Matches
371,Lily Woodham,wlsWAL,DF,Reign,23,2000,4.3,,,,,,,,,,,,,,,,,Matches
372,Arin Wright,usUSA,DF,Racing Louisville,31,1992,20.1,,,,,,,,,,,,,,,,,Matches
373,Summer Yates,usUSA,MF,Orlando Pride,23,2000,14.7,,,,,,,,,,,,,,,,,Matches
374,Katie Zelem,engENG,MF,Angel City FC,28,1996,8.3,,,,,,,,,,,,,,,,,Matches
375,McCall Zerboni,usUSA,MF,Gotham FC,37,1986,1.9,,,,,,,,,,,,,,,,,Matches
376,Claudia Zornoza,esESP,MF,Royals,33,1990,9.4,,,,,,,,,,,,,,,,,Matches
