team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area
Angel City FC,31,26.0,,,,,,,,,,,,,,,20,,,,,
Bay FC,25,26.0,,,,,,,,,,,,,,,19,,,,,
Chicago Stars,27,26.0,,,,,,,,,,,,,,,24,,,,,
Current,27,26.0,,,,,,,,,,,,,,,31,,,,,
Gotham FC,29,26.0,,,,,,,,,,,,,,,22,,,,,
Houston Dash,27,26.0,,,,,,,,,,,,,,,19,,,,,
NC Courage,25,26.0,,,,,,,,,,,,,,,21,,,,,
Orlando Pride,27,26.0,,,,,,,,,,,,,,,19,,,,,
Portland Thorns,25,26.0,,,,,,,,,,,,,,,19,,,,,
Racing Louisville,20,26.0,,,,,,,,,,,,,,,25,,,,,
Reign,24,26.0,,,,,,,,,,,,,,,17,,,,,
Royals,28,26.0,,,,,,,,,,,,,,,13,,,,,
SD Wave,25,26.0,,,,,,,,,,,,,,,29,,,,,
Washington Spirit,28,26.0,,,,,,,,,,,,,,,29,,,,,
