team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att
Angel City FC,26,26.0,27,298,110,36.9,11.46,4.23,0.08,0.22,3,4
Bay FC,26,26.0,29,332,108,32.5,12.77,4.15,0.08,0.25,2,2
Current,28,26.0,56,458,162,35.4,17.62,6.23,0.12,0.33,3,3
Gotham FC,27,26.0,40,361,136,37.7,13.88,5.23,0.11,0.28,2,3
Houston Dash,29,26.0,19,259,77,29.7,9.96,2.96,0.07,0.22,2,3
NC Courage,23,26.0,32,280,95,33.9,10.77,3.65,0.11,0.33,1,3
Orlando Pride,26,26.0,43,407,150,36.9,15.65,5.77,0.09,0.25,5,5
Portland Thorns,27,26.0,37,367,145,39.5,14.12,5.58,0.09,0.23,3,3
Racing Louisville,26,26.0,32,298,111,37.2,11.46,4.27,0.1,0.26,3,4
Red Stars,27,26.0,30,237,83,35.0,9.12,3.19,0.12,0.34,2,4
Reign,30,26.0,23,284,89,31.3,10.92,3.42,0.07,0.21,4,4
Royals,30,26.0,21,333,118,35.4,12.81,4.54,0.06,0.17,1,1
SD Wave,26,26.0,24,328,95,29.0,12.62,3.65,0.07,0.24,1,3
Washington Spirit,25,26.0,49,363,139,38.3,13.96,5.35,0.12,0.31,6,6
