team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Angel City FC,2,22.0,30,5,,,,,,,,,,,,,,,,,,,,,,,
Current,2,22.0,36,3,,,,,,,,,,,,,,,,,,,,,,,
Gotham FC,2,22.0,24,0,,,,,,,,,,,,,,,,,,,,,,,
Houston Dash,1,22.0,18,2,,,,,,,,,,,,,,,,,,,,,,,
NC Courage,2,22.0,22,3,,,,,,,,,,,,,,,,,,,,,,,
Orlando Pride,3,22.0,28,3,,,,,,,,,,,,,,,,,,,,,,,
Portland Thorns,2,22.0,32,3,,,,,,,,,,,,,,,,,,,,,,,
Racing Louisville,1,22.0,24,3,,,,,,,,,,,,,,,,,,,,,,,
Red Stars,2,22.0,50,4,,,,,,,,,,,,,,,,,,,,,,,
Reign,2,22.0,24,1,,,,,,,,,,,,,,,,,,,,,,,
SD Wave,2,22.0,22,3,,,,,,,,,,,,,,,,,,,,,,,
Washington Spirit,2,22.0,29,5,,,,,,,,,,,,,,,,,,,,,,,
