round,gameweek,dayofweek,date,start_time,home_team,score,away_team,attendance,venue,referee,match_report,notes
Regular Season,1.0,Sat,2023-03-25,14:00(11:00),NC Courage,1–0,Current,,Sahlen's Stadium at WakeMed Soccer Park,Alex Billeter,Match Report,
Regular Season,1.0,Sun,2023-03-26,14:00,Portland Thorns,4–0,Orlando Pride,,Providence Park,Eric Tattersall,Match Report,
Regular Season,1.0,Sun,2023-03-26,16:00(13:00),Washington Spirit,1–0,Reign,,Audi Field,Alyssa Nichols,Match Report,
Regular Season,1.0,Sun,2023-03-26,18:00(16:00),Houston Dash,0–0,Racing Louisville,,Shell Energy Stadium,Danielle Chesky,Match Report,
Regular Season,1.0,Sat,2023-03-25,19:00,SD Wave,3–2,Red Stars,,Snapdragon Stadium,Elton Garcia,Match Report,
Regular Season,1.0,Sun,2023-03-26,21:00(18:00),Angel City FC,1–2,Gotham FC,,BMO Field,Elijio Arreguin,Match Report,
Regular Season,2.0,Sat,2023-04-01,11:50(09:50),Current,1–4,Portland Thorns,,Children's Mercy Park,Natalie Simon,Match Report,
Regular Season,2.0,Sat,2023-04-01,13:00(11:00),Red Stars,1–2,Houston Dash,,SeatGeek Stadium,Karen Callado,Match Report,
Regular Season,2.0,Sat,2023-04-01,15:00(12:00),Racing Louisville,2–2,Washington Spirit,,Lynn Family Stadium,Sergii Demianchuk,Match Report,
Regular Season,2.0,Sat,2023-04-01,19:30(16:30),Gotham FC,0–2,Reign,,Red Bull Arena,Brad Jensen,Match Report,
Regular Season,2.0,Sun,2023-04-02,17:30(14:30),Orlando Pride,1–2,Angel City FC,,Exploria Stadium,Danielle Chesky,Match Report,
Regular Season,2.0,Sat,2023-04-01,19:00,SD Wave,3–1,NC Courage,,Snapdragon Stadium,John Griggs,Match Report,
Regular Season,3.0,Sat,2023-04-15,19:00(16:00),Orlando Pride,0–2,Gotham FC,,Exploria Stadium,Elvis Osmanovic,Match Report,
Regular Season,3.0,Sat,2023-04-15,19:00(16:00),NC Courage,1–2,Washington Spirit,,Sahlen's Stadium at WakeMed Soccer Park,Adorae Monroy,Match Report,
Regular Season,3.0,Fri,2023-04-14,19:30,Portland Thorns,1–1,Houston Dash,,Providence Park,Alex Billeter,Match Report,
Regular Season,3.0,Sat,2023-04-15,19:00(17:00),Red Stars,4–2,Current,,SeatGeek Stadium,Elijio Arreguin,Match Report,
Regular Season,3.0,Sat,2023-04-15,19:00,Angel City FC,2–2,Racing Louisville,,BMO Stadium,Brad Jensen,Match Report,
Regular Season,3.0,Sat,2023-04-15,19:00,Reign,1–0,SD Wave,,Lumen Field,Tori Penso,Match Report,
Regular Season,4.0,Sat,2023-04-22,12:30,Reign,5–2,Red Stars,,Lumen Field,John Griggs,Match Report,
Regular Season,4.0,Sat,2023-04-22,19:00(16:00),Washington Spirit,0–0,Houston Dash,,Audi Field,Elton Garcia,Match Report,
Regular Season,4.0,Sat,2023-04-22,19:30(16:30),Gotham FC,1–0,NC Courage,,Red Bull Arena,Matthew Thompson,Match Report,
Regular Season,4.0,Sun,2023-04-23,16:00(14:00),Current,2–0,Orlando Pride,,Children's Mercy Park,Karen Callado,Match Report,
Regular Season,4.0,Sat,2023-04-22,19:30,Portland Thorns,2–0,Racing Louisville,,Providence Park,Thomas Snyder,Match Report,
Regular Season,4.0,Sun,2023-04-23,17:00,Angel City FC,0–2,SD Wave,,BMO Stadium,Katja Koroleva,Match Report,
Regular Season,5.0,Fri,2023-04-28,19:30(17:30),Houston Dash,0–1,NC Courage,,Shell Energy Stadium,Thomas Snyder,Match Report,
Regular Season,5.0,Sat,2023-04-29,19:30(16:30),Racing Louisville,2–2,Reign,,Lynn Family Stadium,Eric Tattersall,Match Report,
Regular Season,5.0,Sun,2023-04-30,17:00(15:00),Current,2–0,Gotham FC,,Children's Mercy Park,Adorae Monroy,Match Report,
Regular Season,5.0,Sat,2023-04-29,19:00(17:00),Red Stars,1–1,Washington Spirit,,SeatGeek Stadium,Mathew Corrigan,Match Report,
Regular Season,5.0,Sat,2023-04-29,19:00,SD Wave,1–3,Orlando Pride,,Snapdragon Stadium,Brad Jensen,Match Report,
Regular Season,5.0,Sat,2023-04-29,19:30,Portland Thorns,3–3,Angel City FC,,Providence Park,Elton Garcia,Match Report,
Regular Season,6.0,Sat,2023-05-06,13:00(10:00),Washington Spirit,3–1,SD Wave,,Audi Field,Matthew Thompson,Match Report,
Regular Season,6.0,Sat,2023-05-06,19:00(16:00),Orlando Pride,1–0,Racing Louisville,,Exploria Stadium,Jeremy Scheer,Match Report,
Regular Season,6.0,Sat,2023-05-06,19:00(16:00),NC Courage,3–3,Portland Thorns,,Sahlen's Stadium at WakeMed Soccer Park,Alyssa Nichols,Match Report,
Regular Season,6.0,Sun,2023-05-07,17:00(15:00),Red Stars,1–2,Gotham FC,,SeatGeek Stadium,Natalie Simon,Match Report,
Regular Season,6.0,Sat,2023-05-06,19:00,Reign,2–0,Houston Dash,,Lumen Field,Brandon Stevis,Match Report,
Regular Season,6.0,Sun,2023-05-07,17:00,Angel City FC,3–2,Current,,BMO Stadium,Tori Penso,Match Report,
Regular Season,7.0,Fri,2023-05-12,19:30(16:30),Racing Louisville,3–0,Red Stars,,Lynn Family Stadium,Alyssa Nichols,Match Report,
