team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Angel City FC,26,27.7,53.7,26,286,,26.0,27,17,44,24,3,4,46,0,1.04,0.65,1.69,0.92,1.58
Bay FC,26,26.8,49.6,26,286,,26.0,29,20,49,27,2,2,32,0,1.12,0.77,1.88,1.04,1.81
Current,28,27.1,47.7,26,286,,26.0,56,34,90,53,3,3,27,0,2.15,1.31,3.46,2.04,3.35
Gotham FC,27,27.7,53.2,26,286,,26.0,40,29,69,38,2,3,47,1,1.54,1.12,2.65,1.46,2.58
Houston Dash,29,27.7,46.6,26,286,,26.0,19,13,32,17,2,3,47,0,0.73,0.5,1.23,0.65,1.15
NC Courage,23,26.5,57.2,26,286,,26.0,32,21,53,31,1,3,28,1,1.23,0.81,2.04,1.19,2.0
Orlando Pride,26,27.3,50.5,26,286,,26.0,43,23,66,38,5,5,34,3,1.65,0.88,2.54,1.46,2.35
Portland Thorns,27,26.7,48.8,26,286,,26.0,37,29,66,34,3,3,32,1,1.42,1.12,2.54,1.31,2.42
Racing Louisville,26,27.2,46.9,26,286,,26.0,32,21,53,29,3,4,39,1,1.23,0.81,2.04,1.12,1.92
Red Stars,27,26.7,41.9,26,286,,26.0,30,20,50,28,2,4,32,1,1.15,0.77,1.92,1.08,1.85
Reign,30,27.7,49.3,26,286,,26.0,23,11,34,19,4,4,31,3,0.88,0.42,1.31,0.73,1.15
Royals,30,25.0,49.4,26,286,,26.0,21,14,35,20,1,1,40,0,0.81,0.54,1.35,0.77,1.31
SD Wave,26,27.1,54.7,26,286,,26.0,24,13,37,23,1,3,33,2,0.92,0.5,1.42,0.88,1.38
Washington Spirit,25,26.5,50.6,26,286,,26.0,49,33,82,43,6,6,32,3,1.88,1.27,3.15,1.65,2.92
