ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
47,Alex Chidiac,auAUS,MF,Racing Louisville,24,1999,1.6,,1,,,,,,,,,,,1,,,,Matches
48,Rylan Childers,,MF,Current,,,0.2,,1,,,,,,,,,,,1,,,,Matches
49,Mikayla Cluff,usUSA,MF,Orlando Pride,23,1999,16.8,,41,,,,,,,,,,,24,,,,Matches
50,Sam Coffey,usUSA,MF,Portland Thorns,24,1998,21.8,,48,,,,,,,,,,,33,,,,Matches
51,Danielle Colaprico,usUSA,MF,SD Wave,29,1993,19.2,,22,,,,,,,,,,,41,,,,Matches
52,Kaylie Collins,usUSA,GK,Orlando Pride,24,1998,1.0,,0,,,,,,,,,,,0,,,,Matches
53,Sydney Collins,caCAN,DF,NC Courage,23,1999,2.2,,9,,,,,,,,,,,5,,,,Matches
54,Shea Connors,usUSA,FW,SD Wave,26,1996,0.0,,0,,,,,,,,,,,0,,,,Matches
55,Alana Cook,usUSA,DF,Reign,25,1997,17.5,,17,,,,,,,,,,,40,,,,Matches
56,Ava Cook,usUSA,"MF,FW",Red Stars,22,2000,10.7,,14,,,,,,,,,,,10,,,,Matches
57,Michelle Cooper,usUSA,"MF,FW",Current,20,2002,18.1,,24,,,,,,,,,,,11,,,,Matches
58,Chai Cortez,usUSA,DF,SD Wave,24,1998,0.7,,1,,,,,,,,,,,0,,,,Matches
59,Caitlin Cosme,prPUR,DF,Orlando Pride,24,1999,4.0,,2,,,,,,,,,,,3,,,,Matches
60,Chardonnay Curran,usUSA,MF,Current,23,1999,3.4,,1,,,,,,,,,,,5,,,,Matches
61,Izzy D'Aquila,usUSA,FW,Portland Thorns,21,2001,3.8,,2,,,,,,,,,,,1,,,,Matches
62,Abby Dahlkemper,usUSA,DF,SD Wave,29,1993,5.0,,2,,,,,,,,,,,5,,,,Matches
63,Tierna Davidson,usUSA,DF,Red Stars,24,1998,17.9,,19,,,,,,,,,,,19,,,,Matches
64,Kirsten Davis,usUSA,FW,Racing Louisville,24,1998,13.4,,4,,,,,,,,,,,5,,,,Matches
65,Debinha,brBRA,"MF,FW",Current,31,1991,16.9,,14,,,,,,,,,,,6,,,,Matches
66,Kate Del Fava,usUSA,"DF,MF",Current,24,1998,20.3,,21,,,,,,,,,,,30,,,,Matches
67,Cece Delzer,usUSA,"MF,FW",Current,25,1997,16.2,,20,,,,,,,,,,,9,,,,Matches
68,Savannah Demelo,usUSA,"MF,FW",Racing Louisville,24,1998,17.6,,19,,,,,,,,,,,12,,,,Matches
69,Madelyn Desiano,usUSA,DF,Houston Dash,22,2000,0.3,,1,,,,,,,,,,,0,,,,Matches
70,Vanessa DiBernardo,usUSA,MF,Current,30,1992,10.7,,12,,,,,,,,,,,21,,,,Matches
71,Claudia Dickey,usUSA,GK,Reign,23,2000,6.0,,0,,,,,,,,,,,0,,,,Matches
72,Marisa DiGrande,usUSA,MF,Houston Dash,25,1997,15.0,,15,,,,,,,,,,,16,,,,Matches
73,Makenzy Doniak,usUSA,"MF,FW",SD Wave,28,1994,12.5,,12,,,,,,,,,,,9,,,,Matches
74,Meggie Dougherty Howard,usUSA,MF,SD Wave,27,1995,6.4,,7,,,,,,,,,,,6,,,,Matches
75,Nicole Douglas,engENG,MF,Washington Spirit,22,2000,1.8,,4,,,,,,,,,,,0,,,,Matches
76,Julie Doyle,usUSA,"MF,FW",Orlando Pride,24,1998,9.2,,6,,,,,,,,,,,1,,,,Matches
77,Crystal Dunn,usUSA,MF,Portland Thorns,30,1992,14.5,,23,,,,,,,,,,,19,,,,Matches
78,Caprice Dydasco,usUSA,"DF,MF",Houston Dash,29,1993,21.9,,39,,,,,,,,,,,48,,,,Matches
79,Elizabeth Eddy,usUSA,MF,Angel City FC,31,1991,0.6,,0,,,,,,,,,,,1,,,,Matches
80,Kristen Edmonds,usUSA,DF,Gotham FC,35,1987,11.5,,10,,,,,,,,,,,13,,,,Matches
