ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
235,Chloe Ricketts,usUSA,MF,Washington Spirit,15,2007,3.2,,7,,,,,,,,,,,2,,,,Matches
236,Kaleigh Riehl,usUSA,DF,SD Wave,26,1996,18.2,,11,,,,,,,,,,,20,,,,Matches
237,Ali Riley,nzNZL,DF,Angel City FC,35,1987,13.8,,28,,,,,,,,,,,11,,,,Matches
238,Clara Robbins,usUSA,MF,NC Courage,24,1998,1.0,,1,,,,,,,,,,,1,,,,Matches
239,Gabrielle Robinson,usUSA,DF,Current,21,2001,18.9,,15,,,,,,,,,,,27,,,,Matches
240,Cari Roccaro,usUSA,MF,Red Stars,28,1994,20.3,,23,,,,,,,,,,,26,,,,Matches
241,Trinity Rodman,usUSA,"FW,MF",Washington Spirit,20,2002,18.1,,22,,,,,,,,,,,8,,,,Matches
242,Izzy Rodriguez,usUSA,DF,Current,23,1999,14.0,,22,,,,,,,,,,,25,,,,Matches
243,Raquel Rodríguez,crCRC,MF,Portland Thorns,29,1993,6.6,,13,,,,,,,,,,,14,,,,Matches
244,Svava Rós Guðmundsdóttir,isISL,"MF,FW",Gotham FC,27,1995,1.7,,2,,,,,,,,,,,0,,,,Matches
245,Katelyn Rowland,usUSA,GK,NC Courage,28,1994,2.0,,0,,,,,,,,,,,0,,,,Matches
246,Yazmeen Ryan,usUSA,"MF,FW",Gotham FC,23,1999,17.3,,16,,,,,,,,,,,15,,,,Matches
247,Ebony Salmon,engENG,"FW,MF",Houston Dash,22,2001,10.5,,3,,,,,,,,,,,2,,,,Matches
248,Emily Sams,usUSA,DF,Orlando Pride,23,1999,22.0,,19,,,,,,,,,,,24,,,,Matches
249,Ashley Sanchez,usUSA,"MF,FW",Washington Spirit,23,1999,17.7,,13,,,,,,,,,,,10,,,,Matches
250,Maria Sanchez,mxMEX,"MF,FW",Houston Dash,26,1996,19.7,,12,,,,,,,,,,,12,,,,Matches
251,Ouleymata Sarr,frFRA,MF,Washington Spirit,27,1995,4.9,,8,,,,,,,,,,,4,,,,Matches
252,Becky Sauerbrunn,usUSA,DF,Portland Thorns,37,1985,6.3,,1,,,,,,,,,,,6,,,,Matches
253,Ally Schlegel,usUSA,"MF,FW",Red Stars,22,2000,4.3,,5,,,,,,,,,,,4,,,,Matches
254,Sophie Schmidt,caCAN,MF,Houston Dash,34,1988,19.5,,33,,,,,,,,,,,25,,,,Matches
255,Kayla Sharples,usUSA,DF,Red Stars,25,1997,7.7,,8,,,,,,,,,,,10,,,,Matches
256,Jaedyn Shaw,usUSA,"MF,FW",SD Wave,18,2004,16.5,,18,,,,,,,,,,,10,,,,Matches
257,Delanie Sheehan,usUSA,"MF,FW",Gotham FC,24,1999,13.7,,15,,,,,,,,,,,0,,,,Matches
258,Kailen Sheridan,caCAN,GK,SD Wave,27,1995,19.0,,0,,,,,,,,,,,0,,,,Matches
259,Marissa Sheva,ieIRL,MF,Washington Spirit,25,1997,3.0,,5,,,,,,,,,,,4,,,,Matches
260,Meleana Shim,usUSA,MF,Gotham FC,31,1991,0.6,,1,,,,,,,,,,,1,,,,Matches
261,Cheyenne Shorts,usUSA,DF,SD Wave,24,1998,2.0,,1,,,,,,,,,,,2,,,,Matches
262,Wang Shuang,cnCHN,"FW,MF",Racing Louisville,28,1995,14.4,,10,,,,,,,,,,,13,,,,Matches
263,Lena Silano,usUSA,"FW,MF",Washington Spirit,22,2000,3.4,,10,,,,,,,,,,,3,,,,Matches
264,Christine Sinclair,caCAN,"MF,FW",Portland Thorns,39,1983,11.4,,10,,,,,,,,,,,4,,,,Matches
265,Abby Smith,usUSA,GK,Gotham FC,29,1993,15.0,,0,,,,,,,,,,,0,,,,Matches
266,Taylor Smith,usUSA,FW,Gotham FC,29,1993,5.0,,5,,,,,,,,,,,3,,,,Matches
267,Havana Solaun,jmJAM,MF,Houston Dash,29,1993,2.1,,4,,,,,,,,,,,5,,,,Matches
268,Emily Sonnett,usUSA,MF,Reign,29,1993,18.6,,31,,,,,,,,,,,25,,,,Matches
269,Croix Soto,,DF,Current,,,8.3,,9,,,,,,,,,,,2,,,,Matches
270,Alexa Spaanstra,usUSA,"FW,MF",Current,22,2000,5.9,,5,,,,,,,,,,,3,,,,Matches
271,Meredith Speck,usUSA,MF,NC Courage,29,1993,7.4,,11,,,,,,,,,,,6,,,,Matches
272,Mariana Speckmaier,veVEN,FW,Washington Spirit,25,1997,0.0,,0,,,,,,,,,,,0,,,,Matches
273,Jasmyne Spencer,usUSA,"DF,MF",Angel City FC,32,1990,8.0,,17,,,,,,,,,,,15,,,,Matches
274,Bianca St-Georges,caCAN,MF,Red Stars,25,1997,17.4,,21,,,,,,,,,,,17,,,,Matches
275,Samantha Staab,usUSA,DF,Washington Spirit,25,1997,22.0,,12,,,,,,,,,,,26,,,,Matches
276,Nikki Stanton,usUSA,MF,Reign,32,1990,4.9,,11,,,,,,,,,,,8,,,,Matches
277,Sandra Starke,deGER,"MF,FW",Red Stars,29,1993,4.5,,7,,,,,,,,,,,1,,,,Matches
278,Katie Stengel,usUSA,FW,Gotham FC,30,1992,4.7,,1,,,,,,,,,,,1,,,,Matches
279,Ella Stevens,usUSA,FW,Red Stars,25,1997,14.4,,16,,,,,,,,,,,8,,,,Matches
280,Kylie Strom,usUSA,DF,Orlando Pride,30,1992,21.8,,40,,,,,,,,,,,38,,,,Matches
281,Hina Sugita,jpJPN,"MF,FW",Portland Thorns,26,1997,14.5,,20,,,,,,,,,,,13,,,,Matches
282,Andi Sullivan,usUSA,MF,Washington Spirit,27,1995,18.9,,28,,,,,,,,,,,31,,,,Matches
283,Mallory Swanson,usUSA,MF,Red Stars,24,1998,2.0,,1,,,,,,,,,,,0,,,,Matches
284,Frankie Tagliaferri,usUSA,MF,NC Courage,24,1999,2.9,,3,,,,,,,,,,,1,,,,Matches
285,Alyssa Thompson,usUSA,"FW,MF",Angel City FC,18,2004,12.8,,13,,,,,,,,,,,11,,,,Matches
286,Cameron Tucker,usUSA,"MF,FW",Houston Dash,23,1999,2.8,,10,,,,,,,,,,,0,,,,Matches
287,Phallon Tullis-Joyce,usUSA,GK,Reign,26,1996,16.0,,0,,,,,,,,,,,0,,,,Matches
288,Kelsey Turnbow,usUSA,FW,SD Wave,24,1999,1.7,,6,,,,,,,,,,,1,,,,Matches
289,Erika Tymrak,usUSA,"MF,FW",Orlando Pride,31,1991,8.9,,6,,,,,,,,,,,3,,,,Matches
290,Olivia Van der Jagt,usUSA,MF,Reign,23,1999,12.0,,17,,,,,,,,,,,14,,,,Matches
291,Michele Vasconcelos,usUSA,FW,Portland Thorns,28,1994,3.8,,6,,,,,,,,,,,1,,,,Matches
292,Mary Vignola,usUSA,DF,Angel City FC,24,1998,13.3,,16,,,,,,,,,,,20,,,,Matches
293,Viviana Villacorta,usUSA,MF,Orlando Pride,23,1999,12.3,,9,,,,,,,,,,,14,,,,Matches
294,Jenna Walker,usUSA,"MF,DF",Current,23,1999,4.9,,5,,,,,,,,,,,0,,,,Matches
295,Ally Watt,usUSA,"FW,MF",Orlando Pride,25,1997,8.3,,15,,,,,,,,,,,5,,,,Matches
296,Dani Weatherholt,usUSA,MF,Angel City FC,28,1994,16.1,,21,,,,,,,,,,,22,,,,Matches
297,Morgan Weaver,usUSA,"FW,MF",Portland Thorns,25,1997,19.8,,13,,,,,,,,,,,7,,,,Matches
298,McKenzie Weinert,,FW,Reign,,,0.5,,0,,,,,,,,,,,0,,,,Matches
299,Christen Westphal,usUSA,DF,SD Wave,29,1993,21.8,,19,,,,,,,,,,,39,,,,Matches
300,Ryan Williams,usUSA,DF,NC Courage,26,1996,21.8,,30,,,,,,,,,,,37,,,,Matches
301,Sophia Wilson,usUSA,FW,Portland Thorns,22,2000,12.9,,9,,,,,,,,,,,3,,,,Matches
302,Olivia Wingate,usUSA,FW,NC Courage,22,2000,4.8,,1,,,,,,,,,,,1,,,,Matches
303,Arin Wright,usUSA,"DF,MF",Red Stars,30,1992,17.6,,9,,,,,,,,,,,38,,,,Matches
304,Zaneta Wyne,usUSA,MF,Racing Louisville,32,1990,0.1,,0,,,,,,,,,,,0,,,,Matches
305,Shae Yanez,usUSA,GK,SD Wave,25,1997,3.0,,0,,,,,,,,,,,0,,,,Matches
306,Summer Yates,usUSA,MF,Orlando Pride,22,2000,1.3,,5,,,,,,,,,,,0,,,,Matches
307,McCall Zerboni,usUSA,MF,Gotham FC,36,1986,5.4,,10,,,,,,,,,,,9,,,,Matches
