team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att
Angel City FC,24,22.0,29,305,103,33.8,13.86,4.68,0.09,0.27,1,2
Current,25,22.0,29,251,91,36.3,11.41,4.14,0.1,0.27,4,4
Gotham FC,28,22.0,25,308,101,32.8,14.0,4.59,0.07,0.21,4,5
Houston Dash,27,22.0,16,272,84,30.9,12.36,3.82,0.06,0.18,1,1
NC Courage,25,22.0,27,248,85,34.3,11.27,3.86,0.1,0.29,2,3
Orlando Pride,25,22.0,26,287,98,34.1,13.05,4.45,0.08,0.22,4,4
Portland Thorns,23,22.0,42,375,148,39.5,17.05,6.73,0.11,0.27,2,2
Racing Louisville,25,22.0,23,315,106,33.7,14.32,4.82,0.06,0.17,5,6
Red Stars,26,22.0,25,211,64,30.3,9.59,2.91,0.11,0.36,2,2
Reign,26,22.0,28,259,87,33.6,11.77,3.95,0.1,0.29,3,4
SD Wave,27,22.0,30,273,104,38.1,12.41,4.73,0.1,0.27,2,2
Washington Spirit,26,22.0,25,276,95,34.4,12.55,4.32,0.07,0.21,5,5
