team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Angel City FC,26,26.0,46,0,0,284,286,51,447,261,345,3,2,0
Bay FC,26,26.0,32,0,0,291,196,42,465,278,343,2,5,2
Current,28,26.0,27,0,0,271,223,51,445,340,373,3,1,2
Gotham FC,27,26.0,47,1,1,297,262,44,461,242,345,1,3,1
Houston Dash,29,26.0,47,0,0,304,294,42,397,289,321,2,5,1
NC Courage,23,26.0,28,1,1,236,244,56,409,266,325,2,3,2
Orlando Pride,26,26.0,34,3,3,246,316,40,482,235,303,5,1,1
Portland Thorns,27,26.0,32,1,1,259,257,48,353,302,348,2,1,0
Racing Louisville,26,26.0,39,1,0,280,311,54,393,319,296,3,5,3
Red Stars,27,26.0,32,1,0,249,224,46,306,259,327,4,2,3
Reign,30,26.0,31,3,2,240,246,40,477,269,311,4,5,0
Royals,30,26.0,40,0,0,299,260,41,325,264,297,1,8,0
SD Wave,26,26.0,33,2,0,248,268,46,552,237,302,0,2,4
Washington Spirit,25,26.0,32,3,0,277,240,45,366,261,367,4,5,2
