team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Angel City FC,26,26.0,,,,,,,447,,,,,,,,
Bay FC,26,26.0,,,,,,,465,,,,,,,,
Current,28,26.0,,,,,,,445,,,,,,,,
Gotham FC,27,26.0,,,,,,,461,,,,,,,,
Houston Dash,29,26.0,,,,,,,397,,,,,,,,
NC Courage,23,26.0,,,,,,,409,,,,,,,,
Orlando Pride,26,26.0,,,,,,,482,,,,,,,,
Portland Thorns,27,26.0,,,,,,,353,,,,,,,,
Racing Louisville,26,26.0,,,,,,,393,,,,,,,,
Red Stars,27,26.0,,,,,,,306,,,,,,,,
Reign,30,26.0,,,,,,,477,,,,,,,,
Royals,30,26.0,,,,,,,325,,,,,,,,
SD Wave,26,26.0,,,,,,,552,,,,,,,,
Washington Spirit,25,26.0,,,,,,,366,,,,,,,,
