team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Angel City FC,24,22.0,30,0,0,234,212,53,533,191,259,1,5,0
Current,25,22.0,27,0,0,207,240,34,332,224,221,2,4,3
Gotham FC,28,22.0,38,0,0,239,207,29,358,225,261,4,0,1
Houston Dash,27,22.0,28,3,0,236,186,31,392,226,237,1,3,1
NC Courage,25,22.0,23,2,0,207,210,48,314,213,250,2,3,1
Orlando Pride,25,22.0,25,1,0,233,233,34,391,199,286,3,4,2
Portland Thorns,23,22.0,20,1,0,161,176,39,365,211,288,2,3,2
Racing Louisville,25,22.0,34,2,1,239,265,50,432,245,218,5,3,0
Red Stars,26,22.0,25,0,0,230,222,31,288,223,248,2,6,2
Reign,26,22.0,32,1,0,229,198,44,411,254,252,3,1,0
SD Wave,27,22.0,32,1,0,222,237,63,378,219,218,0,3,1
Washington Spirit,26,22.0,32,2,1,259,176,27,373,235,250,3,5,1
