team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Angel City FC,24,27.8,51.2,22,242,,22.0,29,24,53,28,1,2,30,0,1.32,1.09,2.41,1.27,2.36
Current,25,26.3,49.3,22,242,,22.0,29,20,49,25,4,4,27,0,1.32,0.91,2.23,1.14,2.05
Gotham FC,28,28.8,54.1,22,242,,22.0,25,13,38,21,4,5,38,0,1.14,0.59,1.73,0.95,1.55
Houston Dash,27,27.3,47.2,22,242,,22.0,16,10,26,15,1,1,28,3,0.73,0.45,1.18,0.68,1.14
NC Courage,25,25.6,59.6,22,242,,22.0,27,22,49,25,2,3,23,2,1.23,1.0,2.23,1.14,2.14
Orlando Pride,25,27.1,46.4,22,242,,22.0,26,18,44,22,4,4,25,1,1.18,0.82,2.0,1.0,1.82
Portland Thorns,23,27.6,51.5,22,242,,22.0,42,31,73,40,2,2,20,1,1.91,1.41,3.32,1.82,3.23
Racing Louisville,25,26.6,47.6,22,242,,22.0,23,10,33,18,5,6,34,2,1.05,0.45,1.5,0.82,1.27
Red Stars,26,27.7,48.0,22,242,,22.0,25,16,41,23,2,2,25,0,1.14,0.73,1.86,1.05,1.77
Reign,26,27.8,48.5,22,242,,22.0,28,22,50,25,3,4,32,1,1.27,1.0,2.27,1.14,2.14
SD Wave,27,27.1,50.0,22,242,,22.0,30,19,49,28,2,2,32,1,1.36,0.86,2.23,1.27,2.14
Washington Spirit,26,25.9,46.6,22,242,,22.0,25,15,40,20,5,5,32,2,1.14,0.68,1.82,0.91,1.59
