ranker,player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
1,Angelina Anderson,usUSA,GK,Angel City FC,22,2001,3.0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Mackenzie Arnold,auAUS,GK,Portland Thorns,29,1994,5.0,10,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Hillary Beall,usUSA,GK,SD Wave,25,1999,1.3,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Ann-Katrin Berger,deGER,GK,Gotham FC,33,1990,22.0,16,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Lyza Bosselmann,,GK,Washington Spirit,,,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Jane Campbell,usUSA,GK,Houston Dash,28,1995,25.0,39,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Claudia Dickey,usUSA,GK,Reign,24,2000,17.7,24,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Adrianna Franch,usUSA,GK,Current,33,1990,17.0,25,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,DiDi Haracic,baBIH,GK,Angel City FC,31,1992,23.0,36,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Heather Hinz,usUSA,GK,Houston Dash,22,2001,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Shelby Hogan,usUSA,GK,Portland Thorns,25,1998,21.0,25,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Laurel Ivory,usUSA,GK,Reign,24,1999,8.3,20,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Aubrey Kingsbury,usUSA,GK,Washington Spirit,32,1991,26.0,28,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Katie Lund,usUSA,GK,Racing Louisville,27,1996,26.0,39,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Amanda McGlynn,usUSA,GK,Royals,25,1998,24.0,38,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Cassie Miller,usUSA,GK,Gotham FC,28,1995,4.0,4,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Anna Moorhouse,engENG,GK,Orlando Pride,28,1995,26.0,20,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Casey Murphy,usUSA,GK,NC Courage,27,1996,26.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Alyssa Naeher,usUSA,GK,Red Stars,35,1988,23.7,34,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Carly Nelson,usUSA,GK,Royals,25,1998,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Lysianne Proulx,caCAN,GK,Bay FC,24,1999,6.0,15,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Cristina Roque,prPUR,GK,Royals,22,2001,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Katelyn Rowland,usUSA,GK,Bay FC,29,1994,20.0,26,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Almuth Schult,deGER,GK,Current,32,1991,9.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Kailen Sheridan,caCAN,GK,SD Wave,28,1995,24.7,33,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Mackenzie Wood,usUSA,GK,Red Stars,23,2000,2.3,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
