team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90
Angel City FC,26,27.7,26,,90,100,26.0,286,82,168,118,20,115,0.92,29,42,-13,-0.5
Bay FC,26,26.8,26,,90,100,26.0,286,84,198,89,18,145,1.31,31,41,-10,-0.38
Current,28,27.1,26,,90,100,26.0,286,82,169,119,20,115,2.12,57,31,26,1.0
Gotham FC,27,27.7,26,,90,100,26.0,286,82,163,123,19,106,2.15,41,20,21,0.81
Houston Dash,29,27.7,26,,90,100,26.0,286,82,177,109,21,111,0.77,20,42,-22,-0.85
NC Courage,23,26.5,26,,90,100,26.0,286,82,168,117,19,114,1.5,34,28,6,0.23
Orlando Pride,26,27.3,26,,90,100,26.0,286,81,166,117,22,117,2.31,46,20,26,1.0
Portland Thorns,27,26.7,26,,90,100,26.0,286,82,172,114,20,118,1.31,37,35,2,0.08
Racing Louisville,26,27.2,26,,90,100,26.0,286,83,197,88,21,141,1.08,33,39,-6,-0.23
Red Stars,27,26.7,26,,90,100,26.0,286,82,176,111,21,123,1.23,31,38,-7,-0.27
Reign,30,27.7,26,,90,100,26.0,286,81,156,127,19,106,0.88,27,44,-17,-0.65
Royals,30,25.0,26,,90,100,26.0,286,83,197,90,21,121,0.96,22,40,-18,-0.69
SD Wave,26,27.1,26,,90,100,26.0,286,79,162,122,24,103,0.96,24,35,-11,-0.42
Washington Spirit,25,26.5,26,,90,100,26.0,286,82,172,113,20,105,2.15,51,28,23,0.88
