team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Angel City FC,15,4.0,,46,,,,,,,,,,,26,,,
Bay FC,20,4.0,,62,,,,,,,,,,,54,,,
Boston Legacy,19,4.0,,46,,,,,,,,,,,26,,,
Chicago Stars,21,5.0,,53,,,,,,,,,,,47,,,
Current,22,5.0,,56,,,,,,,,,,,58,,,
Denver Summit,18,5.0,,53,,,,,,,,,,,44,,,
Gotham FC,19,5.0,,48,,,,,,,,,,,55,,,
Houston Dash,19,4.0,,64,,,,,,,,,,,39,,,
NC Courage,20,4.0,,48,,,,,,,,,,,38,,,
Orlando Pride,19,5.0,,54,,,,,,,,,,,47,,,
Portland Thorns,20,5.0,,54,,,,,,,,,,,48,,,
Racing Louisville,18,4.0,,44,,,,,,,,,,,61,,,
Reign,19,5.0,,58,,,,,,,,,,,51,,,
Royals,21,5.0,,75,,,,,,,,,,,69,,,
SD Wave,19,5.0,,55,,,,,,,,,,,51,,,
Washington Spirit,19,5.0,,64,,,,,,,,,,,54,,,
